

=== Predictions under cross-validation ===

 inst#     actual  predicted error prediction (top-middle-square,top-right-square,middle-left-square,middle-middle-square,middle-right-square,bottom-left-square,bottom-middle-square,bottom-right-square,Class)
     1        3:b        3:b       1 (o,x,x,o,x,b,o,b,negative)
     2        3:b        3:b       1 (x,o,o,x,o,b,x,x,positive)
     3        3:b        3:b       1 (o,x,o,x,o,x,x,b,positive)
     4        3:b        3:b       1 (o,x,b,x,b,x,b,o,positive)
     5        3:b        3:b       1 (o,x,o,o,x,b,x,x,positive)
     6        3:b        3:b       1 (b,x,o,x,x,o,o,x,positive)
     7        3:b        3:b       1 (x,o,x,o,b,o,x,b,negative)
     8        3:b        3:b       1 (x,o,b,x,o,x,b,o,negative)
     9        3:b        3:b       1 (o,x,x,x,x,b,o,o,positive)
    10        3:b        1:x   +   0.957 (o,x,x,o,x,x,o,o,negative)
    11        3:b        3:b       1 (b,x,o,o,o,x,b,x,negative)
    12        3:b        3:b       1 (x,x,o,o,x,o,b,x,positive)
    13        3:b        3:b       1 (o,o,o,x,b,x,x,x,positive)
    14        3:b        3:b       1 (b,x,o,x,b,x,b,o,positive)
    15        3:b        3:b       1 (o,x,b,o,x,o,x,x,positive)
    16        3:b        3:b       1 (b,x,b,x,x,o,o,o,negative)
    17        3:b        3:b       1 (o,b,b,b,o,x,x,x,positive)
    18        3:b        3:b       1 (b,o,x,o,x,o,x,b,negative)
    19        3:b        3:b       1 (o,x,b,o,x,b,b,x,positive)
    20        3:b        1:x   +   0.753 (o,o,x,o,x,x,o,x,negative)
    21        3:b        3:b       1 (x,o,o,x,b,x,x,o,positive)
    22        1:x        1:x       1 (b,x,b,x,o,x,o,o,positive)
    23        1:x        1:x       1 (b,b,o,x,x,o,o,x,positive)
    24        1:x        1:x       1 (o,o,o,x,x,x,x,o,negative)
    25        1:x        1:x       1 (o,b,x,o,b,x,b,b,positive)
    26        1:x        1:x       1 (b,b,b,x,x,o,o,o,negative)
    27        1:x        1:x       1 (b,b,x,o,b,x,b,o,positive)
    28        1:x        1:x       1 (b,o,x,o,x,o,o,x,negative)
    29        1:x        1:x       1 (o,b,o,o,x,x,o,x,negative)
    30        1:x        1:x       1 (b,o,x,b,b,x,b,o,positive)
    31        1:x        1:x       1 (x,o,b,o,o,x,x,o,negative)
    32        1:x        1:x       1 (b,x,o,o,o,x,x,o,negative)
    33        1:x        1:x       1 (b,b,x,o,o,x,x,o,positive)
    34        1:x        1:x       1 (b,x,o,b,x,o,o,x,positive)
    35        1:x        1:x       1 (o,b,o,x,b,b,b,x,positive)
    36        1:x        1:x       1 (b,b,b,x,o,b,o,x,positive)
    37        1:x        1:x       1 (b,x,o,o,o,o,x,x,negative)
    38        1:x        1:x       1 (b,b,b,x,b,o,o,x,positive)
    39        1:x        1:x       1 (x,b,o,x,x,o,o,o,negative)
    40        1:x        1:x       1 (b,x,o,o,o,b,x,b,negative)
    41        1:x        1:x       1 (b,o,o,x,b,x,o,x,positive)
