

=== Predictions under cross-validation ===

 inst#     actual  predicted error prediction (Hair,Feathers,Eggs,Milk,Airborne,Aquatic,Predator,Toothed,Backbone,Breathes,Venomous,Fins,Legs,Tail,Domestic,Catsize,Type)
     1    14:girl    80:frog   +   0.028 (1,0,0,1,0,0,1,1,1,1,0,0,2,0,1,1,1)
     2 53:penguin    80:frog   +   0.028 (0,1,1,0,0,1,1,0,1,1,0,0,2,1,0,1,2)
     3 16:gorilla    80:frog   +   0.028 (1,0,0,1,0,0,0,1,1,1,0,0,2,0,0,1,1)
     4 72:haddock    80:frog   +   0.028 (0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,4)
     5 62:pitvipe    80:frog   +   0.028 (0,0,1,0,0,0,1,1,1,1,1,0,0,1,0,0,3)
     6 17:hamster    80:frog   +   0.028 (1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,0,1)
     7 34:reindee    80:frog   +   0.028 (1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,1)
     8 96:scorpio    80:frog   +   0.028 (0,0,0,0,0,0,1,0,0,1,1,0,8,1,0,0,7)
     1    47:gull    80:frog   +   0.028 (0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,2)
     2 36:sealion    80:frog   +   0.028 (1,0,0,1,0,1,1,1,1,1,0,1,2,1,0,1,1)
     3    48:hawk    80:frog   +   0.028 (0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,0,2)
     4 40:wallaby    80:frog   +   0.028 (1,0,0,1,0,0,0,1,1,1,0,0,2,1,0,1,1)
     5    22:mink    80:frog   +   0.028 (1,0,0,1,0,1,1,1,1,1,0,0,4,1,0,1,1)
     6   100:worm    80:frog   +   0.028 (0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,7)
     7    45:duck    80:frog   +   0.028 (0,1,1,0,1,1,0,0,1,1,0,0,2,1,0,0,2)
     8    15:goat    80:frog   +   0.028 (1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,1)
     1 66:tuatara    80:frog   +   0.028 (0,0,1,0,0,0,1,1,1,1,0,0,4,1,0,0,3)
     2 75:piranha    80:frog   +   0.028 (0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4)
     3    88:moth    80:frog   +   0.028 (1,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,6)
     4 32:pussyca    80:frog   +   0.028 (1,0,0,1,0,0,1,1,1,1,0,0,4,1,1,1,1)
     5 56:skimmer    80:frog   +   0.028 (0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,2)
     6 63:seasnak    80:frog   +   0.028 (0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,3)
     7 87:ladybir    80:frog   +   0.028 (0,0,1,0,1,0,1,0,0,1,0,0,6,0,0,0,6)
     8    49:kiwi    80:frog   +   0.028 (0,1,1,0,0,0,1,0,1,1,0,0,2,1,0,0,2)
     1 11:elephan    80:frog   +   0.028 (1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1)
     2    31:puma    80:frog   +   0.028 (1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1)
     3    55:rhea    80:frog   +   0.028 (0,1,1,0,0,0,1,0,1,1,0,0,2,1,0,1,2)
     4    23:mole    80:frog   +   0.028 (1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,0,1)
     5 58:sparrow    80:frog   +   0.028 (0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,2)
     6 76:seahors    80:frog   +   0.028 (0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,4)
     7    98:slug    80:frog   +   0.028 (0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,7)
     8    20:lion    80:frog   +   0.028 (1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1)
     1 46:flaming    80:frog   +   0.028 (0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,1,2)
     2 12:fruitba    80:frog   +   0.028 (1,0,0,1,1,0,0,1,1,1,0,0,2,1,0,0,1)
     3 52:parakee    80:frog   +   0.028 (0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,2)
     4 73:herring    80:frog   +   0.028 (0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4)
     5 30:porpois    80:frog   +   0.028 (0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1,1)
     6    90:wasp    80:frog   +   0.028 (1,0,1,0,1,0,0,0,0,1,1,0,6,0,0,0,6)
     7 89:termite    80:frog   +   0.028 (0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0,6)
     8    82:toad    80:frog   +   0.028 (0,0,1,0,0,1,0,1,1,1,0,0,4,0,0,0,5)
     1    74:pike    80:frog   +   0.028 (0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,4)
     2 65:tortois    80:frog   +   0.028 (0,0,1,0,0,0,0,0,1,1,0,0,4,1,0,1,3)
     3 99:starfis    80:frog   +   0.028 (0,0,1,0,0,1,1,0,0,0,0,0,5,0,0,0,7)
     4    84:gnat    80:frog   +   0.028 (0,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,6)
     5    18:hare    80:frog   +   0.028 (1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,0,1)
     6    57:skua    80:frog   +   0.028 (0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,2)
     7    39:vole    80:frog   +   0.028 (1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,0,1)
     8 54:pheasan    80:frog   +   0.028 (0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,2)
     1 33:raccoon 11:elephan   +   0.014 (1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1)
     2    35:seal 11:elephan   +   0.014 (1,0,0,1,0,1,1,1,1,1,0,1,0,0,0,1,1)
     3    83:flea 11:elephan   +   0.014 (0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0,6)
     4 38:vampire 11:elephan   +   0.014 (1,0,0,1,1,0,0,1,1,1,0,0,2,1,0,0,1)
     5 25:opossum 11:elephan   +   0.014 (1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,0,1)
     6    80:frog 11:elephan   +   0.014 (0,0,1,0,0,1,1,1,1,1,1,0,4,0,0,0,5)
     7 78:stingra 11:elephan   +   0.014 (0,0,1,0,0,1,1,1,1,0,1,1,0,1,0,1,4)
     8 37:squirre 11:elephan   +   0.014 (1,0,0,1,0,0,0,1,1,1,0,0,2,1,0,0,1)
     1    41:wolf 11:elephan   +   0.014 (1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1)
     2 28:polecat 11:elephan   +   0.014 (1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1)
     3    59:swan 11:elephan   +   0.014 (0,1,1,0,1,1,0,0,1,1,0,0,2,1,0,1,2)
     4    81:newt 11:elephan   +   0.014 (0,0,1,0,0,1,1,1,1,1,0,0,4,1,0,0,5)
     5    77:sole 11:elephan   +   0.014 (0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,4)
     6    80:frog 11:elephan   +   0.014 (0,0,1,0,0,1,1,1,1,1,0,0,4,0,0,0,5)
     7 24:mongoos 11:elephan   +   0.014 (1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1)
     8 13:giraffe 11:elephan   +   0.014 (1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1)
     1 27:platypu    80:frog   +   0.028 (1,0,1,1,0,1,1,0,1,1,0,0,4,1,0,1,1)
     2    21:lynx    80:frog   +   0.028 (1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1)
     3    79:tuna    80:frog   +   0.028 (0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,4)
     4 19:leopard    80:frog   +   0.028 (1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1)
     5    26:oryx    80:frog   +   0.028 (1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1)
     6 85:honeybe    80:frog   +   0.028 (1,0,1,0,1,0,0,0,0,1,1,0,6,0,1,0,6)
     7 60:vulture    80:frog   +   0.028 (0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,1,2)
     8    61:wren    80:frog   +   0.028 (0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,2)
     1 51:ostrich    80:frog   +   0.028 (0,1,1,0,0,0,0,0,1,1,0,0,2,1,0,1,2)
     2 95:octopus    80:frog   +   0.028 (0,0,1,0,0,1,1,0,0,0,0,0,8,0,0,1,7)
     3    50:lark    80:frog   +   0.028 (0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,2)
     4    29:pony    80:frog   +   0.028 (1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,1)
     5 64:slowwor    80:frog   +   0.028 (0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,0,3)
     6 97:seawasp    80:frog   +   0.028 (0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,7)
     7 86:housefl    80:frog   +   0.028 (1,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,6)
     8 94:lobster    80:frog   +   0.028 (0,0,1,0,0,1,1,0,0,0,0,0,6,0,0,0,7)

