

=== Predictions under cross-validation ===

 inst#     actual  predicted error prediction (Wifes_age,Wifes_education,Husbands_education,Number_of_children_ever_born,Wifes_religion,Wifes_now_working?,Husbands_occupation,Standard-of-living_index,Media_exposure)
     1        1:1        2:2   +   0.816 (26,2,3,1,1,0,3,4,1)
     2        1:1        1:1       1 (22,4,4,0,1,1,2,1,1)
     3        1:1        1:1       0.999 (28,2,4,1,1,0,3,4,0)
     4        1:1        3:3   +   0.999 (28,3,4,3,1,1,2,1,0)
     5        1:1        3:3   +   1 (32,2,2,1,1,1,2,1,0)
     6        1:1        1:1       0.989 (29,3,4,2,1,1,3,4,0)
     7        1:1        3:3   +   0.637 (43,2,3,3,0,1,2,3,0)
     8        1:1        1:1       1 (49,1,3,0,1,1,3,3,1)
     9        1:1        3:3   +   0.996 (32,2,3,1,1,1,3,3,0)
    10        1:1        1:1       1 (45,1,1,0,0,0,2,1,0)
    11        1:1        3:3   +   1 (26,2,3,3,1,1,3,4,0)
    12        1:1        3:3   +   0.619 (46,4,4,6,1,1,1,4,0)
    13        1:1        2:2   +   0.932 (36,2,1,6,1,1,2,3,0)
    14        1:1        1:1       1 (23,4,4,0,0,1,2,4,0)
    15        1:1        1:1       0.946 (38,2,4,5,0,1,2,2,0)
    16        1:1        3:3   +   0.991 (32,2,2,2,1,1,2,4,0)
    17        1:1        3:3   +   0.967 (37,4,4,2,0,1,1,4,0)
    18        1:1        3:3   +   0.484 (33,4,4,2,0,1,1,4,0)
    19        1:1        3:3   +   0.999 (31,3,4,3,0,0,2,4,0)
    20        1:1        3:3   +   0.965 (34,3,4,4,1,1,1,3,0)
    21        1:1        3:3   +   0.602 (43,3,3,4,1,1,2,4,0)
    22        1:1        1:1       0.559 (27,1,2,4,1,1,1,4,1)
    23        1:1        3:3   +   0.996 (33,4,4,5,1,1,3,4,0)
    24        1:1        3:3   +   0.992 (34,3,3,6,1,1,2,3,0)
    25        1:1        1:1       0.986 (20,4,4,0,0,0,2,4,0)
    26        1:1        2:2   +   0.99 (42,3,3,3,1,0,2,4,0)
    27        1:1        3:3   +   0.964 (40,4,4,3,0,1,3,4,0)
    28        1:1        3:3   +   0.999 (47,3,2,5,1,1,4,4,0)
    29        1:1        1:1       0.928 (31,3,4,2,1,1,1,4,0)
    30        1:1        1:1       0.999 (45,2,3,4,1,0,2,4,0)
    31        1:1        3:3   +   1 (22,3,3,2,1,1,2,4,0)
    32        1:1        1:1       0.855 (29,4,2,0,1,0,2,2,0)
    33        1:1        1:1       0.998 (47,1,2,2,1,1,2,3,1)
    34        1:1        3:3   +   0.612 (21,1,2,1,1,0,3,4,0)
    35        2:2        3:3   +   0.911 (45,4,4,3,1,1,1,4,0)
    36        2:2        3:3   +   1 (36,3,4,3,0,0,3,4,0)
    37        2:2        3:3   +   1 (26,3,4,2,1,1,3,3,0)
    38        2:2        3:3   +   0.911 (45,4,4,3,1,1,1,4,0)
    39        2:2        2:2       0.852 (29,4,4,2,1,0,1,3,0)
    40        2:2        3:3   +   0.83 (44,4,4,5,1,1,1,4,0)
    41        2:2        3:3   +   0.986 (46,4,4,3,0,0,1,4,0)
    42        2:2        3:3   +   0.616 (38,4,4,4,1,1,2,4,0)
    43        2:2        2:2       0.699 (37,4,4,4,0,1,2,4,0)
    44        2:2        3:3   +   0.931 (38,4,4,6,1,1,1,4,0)
    45        2:2        2:2       1 (36,4,4,4,0,1,2,4,0)
    46        2:2        3:3   +   0.998 (44,4,4,7,1,1,3,2,0)
    47        2:2        3:3   +   1 (23,4,4,1,1,1,3,3,0)
    48        2:2        1:1   +   1 (47,1,1,8,1,1,3,4,1)
    49        2:2        2:2       0.929 (33,2,2,3,1,1,2,3,0)
    50        2:2        2:2       0.999 (34,4,4,4,1,1,3,3,0)
    51        2:2        3:3   +   1 (22,3,3,2,1,1,3,3,0)
    52        2:2        2:2       0.85 (36,2,1,6,1,1,2,1,0)
    53        2:2        3:3   +   0.948 (34,4,4,6,1,1,3,4,0)
    54        2:2        2:2       0.861 (37,4,4,3,1,1,1,4,0)
    55        2:2        2:2       0.8 (34,4,4,4,1,1,2,4,0)
    56        2:2        1:1   +   0.631 (38,2,2,8,1,1,2,2,0)
    57        2:2        2:2       0.876 (48,4,4,7,1,0,1,4,0)
    58        2:2        1:1   +   0.998 (27,3,3,1,1,0,3,4,0)
    59        2:2        2:2       0.845 (36,4,4,3,1,1,1,4,0)
    60        2:2        2:2       0.992 (47,4,4,4,0,1,2,4,0)
    61        2:2        1:1   +   0.893 (24,4,4,2,1,1,2,4,0)
    62        2:2        2:2       0.924 (21,4,4,1,1,1,1,4,0)
    63        2:2        3:3   +   0.984 (33,2,2,6,1,0,3,4,0)
    64        2:2        3:3   +   1 (26,3,3,2,1,1,3,2,0)
    65        2:2        1:1   +   0.736 (23,4,4,1,1,1,3,4,0)
    66        2:2        2:2       0.969 (30,2,2,7,1,1,3,4,0)
    67        2:2        3:3   +   0.949 (40,4,4,4,1,1,1,4,0)
    68        3:3        3:3       0.999 (24,2,3,5,1,1,3,3,0)
    69        3:3        1:1   +   0.521 (24,3,4,4,1,1,3,1,0)
    70        3:3        3:3       0.914 (26,4,4,1,1,1,3,3,0)
    71        3:3        3:3       1 (26,4,4,4,1,1,3,4,0)
    72        3:3        3:3       1 (22,3,3,2,1,1,3,1,0)
    73        3:3        3:3       0.837 (33,2,4,3,1,1,3,4,0)
    74        3:3        3:3       0.632 (35,3,2,9,1,0,3,4,0)
    75        3:3        2:2   +   0.937 (35,4,4,4,1,1,1,4,0)
    76        3:3        1:1   +   0.59 (35,3,4,4,1,0,1,4,0)
    77        3:3        3:3       0.921 (24,3,4,2,1,1,3,3,0)
    78        3:3        3:3       0.965 (27,4,4,4,1,1,3,3,0)
    79        3:3        3:3       1 (24,3,3,2,1,1,3,3,0)
    80        3:3        2:2   +   0.503 (44,4,4,4,0,1,2,3,0)
    81        3:3        3:3       0.953 (29,2,4,4,1,0,2,4,0)
    82        3:3        3:3       0.972 (35,3,4,5,1,1,1,4,0)
    83        3:3        2:2   +   0.948 (24,2,4,2,1,1,1,4,0)
    84        3:3        2:2   +   0.744 (27,2,2,3,1,1,2,2,1)
    85        3:3        3:3       0.963 (23,4,4,2,1,0,2,4,0)
    86        3:3        3:3       0.996 (24,2,4,3,1,1,3,3,0)
    87        3:3        3:3       0.942 (28,4,4,4,1,1,3,4,0)
    88        3:3        3:3       1 (31,3,3,3,1,1,3,1,1)
    89        3:3        3:3       1 (29,1,3,5,1,1,3,3,0)
    90        3:3        2:2   +   0.63 (36,4,4,2,1,0,1,4,0)
    91        3:3        2:2   +   0.989 (36,4,4,3,0,0,2,4,0)
    92        3:3        2:2   +   0.879 (30,4,4,2,1,1,1,4,0)
    93        3:3        2:2   +   0.959 (37,4,4,5,0,0,2,4,0)
    94        3:3        3:3       0.783 (28,4,4,4,1,1,2,3,0)
    95        3:3        3:3       0.999 (29,2,3,3,1,0,3,2,0)
    96        3:3        1:1   +   0.578 (35,4,4,3,0,1,3,4,0)
    97        3:3        2:2   +   0.809 (36,4,4,4,0,1,1,4,0)
    98        3:3        2:2   +   0.845 (36,4,4,3,1,1,1,4,0)
    99        3:3        3:3       0.906 (43,4,4,3,1,1,1,4,0)
   100        3:3        1:1   +   1 (29,3,4,4,1,0,1,3,0)
   101        3:3        3:3       0.906 (43,4,4,3,1,1,1,4,0)
   102        3:3        2:2   +   0.59 (24,4,4,1,1,1,2,3,0)
   103        3:3        3:3       0.925 (36,4,4,3,0,1,3,4,0)
   104        3:3        2:2   +   0.989 (29,3,4,5,1,1,3,3,0)
   105        3:3        3:3       0.996 (27,2,4,1,1,1,3,3,0)
   106        3:3        3:3       0.946 (29,3,4,3,1,1,3,2,0)
   107        3:3        3:3       0.998 (30,4,4,1,1,0,3,2,0)
   108        3:3        3:3       0.638 (21,3,4,2,1,1,3,3,0)
   109        3:3        1:1   +   0.831 (35,3,4,4,1,1,1,4,0)
   110        3:3        3:3       0.672 (26,2,4,3,1,1,1,3,0)
   111        3:3        3:3       0.936 (30,3,4,3,1,1,2,3,0)
   112        3:3        3:3       1 (26,2,3,2,1,1,3,3,0)
   113        3:3        2:2   +   0.505 (23,4,3,2,1,0,2,3,0)
   114        3:3        3:3       1 (21,3,3,1,1,1,3,1,0)
   115        3:3        2:2   +   0.696 (34,2,4,4,1,1,3,3,0)
   116        3:3        3:3       1 (21,3,3,1,0,1,3,2,0)
   117        3:3        3:3       0.766 (25,3,4,2,1,0,2,4,0)
   118        3:3        3:3       0.803 (26,3,4,4,1,1,2,4,0)
     1        1:1        3:3   +   0.999 (28,4,4,5,1,1,1,4,0)
     2        1:1        2:2   +   0.993 (39,3,4,3,1,1,1,4,0)
     3        1:1        3:3   +   0.98 (48,3,4,11,1,1,1,4,0)
     4        1:1        1:1       0.967 (44,1,2,2,1,1,3,1,0)
     5        1:1        2:2   +   0.963 (38,2,2,10,1,1,3,2,0)
     6        1:1        1:1       0.999 (25,2,3,0,1,1,2,4,0)
     7        1:1        3:3   +   0.997 (30,2,3,1,1,1,2,1,0)
     8        1:1        3:3   +   0.999 (26,2,4,3,1,1,3,4,0)
     9        1:1        1:1       1 (45,3,4,0,1,1,1,3,0)
    10        1:1        1:1       1 (20,3,4,0,1,1,3,3,0)
    11        1:1        2:2   +   0.752 (26,2,3,1,1,0,4,4,0)
    12        1:1        1:1       0.943 (19,4,4,0,0,1,3,4,0)
    13        1:1        1:1       0.987 (21,2,4,0,1,1,2,2,0)
    14        1:1        1:1       1 (49,1,2,8,1,1,3,1,1)
    15        1:1        1:1       1 (22,2,1,0,1,1,2,2,0)
    16        1:1        3:3   +   0.991 (39,2,2,5,1,0,3,2,1)
    17        1:1        1:1       1 (49,3,4,6,1,1,1,4,0)
    18        1:1        3:3   +   0.999 (30,1,3,1,1,1,3,4,0)
    19        1:1        1:1       1 (44,1,3,4,1,1,3,3,1)
    20        1:1        2:2   +   0.992 (25,3,3,1,1,1,3,4,0)
    21        1:1        2:2   +   0.884 (48,4,4,1,0,1,1,4,0)
    22        1:1        1:1       1 (27,3,4,0,1,0,3,3,0)
    23        1:1        2:2   +   0.97 (24,4,4,4,1,1,1,4,0)
    24        1:1        2:2   +   0.67 (34,1,3,4,1,0,3,4,0)
    25        1:1        1:1       0.943 (38,1,2,12,1,1,2,3,0)
    26        1:1        3:3   +   0.513 (46,1,2,3,1,1,2,1,1)
    27        1:1        1:1       0.98 (45,2,3,11,1,1,2,3,0)
    28        1:1        2:2   +   0.989 (43,4,4,6,1,1,1,3,0)
    29        1:1        1:1       0.99 (47,4,4,1,1,1,1,4,0)
    30        1:1        3:3   +   0.989 (47,2,3,12,1,1,3,1,0)
    31        1:1        3:3   +   0.994 (19,4,4,1,1,1,1,3,0)
    32        1:1        3:3   +   0.763 (35,3,3,2,1,0,2,2,0)
    33        1:1        3:3   +   0.97 (31,3,3,1,1,0,3,4,0)
    34        1:1        2:2   +   0.504 (40,1,1,2,1,0,3,4,0)
    35        2:2        3:3   +   0.973 (36,4,4,3,1,1,3,3,0)
    36        2:2        1:1   +   0.859 (47,3,4,11,1,0,2,3,0)
    37        2:2        1:1   +   0.996 (26,1,1,2,1,1,3,4,0)
    38        2:2        2:2       0.997 (27,3,3,2,1,1,3,4,0)
    39        2:2        2:2       0.524 (40,4,4,3,1,1,1,4,0)
    40        2:2        3:3   +   0.65 (21,2,2,1,1,1,3,2,0)
    41        2:2        1:1   +   0.76 (38,4,4,3,1,0,1,4,0)
    42        2:2        3:3   +   0.999 (21,4,4,1,1,1,2,1,0)
    43        2:2        2:2       0.969 (21,4,4,1,1,1,1,4,0)
    44        2:2        3:3   +   0.647 (32,2,1,5,1,0,2,2,0)
    45        2:2        1:1   +   0.997 (43,3,4,2,1,0,2,4,0)
    46        2:2        3:3   +   0.835 (35,2,2,6,1,1,3,4,0)
    47        2:2        2:2       0.537 (44,3,4,6,1,1,3,2,0)
    48        2:2        2:2       1 (48,4,4,6,0,1,2,4,0)
    49        2:2        2:2       0.932 (32,4,4,3,0,1,3,3,0)
    50        2:2        2:2       0.999 (39,4,4,3,0,0,1,4,0)
    51        2:2        1:1   +   0.551 (49,3,4,4,1,1,3,4,0)
    52        2:2        2:2       0.974 (39,4,4,5,1,1,2,4,0)
    53        2:2        2:2       0.999 (49,3,3,11,1,1,1,4,0)
    54        2:2        3:3   +   0.64 (30,3,4,2,1,1,1,4,0)
    55        2:2        2:2       1 (39,4,4,3,0,1,2,4,0)
    56        2:2        1:1   +   0.987 (26,4,4,1,1,0,1,3,0)
    57        2:2        3:3   +   0.512 (48,4,3,7,1,0,2,4,0)
    58        2:2        2:2       0.914 (42,4,4,6,1,1,1,3,0)
    59        2:2        3:3   +   0.997 (28,2,1,2,1,0,3,3,0)
    60        2:2        3:3   +   0.998 (44,4,4,3,1,0,1,4,0)
    61        2:2        2:2       0.982 (36,3,4,7,1,1,2,2,0)
    62        2:2        2:2       0.972 (22,4,4,1,1,1,1,3,0)
    63        2:2        1:1   +   0.986 (18,3,4,1,1,1,3,4,0)
    64        2:2        2:2       0.804 (33,3,3,5,1,1,3,4,0)
    65        2:2        3:3   +   0.999 (25,4,4,2,1,1,2,4,0)
