
Logistic Regression with ridge parameter of 1.0E-8
Coefficients...
               Class
Variable         win     loss
=============================
a1=x         -0.5305   0.6496
a1=o          0.3771  -0.7334
a1=b          0.1719   0.0433
a2=x         -0.6383   0.4152
a2=o          0.4849  -0.6785
a2=b          0.0988   0.1738
a3=x         -0.5963   0.5616
a3=o          0.4942  -0.4315
a3=b          0.0451   -0.062
a4=x         -0.4907   0.4202
a4=o          0.1209  -0.6152
a4=b          0.1859   0.1192
a5=x         -0.7535   0.8153
a5=o          0.7249  -0.7445
a5=b          0.0176  -0.0393
a6=x         -1.1514   1.3955
a6=o          0.8367  -0.9542
a6=b         -0.2465   0.2566
b1=x          -0.289   0.1929
b1=o          0.1935  -0.1435
b1=b          0.1373  -0.0775
b2=x          0.6827   0.0431
b2=o         -0.3619   0.1311
b2=b         -0.2124  -0.1186
b3=x         -0.1373  -0.4911
b3=o         -0.1204   0.6055
b3=b          0.1463  -0.0847
b4=x          0.3067  -0.3416
b4=o         -0.2944   0.2561
b4=b           0.004   0.0348
b5=x         -0.8215   0.0763
b5=o          0.7756  -0.2222
b5=b          0.0095   0.0772
b6=x         -1.5876   1.2628
b6=o          0.8302   -1.194
b6=b         -0.1076   0.4611
c1=x         -0.1028  -0.0345
c1=o         -0.0507  -0.1083
c1=b          0.1662    0.122
c2=x          0.7708  -0.4272
c2=o         -0.3512   0.6368
c2=b          -0.241  -0.1898
c3=x          0.9397  -0.6014
c3=o         -1.2338   0.6905
c3=b          0.2643  -0.1083
c4=x          0.3093  -0.8535
c4=o            -0.4   0.5919
c4=b           0.063   0.1078
c5=x         -0.4737   0.1299
c5=o           0.403   -0.274
c5=b          0.0176    0.082
c6=x         -1.8748   0.5254
c6=o          0.9395  -0.7157
c6=b         -0.0704   0.3336
d1=x          1.1758  -0.2744
d1=o         -0.5391   0.1583
d1=b          0.0253  -0.0357
d2=x          0.7115  -1.4483
d2=o         -0.0261   2.0769
d2=b         -0.4739    0.046
d3=x          1.6452  -0.7468
d3=o         -2.2719   1.2061
d3=b          0.3454  -0.2498
d4=x          0.2531  -1.7114
d4=o          0.5029   2.1797
d4=b         -0.4024  -0.4759
d5=x          0.4717   0.7336
d5=o         -0.3077  -0.0423
d5=b         -0.0447  -0.3105
d6=x         -3.0699  -1.7843
d6=o          1.7636    1.195
d6=b         -0.8843  -0.6531
e1=x         -0.1743   0.0901
e1=o           0.171  -0.1922
e1=b         -0.0866   0.1356
e2=x          0.5477  -0.4923
e2=o           -0.29   0.7823
e2=b           -0.19  -0.0896
e3=x          0.9011  -0.4716
e3=o         -1.3323   0.3906
e3=b          0.1266   0.0804
e4=x          0.4743  -0.5417
e4=o         -0.4592   0.5014
e4=b          0.0325  -0.0245
e5=x         -0.7539   0.5395
e5=o          0.2243  -0.6905
e5=b          0.2062   0.1515
e6=x         -2.3038   1.2121
e6=o          1.1214  -0.2727
e6=b         -0.3783  -0.0496
f1=x         -0.1187   0.1004
f1=o          0.2101  -0.1841
f1=b         -0.0837   0.0759
f2=x          0.3183  -0.1566
f2=o         -0.2342   0.1183
f2=b         -0.0462   0.0209
f3=x          0.0884  -0.1783
f3=o          0.0206   0.6823
f3=b         -0.0582  -0.2662
f4=x          0.4567  -0.2059
f4=o         -0.2631   0.1331
f4=b          -0.069   0.0231
