

=== Predictions under cross-validation ===

 inst#     actual  predicted error prediction (Sequence_Name,mcg,gvh,lip,chg,aac,alm1,alm2)
     1       2:im       2:im       0.294 (PTCC_ECOLI,0.5,0.57,0.48,0.5,0.71,0.61,0.66)
     2       2:im       2:im       0.294 (PTBA_ECOLI,0.51,0.4,0.48,0.5,0.57,0.62,0.67)
     3       2:im       2:im       0.294 (PNTA_ECOLI,0.33,0.37,0.48,0.5,0.46,0.65,0.69)
     4       2:im       2:im       0.294 (EXBB_ECOLI,0.47,0.55,0.48,0.5,0.58,0.71,0.75)
     5       2:im       2:im       0.294 (DHG_ECOLI,0.84,0.44,0.48,0.5,0.48,0.71,0.74)
     6       2:im       2:im       0.294 (KDGL_ECOLI,0.33,0.45,0.48,0.5,0.45,0.88,0.89)
     7       2:im       2:im       0.294 (NHAA_ECOLI,0.89,0.55,0.48,0.5,0.51,0.72,0.76)
     8       2:im       2:im       0.294 (LYSP_ECOLI,0.34,0.51,0.48,0.5,0.67,0.9,0.9)
     9       5:om       2:im   +   0.294 (OMPT_ECOLI,0.63,0.49,0.48,0.5,0.79,0.45,0.28)
    10       5:om       2:im   +   0.294 (TOLC_ECOLI,0.71,0.71,0.48,0.5,0.68,0.43,0.36)
    11       1:cp       2:im   +   0.294 (PNP_ECOLI,0.36,0.56,0.48,0.5,0.43,0.45,0.53)
    12       1:cp       2:im   +   0.294 (PHOB_ECOLI,0.41,0.43,0.48,0.5,0.45,0.31,0.41)
    13       1:cp       2:im   +   0.294 (SYR_ECOLI,0.4,0.46,0.48,0.5,0.42,0.35,0.44)
    14       1:cp       2:im   +   0.294 (XGPT_ECOLI,0.27,0.42,0.48,0.5,0.37,0.38,0.43)
    15       1:cp       2:im   +   0.294 (PTFA_ECOLI,0.34,0.46,0.48,0.5,0.52,0.35,0.44)
    16       1:cp       2:im   +   0.294 (RND_ECOLI,0.44,0.49,0.48,0.5,0.39,0.38,0.4)
    17       1:cp       2:im   +   0.294 (PTGA_ECOLI,0.4,0.42,0.48,0.5,0.37,0.27,0.27)
    18       1:cp       2:im   +   0.294 (SOXS_ECOLI,0.32,0.33,0.48,0.5,0.6,0.06,0.2)
    19      4:imU       2:im   +   0.294 (GLTS_ECOLI,0.58,0.6,0.48,0.5,0.59,0.73,0.76)
    20      4:imU       2:im   +   0.294 (TYRP_ECOLI,0.86,0.55,0.48,0.5,0.63,0.81,0.83)
    21      4:imU       2:im   +   0.294 (NUPG_ECOLI,0.64,0.45,0.48,0.5,0.67,0.61,0.66)
    22       3:pp       2:im   +   0.294 (POTD_ECOLI,0.63,0.8,0.48,0.5,0.46,0.31,0.29)
    23       3:pp       2:im   +   0.294 (YTFQ_ECOLI,0.74,0.74,0.48,0.5,0.31,0.53,0.52)
    24       3:pp       2:im   +   0.294 (UGPB_ECOLI,0.71,0.57,0.48,0.5,0.48,0.35,0.32)
    25       3:pp       2:im   +   0.294 (PPA_ECOLI,0.69,0.59,0.48,0.5,0.46,0.44,0.52)
    26       3:pp       2:im   +   0.294 (MALE_ECOLI,0.64,0.84,0.48,0.5,0.37,0.45,0.4)
    27       3:pp       2:im   +   0.294 (DGAL_ECOLI,0.63,1,0.48,0.5,0.35,0.51,0.49)
     1       2:im       2:im       0.293 (AROP_ECOLI,0.43,0.4,0.48,0.5,0.58,0.75,0.78)
     2       2:im       2:im       0.293 (PTOA_ECOLI,0.35,0.51,0.48,0.5,0.61,0.71,0.74)
     3       2:im       2:im       0.293 (PTTB_ECOLI,0.31,0.44,0.48,0.5,0.5,0.79,0.82)
     4       2:im       2:im       0.293 (DCTA_ECOLI,0.73,0.36,0.48,0.5,0.53,0.91,0.92)
     5       2:im       2:im       0.293 (FRDD_ECOLI,0.64,0.58,0.48,0.5,0.48,0.78,0.73)
     6       2:im       2:im       0.293 (ATP6_ECOLI,0.27,0.35,0.48,0.5,0.51,0.77,0.79)
