

=== Predictions under cross-validation ===

 inst#     actual  predicted error prediction (Sequence_Name,mcg,gvh,alm,mit,erl,pox,vac,nuc)
     1      2:NUC      1:CYT   +   0.412 (KI28_YEAST,0.57,0.49,0.48,0.16,0.5,0,0.51,0.22)
     2      2:NUC      2:NUC       0.498 (PAP_YEAST,0.64,0.52,0.5,0.26,0.5,0,0.51,0.31)
     3      2:NUC      3:MIT   +   0.665 (PHR_YEAST,0.5,0.42,0.57,0.49,0.5,0,0.48,0.27)
     4      2:NUC      2:NUC       0.992 (HCM1_YEAST,0.46,0.57,0.57,0.15,0.5,0,0.52,0.26)
     5      2:NUC      1:CYT   +   0.333 (RPB8_YEAST,0.44,0.5,0.55,0.24,0.5,0,0.48,0.22)
     6      2:NUC      1:CYT   +   0.997 (SSN6_YEAST,0.19,0.66,0.6,0.14,0.5,0,0.2,0.25)
     7      2:NUC      2:NUC       0.996 (NOP3_YEAST,0.44,0.34,0.61,0.13,0.5,0,0.49,0.26)
     8      2:NUC      1:CYT   +   0.636 (SMD1_YEAST,0.48,0.55,0.58,0.18,0.5,0,0.38,0.69)
     9      2:NUC      1:CYT   +   0.421 (GBP2_YEAST,0.23,0.3,0.58,0.22,0.5,0,0.48,0.27)
    10      2:NUC      1:CYT   +   0.399 (ADR6_YEAST,0.48,0.17,0.37,0.33,0.5,0,0.44,0.36)
    11      2:NUC      1:CYT   +   0.996 (P152_YEAST,0.41,0.53,0.41,0.15,0.5,0,0.54,0.25)
    12      2:NUC      1:CYT   +   0.992 (RA18_YEAST,0.51,0.55,0.56,0.18,0.5,0,0.5,0.38)
    13      2:NUC      3:MIT   +   0.992 (SCA1_YEAST,0.47,0.32,0.51,0.24,0.5,0,0.54,0.27)
    14      2:NUC      1:CYT   +   0.996 (RA51_YEAST,0.55,0.59,0.53,0.15,0.5,0,0.49,0.22)
    15      2:NUC      1:CYT   +   0.992 (TEC1_YEAST,0.45,0.4,0.56,0.15,0.5,0,0.52,0.22)
    16      2:NUC      1:CYT   +   0.748 (SRB6_YEAST,0.55,0.47,0.53,0.2,0.5,0,0.4,0.22)
    17      2:NUC      1:CYT   +   0.465 (SIP2_YEAST,0.42,0.42,0.55,0.31,0.5,0,0.43,0.22)
    18      2:NUC      2:NUC       0.4 (RPC2_YEAST,0.46,0.53,0.47,0.37,0.5,0,0.51,0.36)
    19      2:NUC      1:CYT   +   0.498 (SP23_YEAST,0.48,0.65,0.36,0.24,0.5,0,0.54,0.31)
    20      2:NUC      3:MIT   +   0.375 (RPC5_YEAST,0.38,0.38,0.54,0.24,0.5,0,0.54,0.22)
    21      2:NUC      1:CYT   +   0.444 (MT28_YEAST,0.43,0.83,0.55,0.2,0.5,0,0.47,0.4)
    22      2:NUC      2:NUC       0.713 (RA10_YEAST,0.61,0.39,0.53,0.14,0.5,0,0.43,0.26)
    23      2:NUC      2:NUC       0.992 (GCR3_YEAST,0.17,0.38,0.45,0.09,0.5,0,0.54,0.27)
    24      2:NUC      1:CYT   +   0.727 (INO4_YEAST,0.45,0.38,0.59,0.18,0.5,0,0.44,0.45)
    25      2:NUC      2:NUC       0.5 (RIMI_YEAST,0.33,0.38,0.47,0.14,0.5,0,0.51,0.47)
    26      2:NUC      2:NUC       0.333 (SP14_YEAST,0.52,0.45,0.45,0.13,0.5,0,0.48,0.22)
    27      2:NUC      1:CYT   +   0.375 (RA50_YEAST,0.45,0.54,0.49,0.29,0.5,0,0.49,0.25)
    28      2:NUC      3:MIT   +   0.992 (TYE7_YEAST,0.36,0.52,0.61,0.33,0.5,0,0.52,0.37)
    29      2:NUC      2:NUC       0.5 (MAD1_YEAST,0.62,0.64,0.56,0.2,0.5,0,0.48,0.33)
    30      2:NUC      2:NUC       0.399 (NU49_YEAST,0.69,0.62,0.49,0,1,0,0.47,0.22)
    31      2:NUC      1:CYT   +   0.333 (PR19_YEAST,0.48,0.41,0.54,0.39,0.5,0,0.51,0.22)
    32      2:NUC      3:MIT   +   0.333 (YHX8_YEAST,0.4,0.43,0.49,0.17,0.5,0,0.51,0.36)
    33      2:NUC      1:CYT   +   0.4 (SPT3_YEAST,0.59,0.49,0.45,0.22,0.5,0,0.45,0.31)
    34      2:NUC      2:NUC       0.499 (N116_YEAST,0.88,0.59,0.54,0.39,0.5,0,0.41,0.3)
    35      2:NUC      2:NUC       0.5 (MER2_YEAST,0.4,0.53,0.61,0.21,0.5,0,0.48,0.33)
    36      2:NUC      1:CYT   +   0.286 (ZIP1_YEAST,0.47,0.43,0.61,0.4,0.5,0,0.48,0.47)
    37      3:MIT      3:MIT       0.624 (RM16_YEAST,0.53,0.42,0.58,0.29,0.5,0,0.5,0.22)
    38      3:MIT      1:CYT   +   0.498 (ODPA_YEAST,0.6,0.54,0.54,0.53,0.5,0,0.52,0.27)
    39      3:MIT      2:NUC   +   0.333 (PT54_YEAST,0.5,0.57,0.62,0.25,0.5,0,0.51,0.22)
    40      3:MIT      1:CYT   +   0.5 (SYMM_YEAST,0.51,0.48,0.51,0.43,0.5,0,0.49,0.22)
    41      3:MIT      1:CYT   +   0.499 (IDH1_YEAST,0.53,0.56,0.49,0.46,0.5,0,0.52,0.22)
    42      3:MIT      1:CYT   +   0.333 (RT13_YEAST,0.51,0.42,0.56,0.38,0.5,0,0.46,0.22)
    43      3:MIT      2:NUC   +   0.996 (SYWM_YEAST,0.44,0.53,0.53,0.37,0.5,0,0.51,0.22)
    44      3:MIT      3:MIT       0.333 (OM20_YEAST,0.72,0.58,0.42,0.28,0.5,0,0.48,0.22)
    45      3:MIT      1:CYT   +   0.996 (PT22_YEAST,0.56,0.68,0.52,0.39,0.5,0,0.36,0.22)
    46      3:MIT      1:CYT   +   0.996 (RT02_YEAST,0.57,0.4,0.62,0.3,0.5,0,0.48,0.11)
    47      3:MIT      4:ME3   +   0.992 (MRF1_YEAST,0.46,0.61,0.55,0.29,0.5,0,0.49,0.22)
    48      3:MIT      1:CYT   +   0.665 (EFG1_YEAST,0.53,0.48,0.45,0.44,0.5,0,0.49,0.27)
    49      3:MIT      1:CYT   +   0.992 (ACOX_YEAST,0.46,0.41,0.5,0.44,0.5,0,0.53,0.22)
    50      3:MIT      4:ME3   +   0.499 (RCA1_YEAST,0.41,0.41,0.43,0.61,0.5,0,0.53,0.22)
    51      3:MIT      3:MIT       0.992 (SCO1_YEAST,0.52,0.54,0.47,0.49,0.5,0,0.54,0.22)
    52      3:MIT      2:NUC   +   0.4 (SODM_YEAST,0.54,0.47,0.58,0.4,0.5,0,0.46,0.27)
    53      3:MIT      1:CYT   +   0.363 (YME1_YEAST,0.63,0.57,0.5,0.48,0.5,0,0.51,0.22)
    54      1:CYT      1:CYT       0.992 (TRPG_YEAST,0.57,0.36,0.51,0.25,0.5,0,0.54,0.25)
    55      1:CYT      1:CYT       0.992 (R17A_YEAST,0.43,0.33,0.54,0.37,0.5,0,0.38,0.16)
    56      1:CYT      1:CYT       0.992 (SYKC_YEAST,0.43,0.45,0.54,0.14,0.5,0,0.5,0.31)
    57      1:CYT      1:CYT       0.992 (TCPE_YEAST,0.62,0.42,0.47,0.16,0.5,0,0.52,0.22)
    58      1:CYT      3:MIT   +   0.992 (GDI1_YEAST,0.64,0.53,0.45,0.13,0.5,0,0.53,0.22)
    59      1:CYT      1:CYT       0.856 (AMPM_YEAST,0.48,0.51,0.57,0.24,0.5,0,0.5,0.22)
    60      1:CYT      3:MIT   +   0.992 (PRC9_YEAST,0.48,0.56,0.49,0.32,0.5,0,0.5,0.22)
    61      1:CYT      1:CYT       0.418 (GAL1_YEAST,0.48,0.35,0.42,0.21,0.5,0,0.57,0.22)
    62      1:CYT      1:CYT       0.992 (RL41_YEAST,0.35,0.21,1,0.8,0.5,0,0.13,0.01)
    63      1:CYT      1:CYT       0.992 (LEU2_YEAST,0.51,0.43,0.47,0.19,0.5,0,0.52,0.37)
    64      1:CYT      2:NUC   +   0.5 (SMY2_YEAST,0.6,0.64,0.56,0.36,0.5,0,0.46,0.27)
    65      1:CYT      2:NUC   +   0.992 (PGK_YEAST,0.48,0.42,0.48,0.19,0.5,0,0.58,0.22)
    66      1:CYT      1:CYT       0.499 (FIMB_YEAST,0.51,0.4,0.5,0.28,0.5,0,0.48,0.27)
    67      1:CYT      2:NUC   +   0.992 (SEC1_YEAST,0.6,0.51,0.49,0.18,0.5,0,0.53,0.38)
    68      1:CYT      3:MIT   +   0.992 (ERG6_YEAST,0.32,0.47,0.55,0.12,0.5,0,0.52,0.22)
    69      1:CYT      1:CYT       0.454 (GCN2_YEAST,0.37,0.33,0.5,0.12,0.5,0,0.51,0.54)
    70      1:CYT      1:CYT       0.992 (TBA3_YEAST,0.59,0.46,0.55,0.17,0.5,0,0.52,0.25)
    71      1:CYT      1:CYT       0.665 (GFA1_YEAST,0.52,0.51,0.51,0.12,0.5,0,0.51,0.4)
    72      1:CYT      2:NUC   +   0.286 (SC72_YEAST,0.59,0.55,0.57,0.18,0.5,0,0.51,0.22)
    73      1:CYT      1:CYT       0.498 (UGS2_YEAST,0.58,0.41,0.51,0.26,0.5,0,0.51,0.37)
    74      1:CYT      1:CYT       0.498 (TCPD_YEAST,0.39,0.47,0.49,0.2,0.5,0,0.53,0.26)
    75      1:CYT      2:NUC   +   0.992 (CNA2_YEAST,0.39,0.58,0.5,0.1,0.5,0,0.51,0.25)
    76      1:CYT      2:NUC   +   0.416 (PGM1_YEAST,0.43,0.45,0.53,0.19,0.5,0,0.56,0.22)
    77      1:CYT      1:CYT       0.992 (TKT1_YEAST,0.58,0.55,0.51,0.13,0.5,0,0.52,0.22)
    78      1:CYT      2:NUC   +   0.992 (NAB1_YEAST,0.49,0.6,0.55,0.17,0.5,0,0.44,0.22)
    79      1:CYT      1:CYT       0.992 (DCP3_YEAST,0.52,0.46,0.51,0.18,0.5,0,0.5,0.22)
    80      1:CYT      1:CYT       0.312 (E2BA_YEAST,0.45,0.56,0.49,0.17,0.5,0,0.52,0.22)
    81      1:CYT      3:MIT   +   0.5 (G3P1_YEAST,0.59,0.48,0.49,0.42,0.5,0,0.52,0.22)
    82      1:CYT      3:MIT   +   0.992 (MDM1_YEAST,0.49,0.44,0.45,0.22,0.5,0,0.51,0.22)
    83      1:CYT      4:ME3   +   0.665 (PROC_YEAST,0.77,0.57,0.45,0.17,0.5,0,0.53,0.22)
    84      1:CYT      1:CYT       0.498 (HXKA_YEAST,0.41,0.3,0.49,0.28,0.5,0,0.54,0.22)
    85      1:CYT      1:CYT       0.992 (RL15_YEAST,0.46,0.35,0.69,0.18,0.5,0,0.3,0.25)
    86      1:CYT      2:NUC   +   0.498 (GBG_YEAST,0.36,0.37,0.63,0.25,0.5,0,0.3,0.22)
    87      1:CYT      2:NUC   +   0.998 (NAM7_YEAST,0.37,0.41,0.45,0.14,0.5,0,0.47,0.22)
    88      1:CYT      1:CYT       0.498 (G6PD_YEAST,0.65,0.54,0.54,0.13,0.5,0,0.53,0.22)
    89      1:CYT      2:NUC   +   0.992 (KIP2_YEAST,0.38,0.49,0.54,1,0.5,0,0.5,0.27)
    90      1:CYT      1:CYT       0.996 (KAPA_YEAST,0.25,0.26,0.53,0.17,0.5,0,0.45,0.22)
