

=== Predictions under cross-validation ===

 inst#     actual  predicted error prediction (Hair,Feathers,Eggs,Milk,Airborne,Aquatic,Predator,Toothed,Backbone,Breathes,Venomous,Fins,Legs,Tail,Domestic,Catsize,Type)
     1    84:gnat    83:flea   +   0.165 (0,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,6)
     2     4:boar  8:cheetah   +   0.1 (1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1)
     3    82:toad    80:frog   +   0.479 (0,0,1,0,0,1,0,1,1,1,0,0,4,0,0,0,5)
     4    26:oryx 2:antelope   +   0.198 (1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1)
     5    39:vole    18:hare   +   0.479 (1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,0,1)
     6 13:giraffe 2:antelope   +   0.198 (1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1)
     7    29:pony     6:calf   +   0.246 (1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,1)
     8 51:ostrich 46:flaming   +   0.325 (0,1,1,0,0,0,0,0,1,1,0,0,2,1,0,1,2)
     9    35:seal 10:dolphin   +   0.246 (1,0,0,1,0,1,1,1,1,1,0,1,0,0,0,1,1)
    10    77:sole 72:haddock   +   0.325 (0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,4)
    11    90:wasp 85:honeybe   +   0.246 (1,0,1,0,1,0,0,0,0,1,1,0,6,0,0,0,6)
     1 94:lobster 93:crayfis   +   0.482 (0,0,1,0,0,1,1,0,0,0,0,0,6,0,0,0,7)
     2    21:lynx     4:boar   +   0.111 (1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1)
     3 33:raccoon     4:boar   +   0.111 (1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1)
     4    48:hawk    43:crow   +   0.482 (0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,0,2)
     5 16:gorilla 40:wallaby   +   0.482 (1,0,0,1,0,0,0,1,1,1,0,0,2,0,0,1,1)
     6 97:seawasp    91:clam   +   0.198 (0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,7)
     7 42:chicken    44:dove   +   0.326 (0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,2)
     8 37:squirre 12:fruitba   +   0.198 (1,0,0,1,0,0,0,1,1,1,0,0,2,1,0,0,1)
     9     9:deer 2:antelope   +   0.166 (1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1)
    10    18:hare    39:vole   +   0.482 (1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,0,1)
