

=== Predictions under cross-validation ===

 inst#     actual  predicted error prediction (Hair,Feathers,Eggs,Milk,Airborne,Aquatic,Predator,Toothed,Backbone,Breathes,Venomous,Fins,Legs,Tail,Domestic,Catsize,Type)
     1    84:gnat    83:flea   +   0.333 (0,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,6)
     2     4:boar  8:cheetah   +   0.1 (1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1)
     3    82:toad    80:frog   +   0.667 (0,0,1,0,0,1,0,1,1,1,0,0,4,0,0,0,5)
     4    26:oryx 2:antelope   +   0.2 (1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1)
     5    39:vole 2:antelope   +   0.2 (1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,0,1)
     6 13:giraffe 2:antelope   +   0.2 (1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1)
     7    29:pony     6:calf   +   0.333 (1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,1)
     8 51:ostrich 46:flaming   +   0.2 (0,1,1,0,0,0,0,0,1,1,0,0,2,1,0,1,2)
     9    35:seal 1:aardvark   +   0.333 (1,0,0,1,0,1,1,1,1,1,0,1,0,0,0,1,1)
    10    77:sole    68:carp   +   0.333 (0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,4)
    11    90:wasp 85:honeybe   +   0.333 (1,0,1,0,1,0,0,0,0,1,1,0,6,0,0,0,6)
     1 94:lobster 87:ladybir   +   0.5 (0,0,1,0,0,1,1,0,0,0,0,0,6,0,0,0,7)
     2    21:lynx     4:boar   +   0.111 (1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1)
     3 33:raccoon     4:boar   +   0.111 (1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1)
     4    48:hawk    43:crow   +   0.5 (0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,0,2)
     5 16:gorilla 2:antelope   +   0.143 (1,0,0,1,0,0,0,1,1,1,0,0,2,0,0,1,1)
     6 97:seawasp    91:clam   +   1 (0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,7)
     7 42:chicken    44:dove   +   0.5 (0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,2)
     8 37:squirre 2:antelope   +   0.143 (1,0,0,1,0,0,0,1,1,1,0,0,2,1,0,0,1)
     9     9:deer 2:antelope   +   0.143 (1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1)
    10    18:hare 2:antelope   +   0.143 (1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,0,1)
     1 69:catfish 63:seasnak   +   0.2 (0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4)
     2    61:wren    50:lark   +   0.5 (0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,2)
     3    45:duck    47:gull   +   0.333 (0,1,1,0,1,1,0,0,1,1,0,0,2,1,0,0,2)
     4 54:pheasan    50:lark   +   0.5 (0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,2)
     5     6:calf    15:goat   +   0.333 (1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,1)
     6 30:porpois 10:dolphin   +   0.5 (0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1,1)
     7 12:fruitba 16:gorilla   +   0.333 (1,0,0,1,1,0,0,1,1,1,0,0,2,1,0,0,1)
     8 40:wallaby 16:gorilla   +   0.333 (1,0,0,1,0,0,0,1,1,1,0,0,2,1,0,1,1)
     9 99:starfis    47:gull   +   0.1 (0,0,1,0,0,1,1,0,0,0,0,0,5,0,0,0,7)
    10 86:housefl 85:honeybe   +   0.333 (1,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,6)
     1 11:elephan 2:antelope   +   0.2 (1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1)
     2 32:pussyca     4:boar   +   0.111 (1,0,0,1,0,0,1,1,1,1,0,0,4,1,1,1,1)
     3 19:leopard     4:boar   +   0.111 (1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1)
     4 96:scorpio 62:pitvipe   +   0.1 (0,0,0,0,0,0,1,0,0,1,1,0,8,1,0,0,7)
     5 52:parakee 42:chicken   +   0.5 (0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,2)
     6    59:swan    45:duck   +   0.2 (0,1,1,0,1,1,0,0,1,1,0,0,2,1,0,1,2)
     7 36:sealion    22:mink   +   0.333 (1,0,0,1,0,1,1,1,1,1,0,1,2,1,0,1,1)
     8 75:piranha 63:seasnak   +   0.2 (0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4)
     9 87:ladybir    83:flea   +   0.333 (0,0,1,0,1,0,1,0,0,1,0,0,6,0,0,0,6)
    10 60:vulture    43:crow   +   0.5 (0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,1,2)
     1 2:antelope  5:buffalo   +   0.2 (1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1)
     2    92:crab 65:tortois   +   1 (0,0,1,0,0,1,1,0,0,0,0,0,4,0,0,0,7)
     3    98:slug    91:clam   +   0.333 (0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,7)
     4     3:bear 1:aardvark   +   0.1 (1,0,0,1,0,0,1,1,1,1,0,0,4,0,0,1,1)
     5 73:herring 63:seasnak   +   0.2 (0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4)
     6 24:mongoos 1:aardvark   +   0.1 (1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1)
     7    41:wolf 1:aardvark   +   0.1 (1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1)
     8 76:seahors    68:carp   +   0.333 (0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,4)
     9 62:pitvipe 10:dolphin   +   0.333 (0,0,1,0,0,0,1,1,1,1,1,0,0,1,0,0,3)
    10    14:girl 1:aardvark   +   0.1 (1,0,0,1,0,0,1,1,1,1,0,0,2,0,1,1,1)
     1  5:buffalo 2:antelope   +   0.2 (1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1)
     2 58:sparrow    50:lark   +   0.25 (0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,2)
     3 46:flaming    50:lark   +   0.25 (0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,1,2)
     4 63:seasnak    67:bass   +   0.2 (0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,3)
     5 34:reindee     6:calf   +   0.333 (1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,1)
     6 78:stingra 71:dogfish   +   0.333 (0,0,1,0,0,1,1,1,1,0,1,1,0,1,0,1,4)
     7 93:crayfis    91:clam   +   0.167 (0,0,1,0,0,1,1,0,0,0,0,0,6,0,0,0,7)
     8 85:honeybe 86:housefl   +   0.333 (1,0,1,0,1,0,0,0,0,1,1,0,6,0,1,0,6)
     9 28:polecat     4:boar   +   0.1 (1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1)
    10   100:worm 96:scorpio   +   0.5 (0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,7)
     1    31:puma     4:boar   +   0.091 (1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1)
     2    79:tuna    67:bass   +   0.167 (0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,4)
     3 71:dogfish    67:bass   +   0.167 (0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,4)
     4 56:skimmer    47:gull   +   0.333 (0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,2)
     5 64:slowwor 10:dolphin   +   0.333 (0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,0,3)
     6     7:cavy     6:calf   +   0.2 (1,0,0,1,0,0,0,1,1,1,0,0,4,0,1,0,1)
     7    91:clam 97:seawasp   +   0.333 (0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,7)
     8 95:octopus 96:scorpio   +   1 (0,0,1,0,0,1,1,0,0,0,0,0,8,0,0,1,7)
     9    83:flea 89:termite   +   0.333 (0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0,6)
    10 25:opossum     4:boar   +   0.091 (1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,0,1)
     1    68:carp 72:haddock   +   0.333 (0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,0,4)
     2 17:hamster     6:calf   +   0.2 (1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,0,1)
     3 66:tuatara 65:tortois   +   1 (0,0,1,0,0,0,1,1,1,1,0,0,4,1,0,0,3)
     4    74:pike 71:dogfish   +   0.333 (0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,4)
     5 27:platypu    22:mink   +   0.333 (1,0,1,1,0,1,1,0,1,1,0,0,4,1,0,1,1)
     6    88:moth 85:honeybe   +   0.333 (1,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,6)
     7    55:rhea    43:crow   +   0.333 (0,1,1,0,0,0,1,0,1,1,0,0,2,1,0,1,2)
     8    49:kiwi    43:crow   +   0.333 (0,1,1,0,0,0,1,0,1,1,0,0,2,1,0,0,2)
     9    57:skua    47:gull   +   0.333 (0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,2)
    10    23:mole     4:boar   +   0.083 (1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,0,1)
     1    80:frog    67:bass   +   0.167 (0,0,1,0,0,1,1,1,1,1,0,0,4,0,0,0,5)
     2 53:penguin    47:gull   +   0.333 (0,1,1,0,0,1,1,0,1,1,0,0,2,1,0,1,2)
     3    81:newt    67:bass   +   0.167 (0,0,1,0,0,1,1,1,1,1,0,0,4,1,0,0,5)
     4 65:tortois    82:toad   +   1 (0,0,1,0,0,0,0,0,1,1,0,0,4,1,0,1,3)
     5    20:lion     4:boar   +   0.111 (1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1)
     6 1:aardvark     3:bear   +   0.5 (1,0,0,1,0,0,1,1,1,1,0,0,4,0,0,1,1)
     7    22:mink    35:seal   +   0.5 (1,0,0,1,0,1,1,1,1,1,0,0,4,1,0,1,1)
     8  8:cheetah     4:boar   +   0.111 (1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1)
     9 38:vampire 12:fruitba   +   0.5 (1,0,0,1,1,0,0,1,1,1,0,0,2,1,0,0,1)
    10 10:dolphin 30:porpois   +   0.5 (0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1,1)
     1    80:frog    80:frog       0.5 (0,0,1,0,0,1,1,1,1,1,1,0,4,0,0,0,5)
     2    67:bass 63:seasnak   +   0.25 (0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4)
     3    43:crow    48:hawk   +   0.5 (0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,0,2)
     4    15:goat     6:calf   +   0.333 (1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,1)
     5    47:gull 53:penguin   +   0.333 (0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,2)
     6    44:dove 42:chicken   +   0.5 (0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,2)
     7 72:haddock    68:carp   +   0.25 (0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,4)
     8    70:chub 63:seasnak   +   0.25 (0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4)
     9    50:lark 54:pheasan   +   0.333 (0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,2)
    10 89:termite    83:flea   +   0.333 (0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0,6)

