

=== Predictions under cross-validation ===

 inst#     actual  predicted error prediction (Hair,Feathers,Eggs,Milk,Airborne,Aquatic,Predator,Toothed,Backbone,Breathes,Venomous,Fins,Legs,Tail,Domestic,Catsize,Type)
     1    14:girl 32:pussyca   +   0.102 (1,0,0,1,0,0,1,1,1,1,0,0,2,0,1,1,1)
     2 53:penguin    55:rhea   +   0.15 (0,1,1,0,0,1,1,0,1,1,0,0,2,1,0,1,2)
     3 16:gorilla 40:wallaby   +   0.131 (1,0,0,1,0,0,0,1,1,1,0,0,2,0,0,1,1)
     4 72:haddock 76:seahors   +   0.248 (0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,4)
     5 62:pitvipe 64:slowwor   +   0.287 (0,0,1,0,0,0,1,1,1,1,1,0,0,1,0,0,3)
     6 17:hamster    15:goat   +   0.093 (1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,0,1)
     7 34:reindee    15:goat   +   0.132 (1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,1)
     8 96:scorpio 97:seawasp   +   0.061 (0,0,0,0,0,0,1,0,0,1,1,0,8,1,0,0,7)
     1    47:gull 56:skimmer   +   0.21 (0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,2)
     2 36:sealion 30:porpois   +   0.099 (1,0,0,1,0,1,1,1,1,1,0,1,2,1,0,1,1)
     3    48:hawk    49:kiwi   +   0.091 (0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,0,2)
     4 40:wallaby 11:elephan   +   0.072 (1,0,0,1,0,0,0,1,1,1,0,0,2,1,0,1,1)
     5    22:mink 19:leopard   +   0.071 (1,0,0,1,0,1,1,1,1,1,0,0,4,1,0,1,1)
     6   100:worm    98:slug   +   0.393 (0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,7)
     7    45:duck    50:lark   +   0.103 (0,1,1,0,1,1,0,0,1,1,0,0,2,1,0,0,2)
     8    15:goat    29:pony   +   0.126 (1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,1)
     1 66:tuatara 64:slowwor   +   0.184 (0,0,1,0,0,0,1,1,1,1,0,0,4,1,0,0,3)
     2 75:piranha 73:herring   +   0.235 (0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4)
     3    88:moth 86:housefl   +   0.314 (1,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,6)
     4 32:pussyca    15:goat   +   0.06 (1,0,0,1,0,0,1,1,1,1,0,0,4,1,1,1,1)
     5 56:skimmer    47:gull   +   0.183 (0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,2)
     6 63:seasnak 62:pitvipe   +   0.151 (0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,3)
     7 87:ladybir    84:gnat   +   0.244 (0,0,1,0,1,0,1,0,0,1,0,0,6,0,0,0,6)
     8    49:kiwi    48:hawk   +   0.12 (0,1,1,0,0,0,1,0,1,1,0,0,2,1,0,0,2)
     1 11:elephan 13:giraffe   +   0.098 (1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1)
     2    31:puma 19:leopard   +   0.089 (1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1)
     3    55:rhea    49:kiwi   +   0.126 (0,1,1,0,0,0,1,0,1,1,0,0,2,1,0,1,2)
     4    23:mole 25:opossum   +   0.127 (1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,0,1)
