

=== Predictions under cross-validation ===

 inst#     actual  predicted error prediction (Hair,Feathers,Eggs,Milk,Airborne,Aquatic,Predator,Toothed,Backbone,Breathes,Venomous,Fins,Legs,Tail,Domestic,Catsize,Type)
     1    14:girl 32:pussyca   +   0.022 (1,0,0,1,0,0,1,1,1,1,0,0,2,0,1,1,1)
     2 53:penguin    55:rhea   +   0.022 (0,1,1,0,0,1,1,0,1,1,0,0,2,1,0,1,2)
     3 16:gorilla 40:wallaby   +   0.022 (1,0,0,1,0,0,0,1,1,1,0,0,2,0,0,1,1)
     4 72:haddock 76:seahors   +   0.022 (0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,4)
     5 62:pitvipe 64:slowwor   +   0.022 (0,0,1,0,0,0,1,1,1,1,1,0,0,1,0,0,3)
     6 17:hamster    15:goat   +   0.022 (1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,0,1)
     7 34:reindee    15:goat   +   0.022 (1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,1)
     8 96:scorpio 97:seawasp   +   0.022 (0,0,0,0,0,0,1,0,0,1,1,0,8,1,0,0,7)
     1    47:gull 56:skimmer   +   0.022 (0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,2)
     2 36:sealion 30:porpois   +   0.022 (1,0,0,1,0,1,1,1,1,1,0,1,2,1,0,1,1)
     3    48:hawk    49:kiwi   +   0.022 (0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,0,2)
     4 40:wallaby 16:gorilla   +   0.022 (1,0,0,1,0,0,0,1,1,1,0,0,2,1,0,1,1)
     5    22:mink 19:leopard   +   0.022 (1,0,0,1,0,1,1,1,1,1,0,0,4,1,0,1,1)
     6   100:worm    98:slug   +   0.022 (0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,7)
     7    45:duck    50:lark   +   0.022 (0,1,1,0,1,1,0,0,1,1,0,0,2,1,0,0,2)
     8    15:goat    29:pony   +   0.022 (1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,1)
     1 66:tuatara 64:slowwor   +   0.022 (0,0,1,0,0,0,1,1,1,1,0,0,4,1,0,0,3)
     2 75:piranha 73:herring   +   0.022 (0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4)
     3    88:moth 86:housefl   +   0.022 (1,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,6)
