

=== Predictions under cross-validation ===

 inst#     actual  predicted error prediction (OBJNUM,TYPE,XX1,YY1,XX2,YY2,SIZE,DIAG)
     1        6:G        6:G       0.776 (0,line,22,0,11,7,13.04,50.12)
     2        6:G        6:G       0.869 (3,line,0,11,7,14,7.62,15.65)
     3        6:G        3:D   +   0.919 (2,line,0,12,9,18,10.82,30.61)
     4        6:G        3:D   +   0.513 (1,line,16,6,0,12,17.09,45.61)
     5        6:G        6:G       0.899 (0,line,12,0,2,3,10.44,22.8)
     6        6:G        6:G       0.954 (5,line,14,8,7,8,7,27.78)
     7        6:G        5:F   +   0.536 (2,line,0,14,0,29,15,53.82)
     8        6:G        5:F   +   0.301 (1,line,0,17,0,34,17,54.23)
     9        6:G        3:D   +   0.685 (3,line,1,24,17,32,17.89,36.24)
    10        6:G        6:G       0.999 (5,line,22,9,17,9,5,45.65)
    11        6:G        6:G       1 (1,line,3,2,0,4,3.61,16.12)
    12        6:G        6:G       0.998 (2,line,0,6,0,11,5,18.87)
    13        6:G        3:D   +   0.608 (2,line,0,18,7,27,11.4,50.21)
    14        6:G        6:G       0.998 (1,line,8,2,0,4,8.25,17.69)
    15        6:G        6:G       1 (1,line,3,2,0,4,3.61,15.62)
    16        6:G        6:G       0.508 (3,line,12,0,14,8,8.25,31.76)
    17        6:G        6:G       0.865 (2,line,0,15,3,23,8.54,34.99)
    18        6:G       10:R   +   0.709 (2,line,0,28,21,42,25.24,47.41)
    19        6:G        6:G       0.885 (5,line,18,0,17,9,9.06,40.25)
    20        6:G        3:D   +   0.433 (1,line,18,10,0,19,20.12,53.74)
    21        6:G        6:G       0.783 (5,line,16,0,16,7,7,36.72)
    22        6:G        6:G       0.925 (1,line,6,4,0,8,7.21,21.26)
    23        6:G        7:H   +   0.432 (2,line,0,16,20,24,21.54,32.56)
    24        6:G        5:F   +   0.412 (2,line,0,8,0,15,7,25.55)
    25        6:G        6:G       0.978 (1,line,4,10,0,21,11.7,47.41)
    26        6:G        5:F   +   0.334 (3,line,0,23,22,29,22.8,46.69)
    27        6:G       10:R   +   0.726 (2,line,0,32,24,48,28.84,54.12)
    28        6:G        6:G       0.987 (5,line,19,0,18,8,8.06,43.42)
    29        6:G        5:F   +   0.259 (1,line,0,17,0,34,17,56.82)
    30        6:G        7:H   +   0.646 (3,line,17,0,16,10,10.05,33.84)
    31        6:G        6:G       0.333 (1,line,0,7,0,14,7,21.93)
    32        6:G        6:G       0.989 (0,line,19,0,3,6,17.09,29.73)
    33        6:G        6:G       0.356 (3,line,0,29,11,36,13.04,49.19)
    34        6:G        7:H   +   0.412 (1,line,0,11,0,22,11,35.34)
    35        6:G        9:P   +   0.702 (2,line,0,34,30,50,34,58.83)
    36        6:G        6:G       0.622 (3,line,24,0,25,10,10.05,54.12)
    37        6:G        6:G       0.604 (2,line,0,10,0,20,10,34)
    38        6:G        6:G       0.919 (0,line,20,0,10,7,12.21,44.72)
    39        6:G        6:G       0.866 (3,line,29,0,30,9,9.06,45.34)
    40        6:G        6:G       0.998 (5,line,16,7,10,7,6,22.63)
    41        6:G        6:G       0.995 (5,line,12,0,12,6,6,27.78)
    42        6:G        4:E   +   0.434 (2,line,0,24,33,36,35.11,50.21)
    43        6:G        6:G       0.76 (1,line,13,6,0,12,14.32,45.49)
    44        6:G        6:G       0.608 (0,line,26,0,0,16,30.53,56.08)
    45        6:G        3:D   +   0.644 (3,line,0,24,16,30,17.09,45.61)
    46        6:G        6:G       0.761 (1,line,5,5,0,10,7.07,36.72)
    47        6:G        6:G       0.854 (1,line,25,8,0,16,26.25,60.31)
    48        6:G        7:H   +   0.75 (0,line,12,0,0,9,15,31.76)
    49        6:G        6:G       1 (5,line,35,9,31,9,4,54.67)
    50        6:G        6:G       0.658 (4,line,19,0,20,10,10.05,43.42)
    51        6:G        6:G       0.915 (5,line,30,0,28,6,6.32,54.92)
    52        6:G        6:G       0.994 (0,line,13,0,6,4,8.06,22.8)
    53        6:G        6:G       0.947 (3,line,7,0,9,9,9.22,17.8)
    54        6:G        6:G       0.911 (4,line,23,0,24,11,11.05,52.84)
    55        6:G        6:G       0.97 (3,line,8,0,8,10,10,17.89)
    56        6:G        7:H   +   0.64 (2,line,0,11,11,17,12.53,30.41)
    57        6:G       10:R   +   0.652 (3,line,0,28,11,35,13.04,47.89)
    58        6:G       10:R   +   0.873 (4,line,2,34,20,40,18.97,45.65)
    59        6:G        6:G       1 (5,line,27,9,22,9,5,48.26)
    60        6:G        6:G       0.76 (0,line,14,0,0,11,17.8,35.78)
    61        6:G        6:G       0.996 (4,line,7,6,2,6,5,13.89)
    62        6:G        6:G       0.881 (0,line,13,0,0,8,15.26,27.78)
    63        6:G        6:G       0.996 (5,line,13,0,11,7,7.28,29.53)
    64        6:G       10:R   +   0.672 (3,line,0,28,13,35,14.76,53.41)
    65        6:G        6:G       0.991 (5,line,24,0,25,10,10.05,42.8)
    66        6:G        6:G       0.884 (4,line,12,0,12,6,6,27.78)
    67        6:G        6:G       1 (1,line,3,2,0,4,3.61,16.12)
    68        6:G        6:G       0.597 (2,line,0,30,42,44,44.27,62.23)
    69        6:G        6:G       0.951 (4,line,21,0,19,6,6.32,46.96)
    70        6:G        6:G       0.982 (5,line,12,0,13,7,7.07,19.8)
    71        6:G        6:G       1 (6,line,42,11,38,11,4,59.4)
    72        6:G        3:D   +   0.779 (0,line,16,0,8,5,9.43,36.72)
    73        6:G        6:G       0.999 (1,line,3,3,0,6,4.24,19.42)
    74        6:G        6:G       0.699 (0,line,44,0,0,15,46.49,64.35)
    75        6:G        6:G       0.997 (5,line,24,6,20,6,4,32.56)
    76        6:G        6:G       0.823 (0,line,9,0,2,2,7.28,16.97)
    77        6:G        3:D   +   0.483 (2,line,0,18,10,26,12.81,28.23)
    78        6:G        6:G       1 (6,line,18,9,13,9,5,40.25)
    79        6:G        6:G       1 (6,line,13,10,9,10,4,25.55)
    80        6:G        6:G       0.562 (0,line,21,0,0,12,24.19,42.72)
    81        6:G        6:G       0.703 (1,line,2,9,0,18,9.22,40.71)
    82        6:G        5:F   +   0.598 (3,line,0,32,1,40,8.06,64.44)
    83        6:G        6:G       0.824 (0,line,18,0,2,9,18.36,41.18)
    84        6:G        6:G       0.886 (3,line,28,0,29,11,11.05,47.8)
    85        6:G        6:G       0.953 (1,line,4,12,0,25,13.6,56.82)
    86        6:G        6:G       0.692 (5,line,20,0,20,8,8,36.62)
    87        6:G       10:R   +   0.456 (3,line,20,36,41,48,24.19,63.13)
    88        6:G        5:F   +   0.345 (2,line,0,23,2,35,12.17,52.84)
    89        6:G        6:G       0.999 (2,line,0,4,0,8,4,15.62)
    90        6:G       10:R   +   0.297 (2,line,0,19,9,29,13.45,46.62)
    91        6:G        6:G       0.764 (4,line,17,0,17,10,10,38.95)
    92        6:G        3:D   +   0.479 (3,line,2,27,18,36,18.36,41.18)
    93        6:G        6:G       0.954 (3,line,5,36,26,48,24.19,54.59)
    94        6:G        6:G       1 (5,line,38,11,33,11,5,53.74)
    95        6:G        6:G       0.833 (0,line,37,0,16,6,21.84,54.45)
    96        6:G        6:G       0.829 (4,line,18,0,17,8,8.06,40.25)
    97        6:G        6:G       0.685 (2,line,0,6,0,12,6,22.8)
    98        6:G        6:G       0.959 (5,line,10,0,10,9,9,22.83)
    99        6:G        6:G       0.795 (1,line,9,8,0,16,12.04,56.82)
   100        6:G        6:G       0.793 (4,line,22,0,24,8,8.25,50.12)
   101        6:G        6:G       0.998 (4,line,42,8,35,8,7,59.4)
   102        6:G        6:G       0.996 (0,line,11,0,3,4,8.94,26.08)
   103        6:G        6:G       1 (5,line,9,8,4,8,5,15)
   104        6:G        6:G       0.989 (5,line,23,6,17,6,6,33.24)
   105        6:G        6:G       0.741 (0,line,21,0,0,14,25.24,47.41)
   106        6:G        6:G       0.931 (2,line,0,6,1,9,3.16,13.42)
   107        6:G        6:G       0.742 (5,line,14,0,13,7,7.07,31.3)
   108        6:G        6:G       1 (6,line,18,7,13,7,5,36.72)
   109        6:G        6:G       1 (6,line,26,10,21,10,5,38.21)
   110        6:G        6:G       0.884 (1,line,10,7,0,14,12.21,44.72)
   111        6:G       10:R   +   0.601 (2,line,0,24,21,36,24.19,42.72)
   112        6:G        3:D   +   0.756 (3,line,10,0,10,7,7,24.17)
   113        6:G        6:G       1 (1,line,3,4,0,8,5,19.42)
   114        6:G        6:G       0.967 (4,line,10,0,10,7,7,18.87)
   115        6:G        6:G       0.487 (0,line,25,0,0,15,29.15,51.62)
   116        6:G        4:E   +   0.309 (3,line,0,15,9,19,9.85,27.8)
   117        6:G        7:H   +   0.263 (1,line,0,9,0,18,9,30.53)
   118        6:G        4:E   +   0.523 (3,line,0,20,15,25,15.81,40.36)
   119        6:G        6:G       1 (5,line,10,11,4,11,6,18.87)
   120        6:G       10:R   +   0.564 (2,line,0,22,3,33,11.4,49.65)
   121        6:G        6:G       0.978 (4,line,22,7,17,7,5,40.5)
   122        6:G        6:G       0.936 (4,line,9,0,11,8,8.25,22.2)
   123        6:G        6:G       0.982 (4,line,15,0,14,11,11.05,34)
   124        6:G        6:G       0.799 (2,line,0,8,6,12,7.21,21.26)
   125        6:G        6:G       0.903 (4,line,1,14,9,16,8.25,18.36)
   126        6:G        4:E   +   0.38 (1,line,0,14,0,28,14,54.67)
   127        6:G        6:G       0.483 (0,line,19,0,6,6,14.32,42.49)
   128        6:G        6:G       0.999 (6,line,15,9,9,9,6,30.02)
   129        6:G        6:G       0.815 (2,line,0,20,3,30,10.44,45.65)
   130        6:G        6:G       0.962 (3,line,1,9,6,12,5.83,14.42)
   131        6:G        6:G       0.947 (0,line,6,0,1,3,5.83,13.42)
   132        6:G        6:G       0.998 (5,line,22,0,20,10,10.2,49.19)
   133        6:G        6:G       0.994 (1,line,2,2,0,4,2.83,16.97)
   134        6:G        6:G       1 (1,line,0,4,0,8,4,13.89)
   135        6:G        6:G       0.321 (1,line,0,11,0,22,11,35.78)
   136        6:G       10:R   +   0.862 (4,line,10,35,21,42,13.04,47.89)
   137        6:G        5:F   +   0.617 (1,line,0,8,0,16,8,28.84)
   138        6:G        6:G       0.879 (0,line,8,0,0,5,9.43,17.89)
   139        6:G        6:G       0.489 (4,line,9,31,19,38,12.21,43.91)
   140        6:G        6:G       0.997 (6,line,18,6,13,6,5,28.43)
   141        6:G        7:H   +   0.716 (0,line,25,0,0,15,29.15,53.34)
   142        6:G        6:G       0.791 (4,line,10,0,11,10,10.05,20.62)
   143        6:G        6:G       0.994 (1,line,1,3,0,6,3.16,15)
   144        6:G        5:F   +   0.259 (2,line,0,14,0,28,14,59.4)
   145        6:G        6:G       0.987 (5,line,27,0,26,10,10.05,46.62)
   146        6:G        4:E   +   0.336 (1,line,0,15,0,30,15,64.35)
   147        6:G        3:D   +   0.879 (2,line,0,10,1,15,5.1,22.36)
   148        6:G        5:F   +   0.321 (2,line,0,16,0,33,17,56.82)
   149        6:G        6:G       1 (3,line,0,9,3,11,3.61,16.12)
   150        6:G        6:G       0.952 (2,line,0,24,3,36,12.37,54.59)
   151        6:G        6:G       0.996 (2,line,0,6,0,11,5,19.42)
   152        6:G       10:R   +   0.501 (4,line,19,35,30,42,13.04,52.2)
   153        6:G        6:G       0.766 (3,line,3,25,17,34,16.64,38.95)
   154        6:G        6:G       0.525 (0,line,17,0,0,9,19.24,33.84)
