

=== Predictions under cross-validation ===

 inst#     actual  predicted error prediction (Sequence_Name,mcg,gvh,alm,mit,erl,pox,vac,nuc)
     1      2:NUC      1:CYT   +   0.382 (KI28_YEAST,0.57,0.49,0.48,0.16,0.5,0,0.51,0.22)
     2      2:NUC      1:CYT   +   0.382 (PAP_YEAST,0.64,0.52,0.5,0.26,0.5,0,0.51,0.31)
     3      2:NUC      1:CYT   +   0.382 (PHR_YEAST,0.5,0.42,0.57,0.49,0.5,0,0.48,0.27)
     4      2:NUC      1:CYT   +   0.382 (HCM1_YEAST,0.46,0.57,0.57,0.15,0.5,0,0.52,0.26)
     5      2:NUC      1:CYT   +   0.382 (RPB8_YEAST,0.44,0.5,0.55,0.24,0.5,0,0.48,0.22)
     6      2:NUC      1:CYT   +   0.382 (SSN6_YEAST,0.19,0.66,0.6,0.14,0.5,0,0.2,0.25)
     7      2:NUC      1:CYT   +   0.382 (NOP3_YEAST,0.44,0.34,0.61,0.13,0.5,0,0.49,0.26)
     8      2:NUC      1:CYT   +   0.382 (SMD1_YEAST,0.48,0.55,0.58,0.18,0.5,0,0.38,0.69)
     9      2:NUC      1:CYT   +   0.382 (GBP2_YEAST,0.23,0.3,0.58,0.22,0.5,0,0.48,0.27)
    10      2:NUC      4:ME3   +   0.714 (ADR6_YEAST,0.48,0.17,0.37,0.33,0.5,0,0.44,0.36)
    11      2:NUC      1:CYT   +   0.382 (P152_YEAST,0.41,0.53,0.41,0.15,0.5,0,0.54,0.25)
    12      2:NUC      1:CYT   +   0.382 (RA18_YEAST,0.51,0.55,0.56,0.18,0.5,0,0.5,0.38)
    13      2:NUC      1:CYT   +   0.382 (SCA1_YEAST,0.47,0.32,0.51,0.24,0.5,0,0.54,0.27)
    14      2:NUC      1:CYT   +   0.382 (RA51_YEAST,0.55,0.59,0.53,0.15,0.5,0,0.49,0.22)
    15      2:NUC      1:CYT   +   0.382 (TEC1_YEAST,0.45,0.4,0.56,0.15,0.5,0,0.52,0.22)
    16      2:NUC      1:CYT   +   0.382 (SRB6_YEAST,0.55,0.47,0.53,0.2,0.5,0,0.4,0.22)
    17      2:NUC      1:CYT   +   0.382 (SIP2_YEAST,0.42,0.42,0.55,0.31,0.5,0,0.43,0.22)
    18      2:NUC      1:CYT   +   0.382 (RPC2_YEAST,0.46,0.53,0.47,0.37,0.5,0,0.51,0.36)
    19      2:NUC      4:ME3   +   0.706 (SP23_YEAST,0.48,0.65,0.36,0.24,0.5,0,0.54,0.31)
    20      2:NUC      1:CYT   +   0.382 (RPC5_YEAST,0.38,0.38,0.54,0.24,0.5,0,0.54,0.22)
    21      2:NUC      1:CYT   +   0.382 (MT28_YEAST,0.43,0.83,0.55,0.2,0.5,0,0.47,0.4)
    22      2:NUC      1:CYT   +   0.382 (RA10_YEAST,0.61,0.39,0.53,0.14,0.5,0,0.43,0.26)
    23      2:NUC      1:CYT   +   0.382 (GCR3_YEAST,0.17,0.38,0.45,0.09,0.5,0,0.54,0.27)
    24      2:NUC      1:CYT   +   0.382 (INO4_YEAST,0.45,0.38,0.59,0.18,0.5,0,0.44,0.45)
    25      2:NUC      2:NUC       0.789 (RIMI_YEAST,0.33,0.38,0.47,0.14,0.5,0,0.51,0.47)
    26      2:NUC      1:CYT   +   0.382 (SP14_YEAST,0.52,0.45,0.45,0.13,0.5,0,0.48,0.22)
    27      2:NUC      1:CYT   +   0.382 (RA50_YEAST,0.45,0.54,0.49,0.29,0.5,0,0.49,0.25)
    28      2:NUC      1:CYT   +   0.382 (TYE7_YEAST,0.36,0.52,0.61,0.33,0.5,0,0.52,0.37)
    29      2:NUC      2:NUC       0.708 (MAD1_YEAST,0.62,0.64,0.56,0.2,0.5,0,0.48,0.33)
    30      2:NUC      1:CYT   +   0.382 (NU49_YEAST,0.69,0.62,0.49,0,1,0,0.47,0.22)
    31      2:NUC      1:CYT   +   0.382 (PR19_YEAST,0.48,0.41,0.54,0.39,0.5,0,0.51,0.22)
    32      2:NUC      1:CYT   +   0.382 (YHX8_YEAST,0.4,0.43,0.49,0.17,0.5,0,0.51,0.36)
    33      2:NUC      1:CYT   +   0.382 (SPT3_YEAST,0.59,0.49,0.45,0.22,0.5,0,0.45,0.31)
    34      2:NUC      1:CYT   +   0.382 (N116_YEAST,0.88,0.59,0.54,0.39,0.5,0,0.41,0.3)
    35      2:NUC      2:NUC       0.708 (MER2_YEAST,0.4,0.53,0.61,0.21,0.5,0,0.48,0.33)
