

=== Predictions under cross-validation ===

 inst#     actual  predicted error prediction (Hair,Feathers,Eggs,Milk,Airborne,Aquatic,Predator,Toothed,Backbone,Breathes,Venomous,Fins,Legs,Tail,Domestic,Catsize,Type)
     1    84:gnat 86:housefl   +   0.459 (0,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,6)
     2     4:boar 33:raccoon   +   0.111 (1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1)
     3    82:toad    80:frog   +   1 (0,0,1,0,0,1,0,1,1,1,0,0,4,0,0,0,5)
     4    26:oryx  5:buffalo   +   0.25 (1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1)
     5    39:vole    18:hare   +   1 (1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,0,1)
     6 13:giraffe  5:buffalo   +   0.25 (1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1)
     7    29:pony    15:goat   +   0.333 (1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,1)
     8 51:ostrich    55:rhea   +   0.983 (0,1,1,0,0,0,0,0,1,1,0,0,2,1,0,1,2)
     9    35:seal 30:porpois   +   0.424 (1,0,0,1,0,1,1,1,1,1,0,1,0,0,0,1,1)
    10    77:sole 76:seahors   +   0.5 (0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,4)
    11    90:wasp 85:honeybe   +   0.991 (1,0,1,0,1,0,0,0,0,1,1,0,6,0,0,0,6)
     1 94:lobster 93:crayfis   +   1 (0,0,1,0,0,1,1,0,0,0,0,0,6,0,0,0,7)
     2    21:lynx 28:polecat   +   0.125 (1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1)
     3 33:raccoon 28:polecat   +   0.125 (1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1)
     4    48:hawk    43:crow   +   1 (0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,0,2)
     5 16:gorilla 40:wallaby   +   1 (1,0,0,1,0,0,0,1,1,1,0,0,2,0,0,1,1)
     6 97:seawasp    80:frog   +   0.935 (0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,7)
     7 42:chicken 52:parakee   +   0.5 (0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,2)
     8 37:squirre 40:wallaby   +   0.897 (1,0,0,1,0,0,0,1,1,1,0,0,2,1,0,0,1)
     9     9:deer 13:giraffe   +   0.2 (1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1)
    10    18:hare    39:vole   +   1 (1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,0,1)
     1 69:catfish    70:chub   +   0.25 (0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4)
     2    61:wren    50:lark   +   0.5 (0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,2)
     3    45:duck    59:swan   +   0.261 (0,1,1,0,1,1,0,0,1,1,0,0,2,1,0,0,2)
     4 54:pheasan    50:lark   +   0.5 (0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,2)
     5     6:calf 34:reindee   +   0.333 (1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,1)
     6 30:porpois 10:dolphin   +   1 (0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1,1)
     7 12:fruitba 38:vampire   +   1 (1,0,0,1,1,0,0,1,1,1,0,0,2,1,0,0,1)
     8 40:wallaby 37:squirre   +   0.498 (1,0,0,1,0,0,0,1,1,1,0,0,2,1,0,1,1)
     9 99:starfis    92:crab   +   0.881 (0,0,1,0,0,1,1,0,0,0,0,0,5,0,0,0,7)
    10 86:housefl    88:moth   +   1 (1,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,6)
     1 11:elephan  5:buffalo   +   0.2 (1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1)
     2 32:pussyca    29:pony   +   0.25 (1,0,0,1,0,0,1,1,1,1,0,0,4,1,1,1,1)
     3 19:leopard    21:lynx   +   0.111 (1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1)
     4 96:scorpio 95:octopus   +   1 (0,0,0,0,0,0,1,0,0,1,1,0,8,1,0,0,7)
     5 52:parakee 42:chicken   +   0.5 (0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,2)
     6    59:swan    45:duck   +   0.953 (0,1,1,0,1,1,0,0,1,1,0,0,2,1,0,1,2)
     7 36:sealion    35:seal   +   0.79 (1,0,0,1,0,1,1,1,1,1,0,1,2,1,0,1,1)
     8 75:piranha    67:bass   +   0.25 (0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4)
     9 87:ladybir    84:gnat   +   1 (0,0,1,0,1,0,1,0,0,1,0,0,6,0,0,0,6)
    10 60:vulture 46:flaming   +   0.723 (0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,1,2)
     1 2:antelope  5:buffalo   +   0.2 (1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1)
     2    92:crab    91:clam   +   0.998 (0,0,1,0,0,1,1,0,0,0,0,0,4,0,0,0,7)
     3    98:slug   100:worm   +   1 (0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,7)
     4     3:bear 1:aardvark   +   1 (1,0,0,1,0,0,1,1,1,1,0,0,4,0,0,1,1)
