
Logistic Regression with ridge parameter of 1.0E-8
Coefficients...
                              Class
Variable                   aardvark                antelope                    bear                    boar                 buffalo                    calf                    cavy                 cheetah                    deer                 dolphin                elephant                fruitbat                 giraffe                    girl                    goat                 gorilla                 hamster                    hare                 leopard                    lion                    lynx                    mink                    mole                mongoose                 opossum                    oryx                platypus                 polecat                    pony                porpoise                    puma                pussycat                 raccoon                reindeer                    seal                 sealion                squirrel                 vampire                    vole                 wallaby                    wolf                 chicken                    crow                    dove                    duck                flamingo                    gull                    hawk                    kiwi                    lark                 ostrich                parakeet                 penguin                pheasant                    rhea                 skimmer                    skua                 sparrow                    swan                 vulture                    wren                pitviper                seasnake                slowworm                tortoise                 tuatara                    bass                    carp                 catfish                    chub                 dogfish                 haddock                 herring                    pike                 piranha                seahorse                    sole                stingray                    tuna                    frog                    newt                    toad                    flea                    gnat                honeybee                housefly                ladybird                    moth                 termite                    wasp                    clam                    crab                crayfish                 lobster                 octopus                scorpion                 seawasp                    slug                starfish
===================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================
Hair                         3.0273                  3.0273                  3.0273                  3.0273                  3.0273                  3.0273                  3.0273                  3.0273                  3.0273                  3.0273                  3.1868                  4.5787                  3.1864                  3.7373                  2.7043                  6.1304                    4.34                  4.7261                  3.6812                  3.6811                  3.6812                  2.3093                   4.086                  3.6815                  4.0859                  3.1868                  5.0688                  3.6816                  2.7045                 -6.4935                  3.6816                  1.0093                  3.6816                  2.7047                 10.1734                  5.5692                  5.1778                  4.5785                  4.7245                  3.1154                  3.6813                  3.0273                  3.0273                  3.0273                   2.384                  1.2842                 -1.5415                  1.4121                  0.0824                  0.2908                  0.0482                    0.76                 -2.2361                  0.2916                 -1.6804                 -1.5425                 -1.5426                  0.2922                 -0.9412                 -1.5353                  0.2926                  1.0504                  0.9198                  1.4436                  0.3728                   0.152                  3.0273                  3.0273                  3.0273                  3.0273                  3.0273                  1.2375                   1.344                  0.7526                  1.3719                   1.257                   1.262                 -0.1084                  0.7781                  0.2925                 -3.6952                 -0.0619                  0.1836                -16.9331                  5.9079                 19.1448                  -1.369                 19.3583                  0.3067                  7.0197                  3.0273                  3.0273                  3.0273                  0.1601                  2.1094                  1.7154                  2.1649                 -0.0572                  1.8507
Feathers                     2.2106                  2.2106                  2.2106                  2.2106                  2.2106                  2.2106                  2.2106                  2.2106                  2.2106                  2.2106                 -0.3092                 -2.1927                  -0.309                  -1.051                 -0.7415                  0.7665                  0.8411                  1.3876                 -1.9786                 -1.9785                 -1.9786                 -1.0985                 -1.7718                 -1.9787                 -1.7717                 -0.3093                 -2.3404                 -1.9788                 -0.7417                 -0.6822                 -1.9788                 -0.5425                 -1.9788                 -0.7416                  1.0605                 -2.5325                 -0.0396                 -2.1927                   1.387                 -1.6735                 -1.9786                  2.2106                  2.2106                  2.2106                  5.4878                   4.352                  6.8134                  4.9895                 11.1043                  8.1129                  9.5804                  8.2459                  7.9227                  8.1116                  7.9083                  6.8144                  6.8147                  8.1103                  5.1165                  4.4626                  8.1094                   0.767                  0.6716                  1.0541                  0.2731                   0.129                  2.2106                  2.2106                  2.2106                  2.2106                  2.2106                  0.9036                  0.9814                  0.5637                  1.0018                  0.9178                  0.9215                 -0.0791                  0.5829                  3.1141                 -2.6956                  3.0436                  1.2568                  0.3951                  1.2572                  1.1257                  0.4354                   1.165                  1.2585                  1.4121                  2.2106                  2.2106                  2.2106                  0.1169                  1.5405                   1.253                  1.5807                 -0.0418                  1.3513
Eggs                        -2.9011                 -2.9011                 -2.9011                 -2.9011                 -2.9011                 -2.9011                 -2.9011                 -2.9011                 -2.9011                 -2.9011                 -3.2797                  -4.842                 -3.2793                 -3.8917                 -2.8153                 -6.1793                 -4.3502                 -4.6992                 -4.0229                 -4.0228                  -4.023                 -8.8685                 -4.3127                 -4.0232                 -4.3126                 -3.2797                  7.2181                 -4.0233                 -2.8155                 -6.1183                 -4.0233                 -1.0804                 -4.0234                 -2.8157                  -5.543                 -4.9927                 -5.2754                 -4.8418                 -4.6976                 -3.3097                  -4.023                 -2.9011                 -2.9011                 -2.9011                 -2.2845                 -1.1346                  1.4773                 -1.3519                 -0.0789                  -0.278                 -0.0454                 -0.7277                  2.1406                 -0.2787                  1.7685                  1.4782                  1.4783                 -0.2793                   0.902                  1.4713                 -0.2797                   0.782                 -9.7515                 -1.3816                 -0.3573                 -0.1442                 -2.9011                 -2.9011                 -2.9011                 -2.9011                 -2.9011                 -1.1858                 -1.2864                  0.2113                 -1.3132                 -1.2045                 -1.2094                   0.105                  0.1925                 -0.0424                    3.54                  0.3127                 -1.6496                 -3.3914                 -1.6402                 -1.4756                 -0.5715                 -1.5267                 -1.6518                 -1.8534                 -2.9011                 -2.9011                 -2.9011                 -0.1535                 -2.0216                 -6.5466                  0.1022                  0.0549                 -1.7736
Milk                         2.8419                  2.8419                  2.8419                  2.8419                  2.8419                  2.8419                  2.8419                  2.8419                  2.8419                  2.8419                  3.3197                  4.9871                  3.3193                  3.9788                  2.8767                  6.2167                  4.3639                  4.6935                  4.0364                  4.0363                  4.0365                  2.2326                  4.4275                  4.0367                  4.4273                  3.3197                  5.5102                  4.0368                  2.8769                  6.2146                  4.0369                  1.1067                  4.0369                  2.8771                  5.5599                  5.1498                  5.3361                   4.987                  4.6919                  3.4159                  4.0365                  2.8419                  2.8419                  2.8419                  2.2378                  1.0597                 -1.4471                  1.3235                  0.0773                  0.2719                  0.0441                  0.7125                 -2.0995                  0.2727                 -1.8173                  -1.448                 -1.4481                  0.2733                 -0.8836                 -1.4413                  0.2737                  0.9861                  0.8635                  1.3552                  0.3499                  0.1405                  2.8419                  2.8419                  2.8419                  2.8419                  2.8419                  1.1616                  1.2601                  -0.237                  1.2864                    1.18                  1.1847                 -0.1029                 -0.2189                 -0.0863                 -3.4693                 -0.4425                  1.6159                  3.3222                  1.6064                  1.4454                  0.5598                  1.4955                  1.6181                  1.8155                  2.8419                  2.8419                  2.8419                  0.1503                  1.9802                  1.6104                  2.0324                 -0.0537                  1.7374
Airborne                     2.3605                  2.3605                  2.3605                  2.3605                  2.3605                  2.3605                  2.3605                  2.3605                  2.3605                  2.3605                 -0.3429                 15.5186                 -0.3426                 -1.1253                 -0.7922                  0.6266                  0.8613                 -0.1176                 -2.1131                 -2.1131                 -2.1131                  -1.173                 -1.9056                 -2.1133                 -1.9055                 -0.3429                 -2.4991                 -2.1133                 -0.7924                 -0.7285                 -2.1134                 -0.5793                 -2.1134                 -0.7924                  1.1324                 -2.7096                -17.6016                 15.5196                 -0.1179                 -4.2175                 -2.1132                  2.3605                  2.3605                  2.3605                    5.28                 19.6245                  8.2881                 18.8643                -15.7645                  8.1156                -16.1348                  7.3691                -12.1204                  8.1147                -12.6038                  8.2887                  8.2888                  8.1137                   9.554                 19.8091                   8.113                   0.819                  0.7172                  1.1256                  0.2917                  0.1377                  2.3605                  2.3605                  2.3605                  2.3605                  2.3605                  0.9648                   1.048                   0.602                  1.0697                    0.98                   0.984                 -0.0845                  0.6224                  2.5645                 -2.8783                  3.2491                 -8.7123                 20.9251                  6.4928                  9.6963                 10.1375                  9.7942                 -9.0893                  7.2928                  2.3605                  2.3605                  2.3605                  0.1248                  1.6449                  1.3379                  1.6879                 -0.0446                  1.4429
Aquatic                      2.6783                  2.6783                  2.6783                  2.6783                  2.6783                  2.6783                  2.6783                  2.6783                  2.6783                  2.6783                 -0.6804                 -2.6566                 -0.6801                 -1.2749                 -0.9206                  0.9203                  1.0168                  1.6475                 -6.2897                 -6.2897                 -6.2894                 29.1683                 -2.4355                 -6.2888                 -2.4354                 -0.6804                  8.3549                 -6.2884                 -0.9209                  6.6116                 -6.2883                 -0.8339                 -6.2882                 -0.9208                  6.5717                  6.1587                 -0.0498                 -2.6566                  1.6468                 -2.4437                 -6.2894                  2.6783                  2.6783                  2.6783                 29.6783                -12.3993                 14.5821                -20.1732                 -2.9396                 -6.8844                 -1.7608                  0.4797                 19.5966                 -6.8963                 -12.281                 14.5798                 14.5792                 -6.9047                 20.6799                 -5.5905                 -6.9094                 -0.9597                 10.0831                  1.2751                  0.3308                  0.1563                  2.6783                  2.6783                  2.6783                  2.6783                  2.6783                  6.3445                  5.8688                  5.1703                   5.902                  6.3667                  6.3704                  3.8353                  5.1879                 -1.2238                  6.0747                 12.0109                  1.5226                  3.1315                  1.5231                  1.3639                  0.4571                  1.4115                  1.5247                  1.7103                  2.6783                  2.6783                  2.6783                  9.5173                  7.0401                  1.4817                  7.7749                 -0.0506                  6.7794
Predator                     3.7637                  3.7637                  3.7637                  3.7637                  3.7637                  3.7637                  3.7637                  3.7637                  3.7637                  3.7637                -22.1801                 -3.7425                -22.1825                  7.5799                -11.2281                 -0.8055                 -0.2625                -13.3446                 11.2073                 11.2079                 11.2072                  2.4134                 17.5447                 11.2059                 17.5453                -22.1799                  4.1763                 11.2053                -11.2385                  5.6097                 11.2051                  22.793                  11.205                -11.2459                  5.8205                  3.9706                 -0.4871                 -3.7425                -13.3503                  -5.748                  11.207                  3.7637                  3.7637                  3.7637                -21.1164                -12.5229                  13.339                 29.6193                   10.75                 -7.6871                -16.0086                  0.6277                  6.2721                 -7.6904                 17.9223                   13.33                 13.3285                 -7.6926                 -8.0429                   19.08                 -7.6943                    5.67                  5.6068                   7.395                 -0.9644                  8.1535                  3.7637                  3.7637                  3.7637                  3.7637                  3.7637                -12.1128                 24.1087                  7.4828                 24.0474                -12.0913                 -12.114                   3.658                   7.477                 30.4272                  7.9931                -27.9764                  1.5965                -14.0042                  2.1219                   0.963                 27.4753                  1.0345                  1.6139                  2.3295                  3.7637                  3.7637                  3.7637                  8.7792                  7.3575                  6.8327                  8.0541                 -0.0712                  7.0068
Toothed                      4.0958                  4.0958                  4.0958                  4.0958                  4.0958                  4.0958                  4.0958                  4.0958                  4.0958                  4.0958                  3.0466                  3.5188                  3.0463                  3.2293                  2.3468                   6.501                  4.7467                  5.3976                  2.8351                   2.835                  2.8351                  8.0902                  3.2363                  2.8353                  3.2362                  3.0466                 -8.4087                  2.8354                  2.3468                   5.624                  2.8354                  0.7551                  2.8354                  2.3471                  6.0418                  3.4752                  5.1587                  3.5186                  5.3957                  2.3067                  2.8351                  4.0958                  4.0958                  4.0958                  3.2257                  2.3041                 -2.0856                  1.9187                  0.1115                  0.3974                  0.0701                  1.0316                 -3.0221                  0.3985                 -1.3422                 -2.0869                  -2.087                  0.3994                 -1.2734                 -2.0771                     0.4                  5.8624                  5.8666                    7.65                 -0.9481                  8.3098                  4.0958                  4.0958                  4.0958                  4.0958                  4.0958                  6.5615                  6.1753                  5.2178                   6.221                  6.5925                  6.5987                  4.8403                  5.2477                  4.6111                  3.6955                   9.158                  2.3288                  4.7885                  2.3198                   2.084                  0.8068                  2.1564                   2.332                  2.6165                  4.0958                  4.0958                  4.0958                  0.2166                  2.8542                  2.3211                  0.7115                 -0.0774                  2.5039
Backbone                     9.2841                  9.2841                  9.2841                  9.2841                  9.2841                  9.2841                  9.2841                  9.2841                  9.2841                  9.2841                  4.4897                  2.9525                  4.4895                  3.8898                  2.8527                 11.3692                  8.6467                 10.3606                  1.9418                  1.9417                  1.9418                  1.0651                  3.0052                  1.9419                  3.0052                  4.4897                   3.443                  1.9419                  2.8525                  8.1832                   1.942                  0.5325                   1.942                   2.853                 10.9919                  2.4594                  8.2265                  2.9522                 10.3568                  1.6454                  1.9418                  9.2841                  9.2841                  9.2841                 11.4278                   8.748                  3.9934                  8.6941                 12.3842                  9.5778                 10.6417                 10.7852                  3.6404                  9.5781                  6.6245                  3.9923                  3.9923                  9.5782                  3.4888                  1.4253                  9.5782                 10.3452                 10.2352                 13.5559                 10.5254                  9.5207                  9.2841                  9.2841                  9.2841                  9.2841                  9.2841                 11.6346                 11.1106                  9.0619                  11.209                 11.7019                 11.7163                  7.6671                  9.1334                 11.2198                  2.6164                  18.427                  5.2786                  8.4494                  5.2646                  4.7251                  1.8287                  4.8894                  5.2858                  5.9307                  9.2841                  9.2841                  9.2841                   0.491                  6.4694                  5.2615                   3.082                 -0.1755                  5.6755
