

=== Predictions under cross-validation ===

 inst#     actual  predicted error prediction (Buying,Maint,Doors,Persons,Lug_boot,Safety)
     1    1:unacc    1:unacc       0.992 (med,high,5more,2,med,med)
     2    1:unacc    1:unacc       0.997 (med,vhigh,5more,2,small,med)
     3    1:unacc    1:unacc       1 (low,vhigh,5more,2,big,low)
     4    1:unacc    1:unacc       0.989 (med,low,2,4,small,low)
     5    1:unacc      2:acc   +   0.551 (vhigh,low,2,more,med,med)
     6    1:unacc    1:unacc       0.993 (high,low,5more,more,big,low)
     7    1:unacc    1:unacc       1 (low,vhigh,5more,2,med,low)
     8    1:unacc    1:unacc       0.995 (low,vhigh,3,4,med,low)
     9    1:unacc    1:unacc       0.997 (low,high,2,2,small,med)
    10    1:unacc    1:unacc       0.998 (high,vhigh,2,4,small,low)
    11    1:unacc    1:unacc       0.982 (med,high,5more,more,med,low)
    12    1:unacc    1:unacc       0.994 (high,high,4,4,med,low)
    13    1:unacc    1:unacc       0.538 (low,vhigh,2,more,small,high)
    14    1:unacc    1:unacc       0.996 (high,high,3,4,small,low)
    15    1:unacc    1:unacc       0.991 (high,low,4,2,big,high)
    16    1:unacc    1:unacc       0.968 (med,med,3,4,big,low)
    17    1:unacc    1:unacc       0.519 (med,vhigh,4,4,small,med)
    18    1:unacc    1:unacc       0.941 (low,med,4,4,big,low)
    19    1:unacc    1:unacc       1 (high,high,3,2,small,low)
    20    1:unacc    1:unacc       0.996 (med,vhigh,2,4,med,low)
    21    1:unacc    1:unacc       0.997 (med,vhigh,2,4,small,low)
    22    1:unacc    1:unacc       0.996 (high,high,5more,2,small,med)
    23    1:unacc    1:unacc       0.973 (low,low,4,2,small,high)
    24    1:unacc    1:unacc       0.505 (med,vhigh,5more,more,small,med)
    25    1:unacc      2:acc   +   0.512 (high,vhigh,3,more,small,high)
    26    1:unacc    1:unacc       0.996 (low,high,2,more,small,low)
    27    1:unacc    1:unacc       0.996 (high,low,3,2,small,high)
    28    1:unacc    1:unacc       0.994 (low,vhigh,3,more,big,low)
    29    1:unacc    1:unacc       0.994 (med,vhigh,5more,2,big,med)
    30    1:unacc    1:unacc       0.957 (med,low,5more,4,big,low)
    31    1:unacc    1:unacc       0.986 (low,high,2,4,big,low)
