

=== Predictions under cross-validation ===

 inst#     actual  predicted error prediction (Wifes_age,Wifes_education,Husbands_education,Number_of_children_ever_born,Wifes_religion,Wifes_now_working?,Husbands_occupation,Standard-of-living_index,Media_exposure)
     1        1:1        1:1       0.998 (26,2,3,1,1,0,3,4,1)
     2        1:1        1:1       0.333 (22,4,4,0,1,1,2,1,1)
     3        1:1        2:2   +   0.998 (28,2,4,1,1,0,3,4,0)
     4        1:1        3:3   +   0.588 (28,3,4,3,1,1,2,1,0)
     5        1:1        3:3   +   0.998 (32,2,2,1,1,1,2,1,0)
     6        1:1        2:2   +   0.5 (29,3,4,2,1,1,3,4,0)
     7        1:1        3:3   +   0.998 (43,2,3,3,0,1,2,3,0)
     8        1:1        1:1       0.5 (49,1,3,0,1,1,3,3,1)
     9        1:1        3:3   +   0.75 (32,2,3,1,1,1,3,3,0)
    10        1:1        1:1       0.666 (45,1,1,0,0,0,2,1,0)
    11        1:1        1:1       0.5 (26,2,3,3,1,1,3,4,0)
    12        1:1        2:2   +   0.571 (46,4,4,6,1,1,1,4,0)
    13        1:1        1:1       0.998 (36,2,1,6,1,1,2,3,0)
    14        1:1        1:1       0.998 (23,4,4,0,0,1,2,4,0)
    15        1:1        1:1       0.5 (38,2,4,5,0,1,2,2,0)
    16        1:1        3:3   +   0.714 (32,2,2,2,1,1,2,4,0)
    17        1:1        3:3   +   0.5 (37,4,4,2,0,1,1,4,0)
    18        1:1        2:2   +   0.5 (33,4,4,2,0,1,1,4,0)
    19        1:1        2:2   +   0.545 (31,3,4,3,0,0,2,4,0)
    20        1:1        3:3   +   0.998 (34,3,4,4,1,1,1,3,0)
    21        1:1        1:1       0.5 (43,3,3,4,1,1,2,4,0)
    22        1:1        1:1       0.429 (27,1,2,4,1,1,1,4,1)
    23        1:1        2:2   +   0.571 (33,4,4,5,1,1,3,4,0)
    24        1:1        2:2   +   0.998 (34,3,3,6,1,1,2,3,0)
    25        1:1        1:1       0.998 (20,4,4,0,0,0,2,4,0)
    26        1:1        3:3   +   0.998 (42,3,3,3,1,0,2,4,0)
    27        1:1        3:3   +   0.75 (40,4,4,3,0,1,3,4,0)
    28        1:1        2:2   +   0.998 (47,3,2,5,1,1,4,4,0)
    29        1:1        2:2   +   0.75 (31,3,4,2,1,1,1,4,0)
    30        1:1        3:3   +   0.666 (45,2,3,4,1,0,2,4,0)
    31        1:1        3:3   +   0.666 (22,3,3,2,1,1,2,4,0)
    32        1:1        1:1       0.999 (29,4,2,0,1,0,2,2,0)
    33        1:1        1:1       0.998 (47,1,2,2,1,1,2,3,1)
    34        1:1        3:3   +   0.998 (21,1,2,1,1,0,3,4,0)
    35        2:2        3:3   +   0.998 (45,4,4,3,1,1,1,4,0)
    36        2:2        3:3   +   0.998 (36,3,4,3,0,0,3,4,0)
    37        2:2        3:3   +   0.998 (26,3,4,2,1,1,3,3,0)
    38        2:2        3:3   +   0.998 (45,4,4,3,1,1,1,4,0)
    39        2:2        2:2       0.998 (29,4,4,2,1,0,1,3,0)
    40        2:2        3:3   +   0.471 (44,4,4,5,1,1,1,4,0)
    41        2:2        1:1   +   0.5 (46,4,4,3,0,0,1,4,0)
    42        2:2        1:1   +   0.333 (38,4,4,4,1,1,2,4,0)
    43        2:2        2:2       0.5 (37,4,4,4,0,1,2,4,0)
    44        2:2        2:2       0.5 (38,4,4,6,1,1,1,4,0)
    45        2:2        2:2       0.666 (36,4,4,4,0,1,2,4,0)
    46        2:2        3:3   +   0.571 (44,4,4,7,1,1,3,2,0)
    47        2:2        3:3   +   0.998 (23,4,4,1,1,1,3,3,0)
    48        2:2        1:1   +   0.998 (47,1,1,8,1,1,3,4,1)
    49        2:2        3:3   +   0.8 (33,2,2,3,1,1,2,3,0)
    50        2:2        2:2       0.75 (34,4,4,4,1,1,3,3,0)
    51        2:2        1:1   +   0.666 (22,3,3,2,1,1,3,3,0)
    52        2:2        1:1   +   0.5 (36,2,1,6,1,1,2,1,0)
    53        2:2        2:2       0.998 (34,4,4,6,1,1,3,4,0)
    54        2:2        2:2       0.998 (37,4,4,3,1,1,1,4,0)
    55        2:2        1:1   +   0.5 (34,4,4,4,1,1,2,4,0)
    56        2:2        1:1   +   0.5 (38,2,2,8,1,1,2,2,0)
    57        2:2        2:2       0.468 (48,4,4,7,1,0,1,4,0)
    58        2:2        1:1   +   0.5 (27,3,3,1,1,0,3,4,0)
    59        2:2        2:2       0.999 (36,4,4,3,1,1,1,4,0)
    60        2:2        2:2       0.6 (47,4,4,4,0,1,2,4,0)
    61        2:2        3:3   +   0.5 (24,4,4,2,1,1,2,4,0)
    62        2:2        2:2       0.998 (21,4,4,1,1,1,1,4,0)
    63        2:2        1:1   +   0.5 (33,2,2,6,1,0,3,4,0)
    64        2:2        3:3   +   0.998 (26,3,3,2,1,1,3,2,0)
    65        2:2        1:1   +   0.429 (23,4,4,1,1,1,3,4,0)
    66        2:2        3:3   +   0.5 (30,2,2,7,1,1,3,4,0)
    67        2:2        3:3   +   0.998 (40,4,4,4,1,1,1,4,0)
    68        3:3        3:3       0.999 (24,2,3,5,1,1,3,3,0)
    69        3:3        3:3       0.643 (24,3,4,4,1,1,3,1,0)
    70        3:3        3:3       0.8 (26,4,4,1,1,1,3,3,0)
    71        3:3        1:1   +   0.5 (26,4,4,4,1,1,3,4,0)
    72        3:3        3:3       0.998 (22,3,3,2,1,1,3,1,0)
    73        3:3        3:3       0.571 (33,2,4,3,1,1,3,4,0)
    74        3:3        2:2   +   0.998 (35,3,2,9,1,0,3,4,0)
    75        3:3        2:2   +   0.5 (35,4,4,4,1,1,1,4,0)
    76        3:3        3:3       0.571 (35,3,4,4,1,0,1,4,0)
    77        3:3        1:1   +   0.429 (24,3,4,2,1,1,3,3,0)
    78        3:3        2:2   +   0.5 (27,4,4,4,1,1,3,3,0)
    79        3:3        1:1   +   0.998 (24,3,3,2,1,1,3,3,0)
    80        3:3        2:2   +   0.625 (44,4,4,4,0,1,2,3,0)
    81        3:3        1:1   +   0.5 (29,2,4,4,1,0,2,4,0)
    82        3:3        3:3       0.998 (35,3,4,5,1,1,1,4,0)
    83        3:3        1:1   +   0.5 (24,2,4,2,1,1,1,4,0)
