

=== Predictions under cross-validation ===

 inst#     actual  predicted error prediction (Wifes_age,Wifes_education,Husbands_education,Number_of_children_ever_born,Wifes_religion,Wifes_now_working?,Husbands_occupation,Standard-of-living_index,Media_exposure)
     1        1:1        1:1       0.636 (26,2,3,1,1,0,3,4,1)
     2        1:1        1:1       0.957 (22,4,4,0,1,1,2,1,1)
     3        1:1        1:1       0.636 (28,2,4,1,1,0,3,4,0)
     4        1:1        3:3   +   0.482 (28,3,4,3,1,1,2,1,0)
     5        1:1        3:3   +   0.482 (32,2,2,1,1,1,2,1,0)
     6        1:1        3:3   +   0.482 (29,3,4,2,1,1,3,4,0)
     7        1:1        3:3   +   0.482 (43,2,3,3,0,1,2,3,0)
     8        1:1        1:1       0.647 (49,1,3,0,1,1,3,3,1)
     9        1:1        3:3   +   0.482 (32,2,3,1,1,1,3,3,0)
    10        1:1        1:1       0.957 (45,1,1,0,0,0,2,1,0)
    11        1:1        3:3   +   0.482 (26,2,3,3,1,1,3,4,0)
    12        1:1        3:3   +   0.482 (46,4,4,6,1,1,1,4,0)
    13        1:1        3:3   +   0.482 (36,2,1,6,1,1,2,3,0)
    14        1:1        1:1       0.957 (23,4,4,0,0,1,2,4,0)
    15        1:1        3:3   +   0.482 (38,2,4,5,0,1,2,2,0)
    16        1:1        3:3   +   0.482 (32,2,2,2,1,1,2,4,0)
    17        1:1        3:3   +   0.482 (37,4,4,2,0,1,1,4,0)
    18        1:1        3:3   +   0.482 (33,4,4,2,0,1,1,4,0)
    19        1:1        3:3   +   0.482 (31,3,4,3,0,0,2,4,0)
    20        1:1        3:3   +   0.482 (34,3,4,4,1,1,1,3,0)
    21        1:1        3:3   +   0.482 (43,3,3,4,1,1,2,4,0)
    22        1:1        1:1       0.647 (27,1,2,4,1,1,1,4,1)
    23        1:1        3:3   +   0.482 (33,4,4,5,1,1,3,4,0)
    24        1:1        3:3   +   0.482 (34,3,3,6,1,1,2,3,0)
    25        1:1        1:1       0.957 (20,4,4,0,0,0,2,4,0)
    26        1:1        3:3   +   0.482 (42,3,3,3,1,0,2,4,0)
    27        1:1        3:3   +   0.482 (40,4,4,3,0,1,3,4,0)
    28        1:1        3:3   +   0.482 (47,3,2,5,1,1,4,4,0)
    29        1:1        3:3   +   0.482 (31,3,4,2,1,1,1,4,0)
    30        1:1        3:3   +   0.482 (45,2,3,4,1,0,2,4,0)
    31        1:1        3:3   +   0.482 (22,3,3,2,1,1,2,4,0)
    32        1:1        1:1       0.957 (29,4,2,0,1,0,2,2,0)
    33        1:1        1:1       0.647 (47,1,2,2,1,1,2,3,1)
    34        1:1        1:1       0.636 (21,1,2,1,1,0,3,4,0)
    35        2:2        3:3   +   0.482 (45,4,4,3,1,1,1,4,0)
    36        2:2        3:3   +   0.482 (36,3,4,3,0,0,3,4,0)
    37        2:2        3:3   +   0.482 (26,3,4,2,1,1,3,3,0)
    38        2:2        3:3   +   0.482 (45,4,4,3,1,1,1,4,0)
    39        2:2        3:3   +   0.482 (29,4,4,2,1,0,1,3,0)
    40        2:2        3:3   +   0.482 (44,4,4,5,1,1,1,4,0)
    41        2:2        3:3   +   0.482 (46,4,4,3,0,0,1,4,0)
    42        2:2        2:2       0.65 (38,4,4,4,1,1,2,4,0)
    43        2:2        2:2       0.65 (37,4,4,4,0,1,2,4,0)
    44        2:2        3:3   +   0.482 (38,4,4,6,1,1,1,4,0)
    45        2:2        2:2       0.65 (36,4,4,4,0,1,2,4,0)
    46        2:2        3:3   +   0.482 (44,4,4,7,1,1,3,2,0)
    47        2:2        3:3   +   0.482 (23,4,4,1,1,1,3,3,0)
    48        2:2        1:1   +   0.647 (47,1,1,8,1,1,3,4,1)
    49        2:2        3:3   +   0.482 (33,2,2,3,1,1,2,3,0)
    50        2:2        2:2       0.65 (34,4,4,4,1,1,3,3,0)
    51        2:2        3:3   +   0.482 (22,3,3,2,1,1,3,3,0)
    52        2:2        3:3   +   0.482 (36,2,1,6,1,1,2,1,0)
    53        2:2        3:3   +   0.482 (34,4,4,6,1,1,3,4,0)
    54        2:2        3:3   +   0.482 (37,4,4,3,1,1,1,4,0)
    55        2:2        2:2       0.65 (34,4,4,4,1,1,2,4,0)
    56        2:2        3:3   +   0.482 (38,2,2,8,1,1,2,2,0)
    57        2:2        3:3   +   0.482 (48,4,4,7,1,0,1,4,0)
    58        2:2        1:1   +   0.636 (27,3,3,1,1,0,3,4,0)
    59        2:2        3:3   +   0.482 (36,4,4,3,1,1,1,4,0)
    60        2:2        2:2       0.65 (47,4,4,4,0,1,2,4,0)
    61        2:2        3:3   +   0.482 (24,4,4,2,1,1,2,4,0)
    62        2:2        3:3   +   0.482 (21,4,4,1,1,1,1,4,0)
    63        2:2        3:3   +   0.482 (33,2,2,6,1,0,3,4,0)
    64        2:2        3:3   +   0.482 (26,3,3,2,1,1,3,2,0)
    65        2:2        1:1   +   0.636 (23,4,4,1,1,1,3,4,0)
    66        2:2        3:3   +   0.482 (30,2,2,7,1,1,3,4,0)
    67        2:2        2:2       0.65 (40,4,4,4,1,1,1,4,0)
    68        3:3        3:3       0.482 (24,2,3,5,1,1,3,3,0)
    69        3:3        3:3       0.482 (24,3,4,4,1,1,3,1,0)
    70        3:3        3:3       0.482 (26,4,4,1,1,1,3,3,0)
    71        3:3        2:2   +   0.65 (26,4,4,4,1,1,3,4,0)
    72        3:3        3:3       0.482 (22,3,3,2,1,1,3,1,0)
    73        3:3        3:3       0.482 (33,2,4,3,1,1,3,4,0)
    74        3:3        3:3       0.482 (35,3,2,9,1,0,3,4,0)
