

=== Predictions under cross-validation ===

 inst#     actual  predicted error prediction (Wifes_age,Wifes_education,Husbands_education,Number_of_children_ever_born,Wifes_religion,Wifes_now_working?,Husbands_occupation,Standard-of-living_index,Media_exposure)
     1        1:1        1:1       0.798 (26,2,3,1,1,0,3,4,1)
     2        1:1        1:1       0.902 (22,4,4,0,1,1,2,1,1)
     3        1:1        1:1       0.665 (28,2,4,1,1,0,3,4,0)
     4        1:1        3:3   +   0.71 (28,3,4,3,1,1,2,1,0)
     5        1:1        3:3   +   0.685 (32,2,2,1,1,1,2,1,0)
     6        1:1        3:3   +   0.67 (29,3,4,2,1,1,3,4,0)
     7        1:1        3:3   +   0.743 (43,2,3,3,0,1,2,3,0)
     8        1:1        1:1       0.911 (49,1,3,0,1,1,3,3,1)
     9        1:1        3:3   +   0.817 (32,2,3,1,1,1,3,3,0)
    10        1:1        1:1       0.898 (45,1,1,0,0,0,2,1,0)
    11        1:1        3:3   +   0.758 (26,2,3,3,1,1,3,4,0)
    12        1:1        2:2   +   0.466 (46,4,4,6,1,1,1,4,0)
    13        1:1        1:1       0.561 (36,2,1,6,1,1,2,3,0)
    14        1:1        1:1       0.65 (23,4,4,0,0,1,2,4,0)
    15        1:1        3:3   +   0.447 (38,2,4,5,0,1,2,2,0)
    16        1:1        3:3   +   0.728 (32,2,2,2,1,1,2,4,0)
    17        1:1        2:2   +   0.479 (37,4,4,2,0,1,1,4,0)
    18        1:1        3:3   +   0.516 (33,4,4,2,0,1,1,4,0)
    19        1:1        3:3   +   0.446 (31,3,4,3,0,0,2,4,0)
    20        1:1        2:2   +   0.513 (34,3,4,4,1,1,1,3,0)
    21        1:1        2:2   +   0.571 (43,3,3,4,1,1,2,4,0)
    22        1:1        1:1       0.761 (27,1,2,4,1,1,1,4,1)
    23        1:1        3:3   +   0.678 (33,4,4,5,1,1,3,4,0)
    24        1:1        3:3   +   0.446 (34,3,3,6,1,1,2,3,0)
    25        1:1        1:1       0.719 (20,4,4,0,0,0,2,4,0)
    26        1:1        2:2   +   0.455 (42,3,3,3,1,0,2,4,0)
    27        1:1        2:2   +   0.504 (40,4,4,3,0,1,3,4,0)
    28        1:1        2:2   +   0.418 (47,3,2,5,1,1,4,4,0)
    29        1:1        3:3   +   0.586 (31,3,4,2,1,1,1,4,0)
    30        1:1        2:2   +   0.451 (45,2,3,4,1,0,2,4,0)
    31        1:1        3:3   +   0.548 (22,3,3,2,1,1,2,4,0)
    32        1:1        1:1       0.864 (29,4,2,0,1,0,2,2,0)
    33        1:1        1:1       0.874 (47,1,2,2,1,1,2,3,1)
    34        1:1        1:1       0.818 (21,1,2,1,1,0,3,4,0)
    35        2:2        2:2       0.628 (45,4,4,3,1,1,1,4,0)
    36        2:2        3:3   +   0.418 (36,3,4,3,0,0,3,4,0)
    37        2:2        3:3   +   0.637 (26,3,4,2,1,1,3,3,0)
    38        2:2        2:2       0.628 (45,4,4,3,1,1,1,4,0)
    39        2:2        2:2       0.542 (29,4,4,2,1,0,1,3,0)
    40        2:2        2:2       0.553 (44,4,4,5,1,1,1,4,0)
    41        2:2        2:2       0.602 (46,4,4,3,0,0,1,4,0)
    42        2:2        2:2       0.528 (38,4,4,4,1,1,2,4,0)
    43        2:2        2:2       0.519 (37,4,4,4,0,1,2,4,0)
    44        2:2        2:2       0.597 (38,4,4,6,1,1,1,4,0)
    45        2:2        2:2       0.505 (36,4,4,4,0,1,2,4,0)
    46        2:2        2:2       0.473 (44,4,4,7,1,1,3,2,0)
    47        2:2        3:3   +   0.383 (23,4,4,1,1,1,3,3,0)
    48        2:2        1:1   +   0.913 (47,1,1,8,1,1,3,4,1)
    49        2:2        3:3   +   0.847 (33,2,2,3,1,1,2,3,0)
    50        2:2        2:2       0.48 (34,4,4,4,1,1,3,3,0)
    51        2:2        3:3   +   0.783 (22,3,3,2,1,1,3,3,0)
    52        2:2        2:2       0.388 (36,2,1,6,1,1,2,1,0)
    53        2:2        3:3   +   0.482 (34,4,4,6,1,1,3,4,0)
    54        2:2        2:2       0.541 (37,4,4,3,1,1,1,4,0)
    55        2:2        3:3   +   0.517 (34,4,4,4,1,1,2,4,0)
    56        2:2        1:1   +   0.788 (38,2,2,8,1,1,2,2,0)
    57        2:2        2:2       0.615 (48,4,4,7,1,0,1,4,0)
    58        2:2        1:1   +   0.384 (27,3,3,1,1,0,3,4,0)
    59        2:2        2:2       0.527 (36,4,4,3,1,1,1,4,0)
    60        2:2        2:2       0.551 (47,4,4,4,0,1,2,4,0)
    61        2:2        3:3   +   0.695 (24,4,4,2,1,1,2,4,0)
    62        2:2        3:3   +   0.436 (21,4,4,1,1,1,1,4,0)
    63        2:2        1:1   +   0.48 (33,2,2,6,1,0,3,4,0)
    64        2:2        3:3   +   0.797 (26,3,3,2,1,1,3,2,0)
    65        2:2        3:3   +   0.413 (23,4,4,1,1,1,3,4,0)
    66        2:2        3:3   +   0.582 (30,2,2,7,1,1,3,4,0)
    67        2:2        2:2       0.591 (40,4,4,4,1,1,1,4,0)
    68        3:3        3:3       0.818 (24,2,3,5,1,1,3,3,0)
    69        3:3        3:3       0.655 (24,3,4,4,1,1,3,1,0)
    70        3:3        3:3       0.395 (26,4,4,1,1,1,3,3,0)
    71        3:3        2:2   +   0.473 (26,4,4,4,1,1,3,4,0)
    72        3:3        3:3       0.803 (22,3,3,2,1,1,3,1,0)
    73        3:3        3:3       0.607 (33,2,4,3,1,1,3,4,0)
    74        3:3        3:3       0.372 (35,3,2,9,1,0,3,4,0)
    75        3:3        2:2   +   0.617 (35,4,4,4,1,1,1,4,0)
    76        3:3        2:2   +   0.565 (35,3,4,4,1,0,1,4,0)
    77        3:3        3:3       0.519 (24,3,4,2,1,1,3,3,0)
    78        3:3        3:3       0.453 (27,4,4,4,1,1,3,3,0)
    79        3:3        3:3       0.73 (24,3,3,2,1,1,3,3,0)
    80        3:3        2:2   +   0.67 (44,4,4,4,0,1,2,3,0)
    81        3:3        3:3       0.565 (29,2,4,4,1,0,2,4,0)
    82        3:3        3:3       0.504 (35,3,4,5,1,1,1,4,0)
    83        3:3        3:3       0.647 (24,2,4,2,1,1,1,4,0)
    84        3:3        3:3       0.594 (27,2,2,3,1,1,2,2,1)
    85        3:3        3:3       0.632 (23,4,4,2,1,0,2,4,0)
    86        3:3        3:3       0.7 (24,2,4,3,1,1,3,3,0)
    87        3:3        3:3       0.508 (28,4,4,4,1,1,3,4,0)
    88        3:3        3:3       0.832 (31,3,3,3,1,1,3,1,1)
    89        3:3        3:3       0.842 (29,1,3,5,1,1,3,3,0)
    90        3:3        3:3       0.483 (36,4,4,2,1,0,1,4,0)
    91        3:3        2:2   +   0.499 (36,4,4,3,0,0,2,4,0)
    92        3:3        3:3       0.487 (30,4,4,2,1,1,1,4,0)
    93        3:3        3:3       0.519 (37,4,4,5,0,0,2,4,0)
    94        3:3        3:3       0.486 (28,4,4,4,1,1,2,3,0)
    95        3:3        3:3       0.86 (29,2,3,3,1,0,3,2,0)
    96        3:3        2:2   +   0.538 (35,4,4,3,0,1,3,4,0)
    97        3:3        2:2   +   0.638 (36,4,4,4,0,1,1,4,0)
    98        3:3        2:2   +   0.527 (36,4,4,3,1,1,1,4,0)
    99        3:3        2:2   +   0.597 (43,4,4,3,1,1,1,4,0)
   100        3:3        2:2   +   0.536 (29,3,4,4,1,0,1,3,0)
   101        3:3        2:2   +   0.597 (43,4,4,3,1,1,1,4,0)
   102        3:3        3:3       0.491 (24,4,4,1,1,1,2,3,0)
   103        3:3        2:2   +   0.485 (36,4,4,3,0,1,3,4,0)
   104        3:3        3:3       0.73 (29,3,4,5,1,1,3,3,0)
   105        3:3        3:3       0.593 (27,2,4,1,1,1,3,3,0)
