

=== Predictions under cross-validation ===

 inst#     actual  predicted error prediction (x-box,y-box,width,high,onpix,x-bar,y-bar,x2bar,y2bar,xybar,x2ybr,xy2br,x-ege,xegvy,y-ege,yegvx)
     1       22:V       22:V       0.736 (4,4,6,7,1,9,8,5,3,6,14,8,3,9,0,8)
     2       22:V       22:V       0.998 (3,2,5,4,2,7,12,2,3,7,11,9,2,10,1,8)
     3       22:V       22:V       1 (6,9,6,7,4,3,12,2,3,9,11,8,2,10,1,8)
     4       22:V       22:V       0.996 (3,7,5,5,2,7,12,3,4,6,11,9,2,10,1,8)
     5       22:V       22:V       0.999 (3,2,6,4,2,7,12,2,3,7,11,9,3,10,1,8)
     6       22:V       22:V       0.921 (4,6,4,4,2,1,11,5,3,12,12,8,2,10,1,7)
     7       22:V       14:N   +   0.871 (4,5,6,4,6,7,7,5,4,7,6,8,6,9,7,7)
     8       22:V       16:P   +   0.987 (6,9,5,4,2,6,11,6,3,11,9,4,4,12,3,9)
     9       22:V       22:V       0.38 (7,12,6,6,4,8,9,3,3,8,8,5,5,12,2,8)
    10       22:V       22:V       0.994 (5,10,5,8,4,3,11,2,3,9,11,8,2,11,1,8)
    11       22:V        7:G   +   0.96 (4,11,6,8,9,7,6,5,2,8,7,9,8,10,4,9)
    12       22:V       22:V       0.869 (3,3,4,2,1,5,13,4,3,10,11,6,2,10,1,8)
    13       22:V        6:F   +   0.585 (5,10,5,5,3,10,9,4,5,8,8,5,3,10,2,8)
    14       22:V       22:V       0.995 (6,7,5,5,3,3,11,2,3,9,11,8,3,11,1,7)
    15       22:V       22:V       0.923 (3,9,5,7,1,6,8,4,3,7,14,8,3,9,0,8)
    16       22:V       22:V       0.984 (2,8,4,6,1,8,8,4,2,7,13,8,3,9,0,8)
    17       22:V       22:V       0.993 (2,7,4,5,1,9,8,4,2,6,13,8,3,10,0,8)
    18       22:V       22:V       1 (5,7,5,5,2,4,11,3,3,9,11,7,3,10,1,7)
    19       22:V       25:Y   +   0.852 (6,11,5,6,3,9,10,5,4,7,10,5,4,11,3,6)
    20       22:V       22:V       0.999 (4,5,5,3,2,4,12,2,3,9,11,7,4,10,1,7)
    21       22:V       14:N   +   0.531 (6,11,6,6,3,7,7,4,4,7,7,6,6,12,2,8)
    22       22:V       22:V       0.999 (5,6,5,4,2,3,12,3,3,10,11,7,2,11,1,8)
    23       22:V       16:P   +   0.857 (10,14,9,8,5,8,9,4,6,8,9,5,6,12,4,8)
    24       22:V       22:V       0.994 (2,6,4,4,2,7,11,3,3,7,11,8,2,10,1,8)
    25       22:V       23:W   +   0.667 (7,8,7,6,4,4,12,1,2,9,10,7,6,11,2,7)
    26       22:V       22:V       0.998 (6,7,5,5,2,4,12,4,4,11,11,7,3,10,1,8)
    27       22:V       22:V       0.792 (6,10,8,8,5,7,11,3,2,5,10,9,3,11,4,8)
    28       22:V       22:V       0.967 (8,10,8,8,5,3,12,2,3,9,11,8,4,12,2,7)
    29       22:V       22:V       0.965 (2,3,3,2,1,7,12,2,2,7,11,8,2,11,1,8)
    30       22:V       22:V       0.999 (5,5,6,4,2,4,12,3,3,10,11,7,2,10,1,8)
    31       22:V       22:V       0.549 (1,0,2,0,0,7,9,3,2,7,12,8,2,10,0,8)
    32       22:V       22:V       0.994 (4,4,5,3,2,5,12,2,3,9,11,7,4,11,1,7)
    33       22:V       16:P   +   0.54 (9,14,8,8,5,6,8,4,4,8,8,5,6,12,3,8)
    34       22:V       22:V       0.998 (4,11,6,8,4,6,11,2,3,6,11,9,2,10,1,8)
    35       22:V       22:V       0.999 (4,8,4,6,2,3,11,3,3,10,11,8,2,10,1,7)
    36       22:V       22:V       0.955 (2,1,3,1,0,7,9,4,2,7,13,8,2,10,0,8)
    37       22:V       22:V       1 (4,7,4,5,2,4,11,3,3,9,11,7,2,10,1,8)
    38       22:V       22:V       0.998 (3,8,5,6,2,7,11,3,4,6,12,8,3,10,1,8)
    39       22:V       22:V       0.885 (4,9,6,7,1,6,8,5,3,8,14,8,3,9,0,8)
    40       22:V       22:V       1 (4,4,5,3,2,4,12,3,3,9,11,7,2,10,1,8)
    41       22:V       22:V       0.997 (7,10,7,8,4,2,11,3,4,11,12,8,2,10,1,8)
    42       22:V       22:V       0.998 (3,5,5,3,2,7,12,3,3,7,11,9,2,10,1,8)
    43       22:V       22:V       0.656 (1,0,2,1,0,7,9,3,2,7,12,8,2,10,0,8)
    44       22:V       22:V       0.995 (5,9,5,6,3,3,10,3,4,10,12,8,3,10,1,7)
    45       22:V       22:V       0.999 (3,7,5,5,1,8,8,4,2,7,14,8,3,10,0,8)
    46       22:V       22:V       0.989 (1,3,2,2,1,7,12,3,3,8,11,8,2,11,1,8)
    47       22:V       22:V       0.985 (3,8,5,6,2,6,9,4,1,8,12,8,2,10,0,8)
    48       22:V       22:V       0.782 (4,11,6,8,2,7,8,4,3,7,14,8,3,9,0,8)
    49       22:V       25:Y   +   0.904 (1,0,2,0,0,8,9,3,1,6,12,8,2,11,0,8)
    50       22:V       23:W   +   0.587 (4,8,6,6,7,7,7,4,1,8,7,9,7,10,4,7)
    51       22:V       22:V       0.976 (3,7,5,5,2,9,9,4,1,6,13,8,2,10,0,8)
    52       22:V       22:V       1 (4,5,6,4,2,4,12,3,3,10,11,7,3,10,1,7)
    53       22:V       22:V       0.991 (5,9,5,6,3,2,11,2,3,10,11,8,2,11,1,8)
    54       22:V       22:V       1 (7,11,7,8,3,4,11,3,4,9,11,7,3,10,1,8)
    55       22:V       22:V       0.99 (2,7,4,5,3,9,12,2,3,4,10,9,2,11,1,9)
    56       22:V       22:V       0.649 (3,5,5,8,2,7,8,4,3,7,14,8,3,9,0,8)
    57       22:V       22:V       0.675 (1,0,2,1,0,8,9,3,2,6,12,8,2,10,0,8)
    58       22:V       22:V       0.998 (2,1,4,2,1,8,12,3,3,5,11,9,2,10,1,8)
    59       22:V       22:V       0.927 (2,3,3,2,1,5,12,2,2,8,10,7,2,11,0,8)
    60       22:V       22:V       1 (5,10,5,8,3,3,11,4,4,10,12,8,2,10,1,8)
    61       22:V       22:V       0.991 (3,9,5,6,3,7,9,3,1,7,12,8,3,9,1,8)
    62        7:G       18:R   +   0.396 (7,9,6,5,3,10,5,4,5,11,3,7,4,7,5,9)
    63        7:G        7:G       0.99 (3,8,4,6,2,7,6,8,7,6,6,9,2,7,6,11)
    64        7:G        7:G       0.579 (4,10,5,8,3,7,5,8,9,8,4,13,1,9,5,10)
    65        7:G        7:G       0.941 (6,10,8,7,6,6,6,6,6,6,6,10,4,8,5,9)
    66        7:G        7:G       0.726 (5,9,6,7,4,7,6,7,8,11,6,11,2,11,4,9)
    67        7:G       17:Q   +   0.926 (6,9,5,5,4,8,4,5,2,9,6,9,4,8,7,8)
    68        7:G        7:G       0.899 (2,6,3,4,2,8,8,6,5,6,7,9,2,7,5,11)
    69        7:G        8:H   +   0.39 (3,1,4,2,2,7,7,5,6,7,6,9,3,7,4,8)
    70        7:G       19:S   +   0.555 (9,13,8,8,4,8,3,4,3,8,4,5,4,7,5,9)
    71        7:G        7:G       0.99 (3,4,4,3,2,6,7,5,5,9,7,10,2,9,4,9)
    72        7:G       11:K   +   0.524 (6,9,8,7,8,7,8,6,2,6,5,11,6,8,10,6)
    73        7:G        7:G       0.982 (2,4,3,3,2,6,7,5,5,9,7,10,2,8,4,10)
    74        7:G        7:G       0.482 (4,4,5,6,2,8,5,7,9,8,4,12,1,9,5,10)
    75        7:G        7:G       0.781 (4,9,5,6,3,6,7,7,6,9,7,12,2,8,4,10)
    76        7:G        7:G       0.973 (3,9,4,7,2,7,7,8,7,5,6,9,2,7,6,11)
    77        7:G        7:G       0.992 (3,2,5,4,3,7,6,6,6,6,6,10,2,9,4,9)
    78        7:G        7:G       0.911 (2,1,4,3,2,6,7,6,6,6,6,10,2,8,3,9)
    79        7:G        7:G       0.998 (3,2,4,4,3,6,6,6,6,6,6,10,2,9,4,9)
    80        7:G        7:G       0.792 (5,11,6,8,5,5,5,6,7,7,5,12,2,10,4,9)
    81        7:G        7:G       0.957 (6,10,6,7,5,5,7,6,5,9,7,12,2,9,5,8)
    82        7:G        7:G       0.976 (2,1,3,2,2,7,7,5,5,6,6,9,2,9,4,9)
    83        7:G        7:G       0.902 (2,3,3,1,1,7,7,6,5,7,6,9,2,9,4,10)
    84        7:G        7:G       0.938 (5,10,6,7,3,8,7,8,8,6,7,9,2,7,5,10)
    85        7:G       14:N   +   0.478 (6,10,8,8,9,7,7,6,2,7,6,11,7,9,10,7)
    86        7:G        7:G       0.971 (3,4,4,3,2,6,7,5,5,9,8,9,2,9,4,9)
    87        7:G        7:G       0.855 (3,2,4,4,3,6,7,6,6,7,6,10,3,7,4,9)
    88        7:G        7:G       0.968 (5,8,5,6,4,7,6,6,7,10,7,11,2,10,4,9)
    89        7:G       18:R   +   0.551 (8,12,7,6,4,10,3,3,4,10,2,6,4,7,5,11)
    90        7:G        7:G       0.793 (4,10,5,7,4,5,6,6,5,9,8,11,2,9,4,10)
    91        7:G        7:G       0.879 (4,9,5,6,3,6,7,7,6,10,7,11,2,9,4,9)
    92        7:G        7:G       0.989 (3,1,4,2,2,7,7,6,6,6,6,9,2,9,4,9)
    93        7:G        5:E   +   0.252 (4,8,6,6,5,7,6,6,4,7,7,9,5,9,7,8)
    94        7:G       11:K   +   0.742 (4,8,6,6,6,8,5,4,3,7,5,11,6,8,4,11)
    95        7:G        2:B   +   0.452 (10,14,8,8,5,8,8,5,4,9,6,6,4,9,9,8)
    96        7:G        1:A   +   0.535 (7,15,6,8,4,9,3,3,3,7,3,5,4,7,4,9)
    97        7:G        7:G       0.988 (3,4,4,3,2,6,7,5,5,9,7,10,2,9,4,10)
    98        7:G        7:G       0.988 (2,1,2,2,1,7,7,6,5,6,6,9,2,9,4,9)
    99        7:G        7:G       0.957 (3,9,5,6,2,7,6,8,7,6,6,8,2,7,6,11)
   100        7:G        7:G       0.451 (8,13,7,7,4,7,3,6,2,6,5,4,4,7,5,7)
   101        7:G        7:G       0.995 (3,4,4,7,2,6,5,8,8,6,5,10,1,8,6,11)
   102        7:G        7:G       0.994 (4,6,4,4,3,6,7,5,5,9,7,10,2,9,4,10)
   103        7:G        7:G       0.985 (2,5,3,3,2,6,7,5,5,9,7,10,2,8,4,9)
   104        7:G        7:G       0.962 (3,5,4,3,2,6,6,6,5,8,7,11,2,8,4,10)
   105        7:G        7:G       0.527 (2,3,2,2,1,6,8,5,4,9,8,9,2,8,4,9)
   106        7:G       23:W   +   0.534 (5,8,6,7,7,7,9,5,2,7,7,8,6,11,7,8)
   107        7:G        5:E   +   0.495 (7,11,7,8,6,6,6,6,6,10,6,14,5,8,6,7)
   108        7:G        7:G       0.975 (2,0,2,1,1,8,6,6,6,6,5,9,1,7,5,10)
   109        7:G        7:G       0.87 (2,3,3,2,1,6,7,5,4,9,7,10,2,9,4,10)
   110        7:G       17:Q   +   0.526 (3,7,5,5,5,9,7,5,2,7,6,10,5,9,4,10)
   111        7:G        7:G       0.989 (3,4,5,6,2,7,5,7,8,6,5,11,1,8,6,11)
   112        7:G        7:G       0.95 (2,1,3,1,1,6,7,5,5,6,6,9,2,9,4,8)
   113        7:G       15:O   +   0.514 (6,13,6,7,3,7,6,5,4,9,5,5,4,8,5,7)
   114        7:G        7:G       0.996 (3,2,5,4,3,6,6,6,6,6,6,9,2,9,4,9)
   115        7:G        7:G       0.979 (2,3,3,2,2,7,7,5,5,6,6,9,2,9,4,9)
   116        7:G        7:G       0.878 (6,10,7,7,5,5,7,6,5,9,8,11,2,8,4,10)
   117        7:G        7:G       0.961 (3,4,4,6,2,7,7,8,7,6,6,9,2,7,6,10)
   118        7:G       17:Q   +   0.442 (3,7,4,5,5,8,7,4,1,7,6,9,6,8,6,12)
   119        7:G       19:S   +   0.376 (6,10,5,5,3,8,7,5,6,10,4,7,4,7,5,8)
   120        7:G       19:S   +   0.578 (5,9,4,5,3,7,7,3,2,8,6,7,4,10,8,7)
   121        7:G        7:G       0.895 (4,7,5,5,3,7,6,7,7,7,5,11,2,9,4,8)
   122        7:G        7:G       0.994 (3,6,4,4,3,6,7,6,5,9,7,10,2,9,4,10)
   123        7:G       23:W   +   0.297 (5,9,7,8,8,7,9,5,2,7,7,8,6,11,7,9)
   124       15:O       15:O       0.959 (5,8,5,6,5,8,6,7,3,9,5,7,3,8,3,7)
   125       15:O       15:O       0.982 (3,7,5,5,3,8,6,7,4,7,5,8,3,8,3,7)
   126       15:O       15:O       0.836 (4,8,4,6,4,7,8,7,4,10,7,6,3,9,3,7)
   127       15:O       15:O       0.843 (1,3,2,2,1,8,7,6,3,8,6,8,2,8,2,8)
   128       15:O       15:O       0.978 (4,11,5,8,5,8,7,8,4,7,7,7,3,7,3,8)
   129       15:O        9:I   +   0.918 (1,0,1,0,0,8,7,6,4,7,6,8,2,8,2,8)
   130       15:O       15:O       0.998 (2,3,3,2,2,8,7,6,4,9,5,8,2,8,2,8)
   131       15:O       11:K   +   0.549 (7,10,7,7,6,8,6,7,5,10,5,11,5,7,5,6)
   132       15:O       15:O       0.924 (4,8,5,6,4,7,8,7,4,10,7,9,3,8,3,7)
