

=== Predictions under cross-validation ===

 inst#     actual  predicted error prediction (Hair,Feathers,Eggs,Milk,Airborne,Aquatic,Predator,Toothed,Backbone,Breathes,Venomous,Fins,Legs,Tail,Domestic,Catsize,Type)
     1    84:gnat    80:frog   +   0.038 (0,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,6)
     2     4:boar 1:aardvark   +   0.026 (1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1)
     3    82:toad    80:frog   +   0.038 (0,0,1,0,0,1,0,1,1,1,0,0,4,0,0,0,5)
     4    26:oryx 1:aardvark   +   0.026 (1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1)
     5    39:vole    80:frog   +   0.038 (1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,0,1)
     6 13:giraffe 1:aardvark   +   0.026 (1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1)
     7    29:pony 1:aardvark   +   0.026 (1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,1)
     8 51:ostrich 1:aardvark   +   0.026 (0,1,1,0,0,0,0,0,1,1,0,0,2,1,0,1,2)
     9    35:seal 1:aardvark   +   0.026 (1,0,0,1,0,1,1,1,1,1,0,1,0,0,0,1,1)
    10    77:sole    80:frog   +   0.038 (0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,4)
    11    90:wasp    80:frog   +   0.038 (1,0,1,0,1,0,0,0,0,1,1,0,6,0,0,0,6)
     1 94:lobster    80:frog   +   0.039 (0,0,1,0,0,1,1,0,0,0,0,0,6,0,0,0,7)
     2    21:lynx    80:frog   +   0.039 (1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1)
     3 33:raccoon    80:frog   +   0.039 (1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1)
     4    48:hawk    80:frog   +   0.039 (0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,0,2)
     5 16:gorilla 2:antelope   +   0.025 (1,0,0,1,0,0,0,1,1,1,0,0,2,0,0,1,1)
     6 97:seawasp    80:frog   +   0.039 (0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,7)
     7 42:chicken 2:antelope   +   0.025 (0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,2)
     8 37:squirre 2:antelope   +   0.025 (1,0,0,1,0,0,0,1,1,1,0,0,2,1,0,0,1)
     9     9:deer 2:antelope   +   0.025 (1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1)
    10    18:hare 2:antelope   +   0.025 (1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,0,1)
     1 69:catfish    80:frog   +   0.04 (0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4)
     2    61:wren    80:frog   +   0.04 (0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,2)
     3    45:duck    80:frog   +   0.04 (0,1,1,0,1,1,0,0,1,1,0,0,2,1,0,0,2)
     4 54:pheasan    80:frog   +   0.04 (0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,2)
     5     6:calf 1:aardvark   +   0.024 (1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,1)
     6 30:porpois 1:aardvark   +   0.024 (0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1,1)
     7 12:fruitba    80:frog   +   0.04 (1,0,0,1,1,0,0,1,1,1,0,0,2,1,0,0,1)
     8 40:wallaby 1:aardvark   +   0.024 (1,0,0,1,0,0,0,1,1,1,0,0,2,1,0,1,1)
     9 99:starfis    80:frog   +   0.04 (0,0,1,0,0,1,1,0,0,0,0,0,5,0,0,0,7)
    10 86:housefl    80:frog   +   0.04 (1,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,6)
     1 11:elephan 2:antelope   +   0.024 (1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1)
     2 32:pussyca    80:frog   +   0.041 (1,0,0,1,0,0,1,1,1,1,0,0,4,1,1,1,1)
     3 19:leopard    80:frog   +   0.041 (1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1)
     4 96:scorpio    80:frog   +   0.041 (0,0,0,0,0,0,1,0,0,1,1,0,8,1,0,0,7)
     5 52:parakee 2:antelope   +   0.024 (0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,2)
     6    59:swan 2:antelope   +   0.024 (0,1,1,0,1,1,0,0,1,1,0,0,2,1,0,1,2)
     7 36:sealion    80:frog   +   0.041 (1,0,0,1,0,1,1,1,1,1,0,1,2,1,0,1,1)
     8 75:piranha    80:frog   +   0.041 (0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4)
     9 87:ladybir    80:frog   +   0.041 (0,0,1,0,1,0,1,0,0,1,0,0,6,0,0,0,6)
    10 60:vulture    80:frog   +   0.041 (0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,1,2)
     1 2:antelope  5:buffalo   +   0.024 (1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1)
     2    92:crab    80:frog   +   0.041 (0,0,1,0,0,1,1,0,0,0,0,0,4,0,0,0,7)
     3    98:slug  5:buffalo   +   0.024 (0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,7)
     4     3:bear    80:frog   +   0.041 (1,0,0,1,0,0,1,1,1,1,0,0,4,0,0,1,1)
     5 73:herring    80:frog   +   0.041 (0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4)
     6 24:mongoos    80:frog   +   0.041 (1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1)
     7    41:wolf    80:frog   +   0.041 (1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1)
     8 76:seahors  5:buffalo   +   0.024 (0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,4)
     9 62:pitvipe    80:frog   +   0.041 (0,0,1,0,0,0,1,1,1,1,1,0,0,1,0,0,3)
    10    14:girl    80:frog   +   0.041 (1,0,0,1,0,0,1,1,1,1,0,0,2,0,1,1,1)
     1  5:buffalo 1:aardvark   +   0.026 (1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1)
     2 58:sparrow    80:frog   +   0.038 (0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,2)
     3 46:flaming    80:frog   +   0.038 (0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,1,2)
     4 63:seasnak    80:frog   +   0.038 (0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,3)
     5 34:reindee 1:aardvark   +   0.026 (1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,1)
     6 78:stingra    80:frog   +   0.038 (0,0,1,0,0,1,1,1,1,0,1,1,0,1,0,1,4)
     7 93:crayfis    80:frog   +   0.038 (0,0,1,0,0,1,1,0,0,0,0,0,6,0,0,0,7)
     8 85:honeybe 1:aardvark   +   0.026 (1,0,1,0,1,0,0,0,0,1,1,0,6,0,1,0,6)
     9 28:polecat 1:aardvark   +   0.026 (1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1)
    10   100:worm    80:frog   +   0.038 (0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,7)
     1    31:puma    80:frog   +   0.042 (1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1)
     2    79:tuna    80:frog   +   0.042 (0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,4)
     3 71:dogfish    80:frog   +   0.042 (0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,4)
     4 56:skimmer    80:frog   +   0.042 (0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,2)
     5 64:slowwor    80:frog   +   0.042 (0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,0,3)
     6     7:cavy 2:antelope   +   0.023 (1,0,0,1,0,0,0,1,1,1,0,0,4,0,1,0,1)
     7    91:clam    80:frog   +   0.042 (0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,7)
     8 95:octopus    80:frog   +   0.042 (0,0,1,0,0,1,1,0,0,0,0,0,8,0,0,1,7)
     9    83:flea 2:antelope   +   0.023 (0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0,6)
    10 25:opossum    80:frog   +   0.042 (1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,0,1)
     1    68:carp 2:antelope   +   0.024 (0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,0,4)
     2 17:hamster 2:antelope   +   0.024 (1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,0,1)
     3 66:tuatara    80:frog   +   0.041 (0,0,1,0,0,0,1,1,1,1,0,0,4,1,0,0,3)
