

=== Predictions under cross-validation ===

 inst#     actual  predicted error prediction (Hair,Feathers,Eggs,Milk,Airborne,Aquatic,Predator,Toothed,Backbone,Breathes,Venomous,Fins,Legs,Tail,Domestic,Catsize,Type)
     1    84:gnat    88:moth   +   1 (0,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,6)
     2     4:boar    20:lion   +   1 (1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1)
     3    82:toad    80:frog   +   1 (0,0,1,0,0,1,0,1,1,1,0,0,4,0,0,0,5)
     4    26:oryx 11:elephan   +   1 (1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1)
     5    39:vole    18:hare   +   1 (1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,0,1)
     6 13:giraffe 11:elephan   +   1 (1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1)
     7    29:pony     6:calf   +   1 (1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,1)
     8 51:ostrich 46:flaming   +   1 (0,1,1,0,0,0,0,0,1,1,0,0,2,1,0,1,2)
     9    35:seal 36:sealion   +   1 (1,0,0,1,0,1,1,1,1,1,0,1,0,0,0,1,1)
    10    77:sole 76:seahors   +   1 (0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,4)
    11    90:wasp    88:moth   +   1 (1,0,1,0,1,0,0,0,0,1,1,0,6,0,0,0,6)
     1 94:lobster 93:crayfis   +   1 (0,0,1,0,0,1,1,0,0,0,0,0,6,0,0,0,7)
     2    21:lynx    20:lion   +   1 (1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1)
     3 33:raccoon    20:lion   +   1 (1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1)
     4    48:hawk    43:crow   +   1 (0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,0,2)
     5 16:gorilla 40:wallaby   +   1 (1,0,0,1,0,0,0,1,1,1,0,0,2,0,0,1,1)
     6 97:seawasp    91:clam   +   1 (0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,7)
     7 42:chicken    44:dove   +   1 (0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,2)
     8 37:squirre 40:wallaby   +   1 (1,0,0,1,0,0,0,1,1,1,0,0,2,1,0,0,1)
     9     9:deer 13:giraffe   +   1 (1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1)
    10    18:hare    39:vole   +   1 (1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,0,1)
     1 69:catfish    70:chub   +   1 (0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4)
     2    61:wren    50:lark   +   1 (0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,2)
     3    45:duck    50:lark   +   1 (0,1,1,0,1,1,0,0,1,1,0,0,2,1,0,0,2)
     4 54:pheasan    50:lark   +   1 (0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,2)
     5     6:calf 34:reindee   +   1 (1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,1)
     6 30:porpois 10:dolphin   +   1 (0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1,1)
     7 12:fruitba 38:vampire   +   1 (1,0,0,1,1,0,0,1,1,1,0,0,2,1,0,0,1)
     8 40:wallaby    26:oryx   +   1 (1,0,0,1,0,0,0,1,1,1,0,0,2,1,0,1,1)
     9 99:starfis    92:crab   +   1 (0,0,1,0,0,1,1,0,0,0,0,0,5,0,0,0,7)
    10 86:housefl    88:moth   +   1 (1,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,6)
     1 11:elephan    26:oryx   +   1 (1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1)
     2 32:pussyca 24:mongoos   +   1 (1,0,0,1,0,0,1,1,1,1,0,0,4,1,1,1,1)
     3 19:leopard 24:mongoos   +   1 (1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1)
     4 96:scorpio    91:clam   +   1 (0,0,0,0,0,0,1,0,0,1,1,0,8,1,0,0,7)
     5 52:parakee 42:chicken   +   1 (0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,2)
     6    59:swan 46:flaming   +   1 (0,1,1,0,1,1,0,0,1,1,0,0,2,1,0,1,2)
     7 36:sealion 30:porpois   +   1 (1,0,0,1,0,1,1,1,1,1,0,1,2,1,0,1,1)
     8 75:piranha    70:chub   +   1 (0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4)
     9 87:ladybir    84:gnat   +   1 (0,0,1,0,1,0,1,0,0,1,0,0,6,0,0,0,6)
    10 60:vulture    48:hawk   +   1 (0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,1,2)
     1 2:antelope  5:buffalo   +   1 (1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1)
     2    92:crab 93:crayfis   +   1 (0,0,1,0,0,1,1,0,0,0,0,0,4,0,0,0,7)
     3    98:slug   100:worm   +   1 (0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,7)
     4     3:bear 1:aardvark   +   1 (1,0,0,1,0,0,1,1,1,1,0,0,4,0,0,1,1)
     5 73:herring 75:piranha   +   1 (0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4)
     6 24:mongoos     4:boar   +   1 (1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1)
     7    41:wolf     4:boar   +   1 (1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1)
     8 76:seahors    77:sole   +   1 (0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,4)
     9 62:pitvipe 64:slowwor   +   1 (0,0,1,0,0,0,1,1,1,1,1,0,0,1,0,0,3)
    10    14:girl 1:aardvark   +   1 (1,0,0,1,0,0,1,1,1,1,0,0,2,0,1,1,1)
     1  5:buffalo 13:giraffe   +   1 (1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1)
     2 58:sparrow    50:lark   +   1 (0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,2)
     3 46:flaming 60:vulture   +   1 (0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,1,2)
     4 63:seasnak 62:pitvipe   +   1 (0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,3)
     5 34:reindee    15:goat   +   1 (1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,1)
     6 78:stingra 71:dogfish   +   1 (0,0,1,0,0,1,1,1,1,0,1,1,0,1,0,1,4)
     7 93:crayfis 94:lobster   +   1 (0,0,1,0,0,1,1,0,0,0,0,0,6,0,0,0,7)
     8 85:honeybe    90:wasp   +   1 (1,0,1,0,1,0,0,0,0,1,1,0,6,0,1,0,6)
     9 28:polecat 19:leopard   +   1 (1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1)
    10   100:worm    98:slug   +   1 (0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,7)
