

=== Predictions under cross-validation ===

 inst#     actual  predicted error prediction (Hair,Feathers,Eggs,Milk,Airborne,Aquatic,Predator,Toothed,Backbone,Breathes,Venomous,Fins,Legs,Tail,Domestic,Catsize,Type)
     1    14:girl 19:leopard   +   0.111 (1,0,0,1,0,0,1,1,1,1,0,0,2,0,1,1,1)
     2 53:penguin    47:gull   +   0.333 (0,1,1,0,0,1,1,0,1,1,0,0,2,1,0,1,2)
     3 16:gorilla 11:elephan   +   0.25 (1,0,0,1,0,0,0,1,1,1,0,0,2,0,0,1,1)
     4 72:haddock 76:seahors   +   0.5 (0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,4)
     5 62:pitvipe 64:slowwor   +   0.333 (0,0,1,0,0,0,1,1,1,1,1,0,0,1,0,0,3)
     6 17:hamster    18:hare   +   0.333 (1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,0,1)
     7 34:reindee    15:goat   +   0.5 (1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,1)
     8 96:scorpio 95:octopus   +   1 (0,0,0,0,0,0,1,0,0,1,1,0,8,1,0,0,7)
     1    47:gull 56:skimmer   +   0.333 (0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,2)
     2 36:sealion 27:platypu   +   0.5 (1,0,0,1,0,1,1,1,1,1,0,1,2,1,0,1,1)
     3    48:hawk 56:skimmer   +   0.333 (0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,0,2)
     4 40:wallaby 11:elephan   +   0.25 (1,0,0,1,0,0,0,1,1,1,0,0,2,1,0,1,1)
     5    22:mink 27:platypu   +   0.5 (1,0,0,1,0,1,1,1,1,1,0,0,4,1,0,1,1)
     6   100:worm 72:haddock   +   0.25 (0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,7)
     7    45:duck    50:lark   +   0.2 (0,1,1,0,1,1,0,0,1,1,0,0,2,1,0,0,2)
     8    15:goat 17:hamster   +   0.333 (1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,1)
     1 66:tuatara    80:frog   +   0.667 (0,0,1,0,0,0,1,1,1,1,0,0,4,1,0,0,3)
     2 75:piranha 73:herring   +   0.25 (0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4)
     3    88:moth 85:honeybe   +   0.333 (1,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,6)
     4 32:pussyca    14:girl   +   0.111 (1,0,0,1,0,0,1,1,1,1,0,0,4,1,1,1,1)
     5 56:skimmer    47:gull   +   0.333 (0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,2)
