

=== Predictions under cross-validation ===

 inst#     actual  predicted error prediction (Hair,Feathers,Eggs,Milk,Airborne,Aquatic,Predator,Toothed,Backbone,Breathes,Venomous,Fins,Legs,Tail,Domestic,Catsize,Type)
     1    14:girl 32:pussyca   +   0.594 (1,0,0,1,0,0,1,1,1,1,0,0,2,0,1,1,1)
     2 53:penguin    55:rhea   +   0.43 (0,1,1,0,0,1,1,0,1,1,0,0,2,1,0,1,2)
     3 16:gorilla 40:wallaby   +   0.601 (1,0,0,1,0,0,0,1,1,1,0,0,2,0,0,1,1)
     4 72:haddock 76:seahors   +   0.278 (0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,4)
     5 62:pitvipe 64:slowwor   +   0.652 (0,0,1,0,0,0,1,1,1,1,1,0,0,1,0,0,3)
     6 17:hamster    18:hare   +   0.202 (1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,0,1)
     7 34:reindee    15:goat   +   0.361 (1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,1)
     8 96:scorpio 63:seasnak   +   0.194 (0,0,0,0,0,0,1,0,0,1,1,0,8,1,0,0,7)
     1    47:gull 56:skimmer   +   0.384 (0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,2)
     2 36:sealion 30:porpois   +   0.334 (1,0,0,1,0,1,1,1,1,1,0,1,2,1,0,1,1)
     3    48:hawk 60:vulture   +   0.26 (0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,0,2)
     4 40:wallaby 16:gorilla   +   0.267 (1,0,0,1,0,0,0,1,1,1,0,0,2,1,0,1,1)
     5    22:mink 27:platypu   +   0.37 (1,0,0,1,0,1,1,1,1,1,0,0,4,1,0,1,1)
     6   100:worm    98:slug   +   0.707 (0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,7)
     7    45:duck    59:swan   +   0.391 (0,1,1,0,1,1,0,0,1,1,0,0,2,1,0,0,2)
     8    15:goat    29:pony   +   0.385 (1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,1)
