

=== Predictions under cross-validation ===

 inst#     actual  predicted error prediction (Hair,Feathers,Eggs,Milk,Airborne,Aquatic,Predator,Toothed,Backbone,Breathes,Venomous,Fins,Legs,Tail,Domestic,Catsize,Type)
     1    84:gnat    80:frog   +   0.022 (0,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,6)
     2     4:boar    80:frog   +   0.022 (1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1)
     3    82:toad    80:frog   +   0.022 (0,0,1,0,0,1,0,1,1,1,0,0,4,0,0,0,5)
     4    26:oryx    80:frog   +   0.022 (1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1)
     5    39:vole    80:frog   +   0.022 (1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,0,1)
     6 13:giraffe    80:frog   +   0.022 (1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1)
     7    29:pony    80:frog   +   0.022 (1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,1)
     8 51:ostrich    80:frog   +   0.022 (0,1,1,0,0,0,0,0,1,1,0,0,2,1,0,1,2)
     9    35:seal    80:frog   +   0.022 (1,0,0,1,0,1,1,1,1,1,0,1,0,0,0,1,1)
    10    77:sole    80:frog   +   0.022 (0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,4)
    11    90:wasp    80:frog   +   0.022 (1,0,1,0,1,0,0,0,0,1,1,0,6,0,0,0,6)
     1 94:lobster    80:frog   +   0.022 (0,0,1,0,0,1,1,0,0,0,0,0,6,0,0,0,7)
     2    21:lynx    80:frog   +   0.022 (1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1)
     3 33:raccoon    80:frog   +   0.022 (1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1)
     4    48:hawk    80:frog   +   0.022 (0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,0,2)
     5 16:gorilla    80:frog   +   0.022 (1,0,0,1,0,0,0,1,1,1,0,0,2,0,0,1,1)
     6 97:seawasp    80:frog   +   0.022 (0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,7)
     7 42:chicken    80:frog   +   0.022 (0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,2)
     8 37:squirre    80:frog   +   0.022 (1,0,0,1,0,0,0,1,1,1,0,0,2,1,0,0,1)
     9     9:deer    80:frog   +   0.022 (1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1)
    10    18:hare    80:frog   +   0.022 (1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,0,1)
     1 69:catfish    80:frog   +   0.022 (0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4)
     2    61:wren    80:frog   +   0.022 (0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,2)
     3    45:duck    80:frog   +   0.022 (0,1,1,0,1,1,0,0,1,1,0,0,2,1,0,0,2)
     4 54:pheasan    80:frog   +   0.022 (0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,2)
     5     6:calf    80:frog   +   0.022 (1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,1)
     6 30:porpois    80:frog   +   0.022 (0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1,1)
     7 12:fruitba    80:frog   +   0.022 (1,0,0,1,1,0,0,1,1,1,0,0,2,1,0,0,1)
     8 40:wallaby    80:frog   +   0.022 (1,0,0,1,0,0,0,1,1,1,0,0,2,1,0,1,1)
     9 99:starfis    80:frog   +   0.022 (0,0,1,0,0,1,1,0,0,0,0,0,5,0,0,0,7)
    10 86:housefl    80:frog   +   0.022 (1,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,6)
     1 11:elephan    80:frog   +   0.022 (1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1)
     2 32:pussyca    80:frog   +   0.022 (1,0,0,1,0,0,1,1,1,1,0,0,4,1,1,1,1)
     3 19:leopard    80:frog   +   0.022 (1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1)
     4 96:scorpio    80:frog   +   0.022 (0,0,0,0,0,0,1,0,0,1,1,0,8,1,0,0,7)
     5 52:parakee    80:frog   +   0.022 (0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,2)
     6    59:swan    80:frog   +   0.022 (0,1,1,0,1,1,0,0,1,1,0,0,2,1,0,1,2)
     7 36:sealion    80:frog   +   0.022 (1,0,0,1,0,1,1,1,1,1,0,1,2,1,0,1,1)
     8 75:piranha    80:frog   +   0.022 (0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4)
     9 87:ladybir    80:frog   +   0.022 (0,0,1,0,1,0,1,0,0,1,0,0,6,0,0,0,6)
