

=== Predictions under cross-validation ===

 inst#     actual  predicted error prediction (Buying,Maint,Doors,Persons,Lug_boot,Safety)
     1    1:unacc    1:unacc       0.972 (med,high,5more,2,med,med)
     2    1:unacc    1:unacc       0.972 (med,vhigh,5more,2,small,med)
     3    1:unacc    1:unacc       0.972 (low,vhigh,5more,2,big,low)
     4    1:unacc    1:unacc       0.972 (med,low,2,4,small,low)
     5    1:unacc      2:acc   +   0.657 (vhigh,low,2,more,med,med)
     6    1:unacc    1:unacc       0.972 (high,low,5more,more,big,low)
     7    1:unacc    1:unacc       0.972 (low,vhigh,5more,2,med,low)
     8    1:unacc    1:unacc       0.972 (low,vhigh,3,4,med,low)
     9    1:unacc    1:unacc       0.972 (low,high,2,2,small,med)
    10    1:unacc    1:unacc       0.972 (high,vhigh,2,4,small,low)
    11    1:unacc    1:unacc       0.972 (med,high,5more,more,med,low)
    12    1:unacc    1:unacc       0.972 (high,high,4,4,med,low)
    13    1:unacc      2:acc   +   0.764 (low,vhigh,2,more,small,high)
    14    1:unacc    1:unacc       0.972 (high,high,3,4,small,low)
    15    1:unacc    1:unacc       0.972 (high,low,4,2,big,high)
    16    1:unacc    1:unacc       0.972 (med,med,3,4,big,low)
    17    1:unacc    1:unacc       0.972 (med,vhigh,4,4,small,med)
    18    1:unacc    1:unacc       0.972 (low,med,4,4,big,low)
    19    1:unacc    1:unacc       0.972 (high,high,3,2,small,low)
    20    1:unacc    1:unacc       0.972 (med,vhigh,2,4,med,low)
    21    1:unacc    1:unacc       0.972 (med,vhigh,2,4,small,low)
    22    1:unacc    1:unacc       0.972 (high,high,5more,2,small,med)
    23    1:unacc    1:unacc       0.972 (low,low,4,2,small,high)
    24    1:unacc    1:unacc       0.972 (med,vhigh,5more,more,small,med)
    25    1:unacc      2:acc   +   0.764 (high,vhigh,3,more,small,high)
    26    1:unacc    1:unacc       0.972 (low,high,2,more,small,low)
    27    1:unacc    1:unacc       0.972 (high,low,3,2,small,high)
    28    1:unacc    1:unacc       0.972 (low,vhigh,3,more,big,low)
    29    1:unacc    1:unacc       0.972 (med,vhigh,5more,2,big,med)
    30    1:unacc    1:unacc       0.972 (med,low,5more,4,big,low)
    31    1:unacc    1:unacc       0.972 (low,high,2,4,big,low)
    32    1:unacc    1:unacc       0.972 (high,med,4,2,med,high)
    33    1:unacc    1:unacc       0.972 (med,vhigh,4,2,med,med)
    34    1:unacc    1:unacc       0.972 (low,vhigh,4,2,med,low)
    35    1:unacc    1:unacc       0.972 (low,low,5more,2,small,low)
    36    1:unacc    1:unacc       0.972 (vhigh,low,5more,more,small,low)
    37    1:unacc    1:unacc       0.972 (high,high,4,2,med,high)
    38    1:unacc    1:unacc       0.972 (high,med,4,2,big,high)
    39    1:unacc    1:unacc       0.972 (high,vhigh,2,2,big,med)
    40    1:unacc    1:unacc       0.972 (high,low,2,2,small,low)
    41    1:unacc    1:unacc       0.972 (med,high,3,4,small,med)
    42    1:unacc    1:unacc       0.972 (low,med,2,2,big,low)
    43    1:unacc    1:unacc       0.972 (med,low,5more,2,small,high)
    44    1:unacc    1:unacc       0.972 (low,low,4,2,med,high)
    45    1:unacc    1:unacc       0.972 (high,high,5more,2,med,high)
    46    1:unacc    1:unacc       0.972 (high,low,2,2,small,high)
    47    1:unacc    1:unacc       0.972 (high,high,2,2,med,high)
    48    1:unacc    1:unacc       0.972 (high,low,3,2,med,low)
    49    1:unacc    1:unacc       0.972 (high,med,5more,2,med,med)
    50    1:unacc    4:vgood   +   0.727 (med,low,3,2,big,high)
    51    1:unacc    1:unacc       0.972 (vhigh,low,3,4,small,med)
    52    1:unacc    1:unacc       0.972 (low,med,4,2,small,low)
    53    1:unacc    1:unacc       0.972 (vhigh,low,3,2,med,med)
    54    1:unacc    1:unacc       0.972 (med,vhigh,5more,2,big,high)
    55    1:unacc      2:acc   +   0.764 (low,high,2,more,small,high)
    56    1:unacc    1:unacc       0.972 (med,high,2,more,small,low)
    57    1:unacc    1:unacc       0.972 (med,med,5more,2,med,med)
    58    1:unacc    1:unacc       0.972 (low,vhigh,2,4,big,low)
    59    1:unacc    1:unacc       0.972 (high,low,2,2,big,med)
    60    1:unacc    1:unacc       0.972 (high,low,3,more,med,low)
    61    1:unacc    1:unacc       0.972 (low,vhigh,2,more,med,low)
    62    1:unacc    1:unacc       0.972 (med,high,4,2,big,high)
    63    1:unacc    1:unacc       0.972 (med,med,5more,2,big,med)
    64    1:unacc    1:unacc       0.972 (low,med,2,2,big,high)
    65    1:unacc    1:unacc       0.972 (med,high,2,2,med,med)
    66    1:unacc    1:unacc       0.972 (low,low,4,more,big,low)
    67    1:unacc    1:unacc       0.972 (med,med,4,2,small,high)
    68    1:unacc    1:unacc       0.972 (high,med,3,more,med,low)
    69    1:unacc    1:unacc       0.972 (high,vhigh,3,2,big,med)
    70    1:unacc    1:unacc       0.972 (vhigh,low,5more,4,small,med)
    71    1:unacc    1:unacc       0.972 (low,low,3,2,med,low)
    72    1:unacc    1:unacc       0.972 (high,med,4,more,small,low)
    73    1:unacc    1:unacc       0.972 (high,low,5more,more,med,low)
    74    1:unacc    1:unacc       0.972 (high,vhigh,3,2,med,high)
    75    1:unacc    1:unacc       0.972 (low,high,3,4,small,low)
    76    1:unacc    1:unacc       0.972 (med,high,4,2,med,med)
    77    1:unacc    1:unacc       0.972 (med,low,5more,2,big,low)
    78    1:unacc    1:unacc       0.972 (med,vhigh,5more,more,small,low)
    79    1:unacc    1:unacc       0.972 (high,med,3,2,big,low)
    80    1:unacc    1:unacc       0.972 (low,vhigh,4,2,big,med)
    81    1:unacc    1:unacc       0.972 (high,vhigh,2,2,small,med)
    82    1:unacc    1:unacc       0.972 (high,low,4,2,small,low)
