
Logistic Regression with ridge parameter of 1.0E-8
Coefficients...
                              Class
Variable                         cp                      im                      pp                     imU                      om                     omL                     imL
===================================================================================================================================================================================
mcg=0                       13.7271                 13.0639                -11.6643                  -6.985                 -4.2509                 -0.6921                 -0.1981
mcg=0.04                    43.5599                -16.8693                -11.6206                 -6.9588                  -4.235                 -0.6895                 -0.1973
mcg=0.06                   -16.2086                  43.043                -11.6206                 -7.1027                  -4.235                 -0.6895                 -0.1973
mcg=0.07                          0                       0                       0                       0                       0                       0                       0
mcg=0.1                    -16.2086                 42.8992                -11.6206                 -6.9588                  -4.235                 -0.6895                 -0.1973
mcg=0.11                   -16.2086                 42.8992                -11.6206                 -6.9588                  -4.235                 -0.6895                 -0.1973
mcg=0.12                   -16.2695                 43.1578                -11.6643                 -7.0823                 -4.2509                 -0.6921                 -0.1981
mcg=0.16                    13.7271                 13.0639                -11.6643                  -6.985                 -4.2509                 -0.6921                 -0.1981
mcg=0.17                    43.7237                -16.9327                -11.6643                  -6.985                 -4.2509                 -0.6921                 -0.1981
mcg=0.18                          0                       0                       0                       0                       0                       0                       0
mcg=0.2                    -16.2086                 42.8992                -11.6206                 -6.9588                  -4.235                 -0.6895                 -0.1973
mcg=0.21                          0                       0                       0                       0                       0                       0                       0
mcg=0.22                    43.5599                -16.8693                -11.6206                 -6.9588                  -4.235                 -0.6895                 -0.1973
mcg=0.23                    13.7271                 13.0639                -11.6643                  -6.985                 -4.2509                 -0.6921                 -0.1981
mcg=0.24                    44.0549                 -17.061                -11.7527                 -7.0379                 -4.2831                 -0.6974                 -0.1996
mcg=0.25                    43.8887                -16.9966                -11.7083                 -7.0114                  -4.267                 -0.6947                 -0.1988
mcg=0.26                    43.8887                -16.9966                -11.7083                 -7.0114                  -4.267                 -0.6947                 -0.1988
mcg=0.27                    23.8154                  3.0766                -11.7083                 -7.0114                  -4.267                 -0.6947                 -0.1988
mcg=0.28                    43.5599                -16.8693                -11.6206                 -6.9588                  -4.235                 -0.6895                 -0.1973
mcg=0.29                    19.9514                 -4.9904                  0.3382                 -7.0647                 -4.2994                    -0.7                 -0.2003
mcg=0.3                     10.1196                 16.8743                -11.7527                 -7.0379                 -4.2831                 -0.6974                 -0.1996
mcg=0.31                    -1.2809                 28.2748                -11.7527                 -7.0379                 -4.2831                 -0.6974                 -0.1996
mcg=0.32                   -13.4117                -16.9327                 45.4711                  -6.985                 -4.2509                 -0.6921                 -0.1981
mcg=0.33                     0.6959                  26.298                -11.7527                 -7.0379                 -4.2831                 -0.6974                 -0.1996
mcg=0.34                    24.3672                  8.1365                -11.9795                -12.1625                 -4.3658                 -0.7108                 -0.2034
mcg=0.35                     28.943                 -1.9491                -11.7527                  -7.038                 -4.2831                 -0.6974                 -0.1996
mcg=0.36                    13.8311                 13.1628                -11.7527                 -7.0379                 -4.2831                 -0.6974                 -0.1996
mcg=0.37                    23.8114                  3.0844                -11.7084                 -7.0114                  -4.267                 -0.6947                 -0.1988
mcg=0.38                    44.0549                 -17.061                -11.7527                 -7.0379                 -4.2831                 -0.6974                 -0.1996
mcg=0.39                    13.7271                 17.1066                -11.6643                -11.0277                 -4.2509                 -0.6921                 -0.1981
mcg=0.4                     32.0869                 -4.9904                -11.7973                 -7.0647                 -4.2994                    -0.7                 -0.2003
mcg=0.41                    32.0869                 -4.9904                -11.7973                 -7.0647                 -4.2994                    -0.7                 -0.2003
mcg=0.42                    43.5599                -16.8693                -11.6206                 -6.9588                  -4.235                 -0.6895                 -0.1973
mcg=0.43                     3.7423                  3.0766                  8.3649                 -7.0114                  -4.267                 -0.6947                 -0.1988
mcg=0.44                    23.1095                  5.6049                -13.3569                 -7.0917                 -4.3158                 -0.7027                 -0.2011
mcg=0.45                   -16.2086                 42.8992                -11.6206                 -6.9588                  -4.235                 -0.6895                 -0.1973
mcg=0.46                   -16.2695                 43.0605                -11.6643                  -6.985                 -4.2509                 -0.6921                 -0.1981
mcg=0.47                    -1.2809                 13.1647                -11.7527                  8.0721                 -4.2831                 -0.6974                 -0.1996
mcg=0.48                    -1.2809                 28.3501                -11.7527                 -7.1133                 -4.2831                 -0.6974                 -0.1996
mcg=0.49                     3.7423                 10.3481                -11.7083                  5.7903                  -4.267                 -0.6947                 -0.1988
