
Naive Bayes Classifier

                 Class
Attribute           cp     im     pp    imU     om    omL    imL    imS
                (0.28) (0.28) (0.19) (0.13) (0.08) (0.02) (0.01) (0.01)
========================================================================
Sequence_Name
  AAT_ECOLI         1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  ACEA_ECOLI        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  ACEK_ECOLI        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  ACKA_ECOLI        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  ADI_ECOLI         1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  ALKH_ECOLI        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  AMPD_ECOLI        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  AMY2_ECOLI        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  APT_ECOLI         1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  ARAC_ECOLI        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  ASG1_ECOLI        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  BTUR_ECOLI        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  CAFA_ECOLI        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  CAIB_ECOLI        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  CFA_ECOLI         1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  CHEA_ECOLI        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  CHEB_ECOLI        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  CHEW_ECOLI        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  CHEY_ECOLI        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  CHEZ_ECOLI        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  CRL_ECOLI         1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  CSPA_ECOLI        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  CYNR_ECOLI        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  CYPB_ECOLI        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  CYPC_ECOLI        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  CYSB_ECOLI        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  CYSE_ECOLI        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  DAPD_ECOLI        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  DCP_ECOLI         1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  DDLA_ECOLI        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  DDLB_ECOLI        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  DEOC_ECOLI        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  DLDH_ECOLI        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  EFG_ECOLI         1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  EFTS_ECOLI        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  EFTU_ECOLI        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  ENO_ECOLI         1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  FABB_ECOLI        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  FES_ECOLI         1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  G3P1_ECOLI        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  G3P2_ECOLI        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  G6PI_ECOLI        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  GCVA_ECOLI        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  GLNA_ECOLI        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  GLPD_ECOLI        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
