

=== Predictions under cross-validation ===

 inst#     actual  predicted error prediction (top-left-square,top-middle-square,top-right-square,middle-left-square,middle-middle-square,middle-right-square,bottom-left-square,bottom-middle-square,bottom-right-square)
     1 2:negative 2:negative       0.502 (b,o,x,x,o,x,b,o,b)
     2 2:negative 1:positive   +   0.863 (o,o,o,b,x,x,x,o,x)
     3 2:negative 2:negative       0.622 (o,x,x,o,o,b,x,x,o)
     4 2:negative 2:negative       0.61 (b,x,o,x,o,x,o,o,x)
     5 2:negative 2:negative       0.546 (b,x,x,o,o,o,b,x,b)
     6 2:negative 2:negative       0.939 (b,x,x,x,o,x,o,o,o)
     7 2:negative 2:negative       0.52 (o,x,o,x,x,o,x,b,o)
     8 2:negative 2:negative       0.89 (x,x,o,x,b,o,b,b,o)
     9 2:negative 1:positive   +   0.731 (o,o,o,x,x,b,b,b,x)
    10 2:negative 2:negative       0.664 (x,b,x,x,x,o,o,o,o)
    11 2:negative 2:negative       0.799 (o,x,x,x,o,b,x,o,o)
    12 2:negative 2:negative       0.918 (o,x,x,x,o,x,o,b,o)
    13 2:negative 2:negative       0.866 (o,x,b,o,o,x,o,x,x)
    14 2:negative 2:negative       0.761 (x,b,x,o,x,x,o,o,o)
    15 2:negative 2:negative       0.697 (o,o,x,x,o,x,x,o,b)
    16 2:negative 1:positive   +   0.731 (b,b,x,o,o,o,x,b,x)
    17 2:negative 2:negative       0.93 (o,x,o,x,o,x,o,x,b)
    18 2:negative 2:negative       0.684 (o,x,x,b,o,b,b,x,o)
    19 2:negative 2:negative       0.895 (b,x,o,o,o,x,o,x,x)
    20 2:negative 2:negative       0.918 (o,x,o,x,o,b,x,x,o)
    21 2:negative 1:positive   +   0.664 (o,b,o,o,x,x,o,x,x)
    22 2:negative 1:positive   +   0.536 (o,x,x,o,x,x,o,b,o)
    23 2:negative 2:negative       0.55 (o,b,x,b,o,x,x,b,o)
    24 2:negative 1:positive   +   0.534 (o,x,b,o,b,b,o,x,x)
    25 2:negative 1:positive   +   0.563 (b,b,o,x,b,o,x,x,o)
    26 2:negative 1:positive   +   0.614 (x,b,o,o,x,o,x,x,o)
    27 2:negative 2:negative       0.868 (x,x,o,b,b,o,x,b,o)
    28 2:negative 2:negative       0.735 (o,x,x,x,o,o,x,o,x)
    29 2:negative 2:negative       0.676 (o,b,x,x,o,x,b,b,o)
    30 2:negative 2:negative       0.783 (o,o,x,x,o,x,x,b,o)
    31 2:negative 2:negative       0.668 (x,o,x,b,o,b,x,o,b)
    32 2:negative 2:negative       0.76 (x,x,b,o,o,o,x,o,x)
    33 2:negative 2:negative       0.907 (o,o,o,x,o,x,b,x,x)
    34 2:negative 2:negative       0.696 (x,o,o,x,x,o,b,x,o)
    35 1:positive 2:negative   +   0.827 (o,x,x,b,o,x,o,b,x)
    36 1:positive 1:positive       0.831 (o,b,o,b,x,o,x,x,x)
    37 1:positive 1:positive       0.51 (o,x,b,x,x,o,o,x,b)
    38 1:positive 1:positive       0.913 (o,o,b,x,x,x,b,o,x)
    39 1:positive 1:positive       0.893 (b,o,x,o,b,o,x,x,x)
    40 1:positive 1:positive       0.846 (b,x,b,b,x,o,b,x,o)
    41 1:positive 2:negative   +   0.805 (b,o,o,x,o,b,x,x,x)
    42 1:positive 1:positive       0.886 (o,x,x,o,x,b,x,o,b)
    43 1:positive 1:positive       0.709 (x,b,o,x,b,b,x,b,o)
    44 1:positive 1:positive       0.932 (b,b,o,x,x,x,x,o,o)
    45 1:positive 2:negative   +   0.736 (o,b,b,x,o,o,x,x,x)
    46 1:positive 1:positive       0.884 (b,o,o,o,x,b,x,x,x)
    47 1:positive 1:positive       0.83 (o,b,b,o,b,b,x,x,x)
    48 1:positive 1:positive       0.932 (x,o,b,x,x,o,b,o,x)
    49 1:positive 1:positive       0.559 (o,x,b,x,x,x,b,o,o)
    50 1:positive 1:positive       0.898 (b,x,x,o,x,o,x,o,b)
    51 1:positive 1:positive       0.906 (o,o,x,b,x,o,x,b,x)
    52 1:positive 2:negative   +   0.602 (b,x,o,x,x,o,o,x,b)
