
Naive Bayes Classifier

                Class
Attribute           A      C      D      E      F      G      H      L      P      R
                  (0)    (0) (0.12) (0.12)  (0.1) (0.15) (0.12) (0.07) (0.15) (0.17)
=====================================================================================
OBJNUM
  0                1.0    1.0  483.0  501.0  501.0  501.0  501.0  501.0  501.0  501.0
  1                1.0    1.0  484.0  501.0  501.0  501.0  501.0  501.0  501.0  501.0
  2                1.0    1.0  484.0  501.0  501.0  501.0  501.0  501.0  501.0  501.0
  3                1.0    1.0  484.0  501.0  501.0  501.0  501.0    1.0  501.0  501.0
  4                1.0    1.0  340.0  501.0    1.0  501.0  501.0    1.0  501.0  501.0
  5                1.0    1.0  162.0    1.0    1.0  343.0    1.0    1.0  318.0  501.0
  6                1.0    1.0    1.0    1.0    1.0  172.0    1.0    1.0  173.0  337.0
  7                1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0  168.0
  [total]          8.0    8.0 2439.0 2508.0 2008.0 3021.0 2508.0 1508.0 2997.0 3511.0

TYPE
  line             1.0    1.0 2432.0 2501.0 2001.0 3014.0 2501.0 1501.0 2990.0 3504.0
  [total]          1.0    1.0 2432.0 2501.0 2001.0 3014.0 2501.0 1501.0 2990.0 3504.0

XX1
  0                1.0    1.0  650.0 2161.0 1688.0  836.0 1501.0 1501.0 1173.0 1369.0
  1                1.0    1.0  154.0  178.0  158.0   81.0    1.0    1.0  178.0  347.0
  2                1.0    1.0  164.0  164.0  157.0  107.0    1.0    1.0  154.0  287.0
  3                1.0    1.0    1.0    1.0    1.0  105.0    1.0    1.0    9.0   11.0
  4                1.0    1.0    1.0    1.0    1.0   53.0    1.0    1.0   19.0   21.0
  5                1.0    1.0   15.0    1.0    1.0   51.0    1.0    1.0    9.0   17.0
  6                1.0    1.0   37.0    1.0    1.0   58.0   39.0    1.0   53.0   49.0
  7                1.0    1.0   45.0    1.0    1.0   68.0   29.0    1.0   73.0   49.0
  8                1.0    1.0   53.0    1.0    1.0   86.0   47.0    1.0   68.0   56.0
  9                1.0    1.0   83.0    1.0    1.0   97.0   65.0    1.0   45.0   56.0
  10               1.0    1.0  178.0    1.0    1.0   90.0   51.0    1.0  123.0  128.0
  11               1.0    1.0   36.0    1.0    1.0   74.0   40.0    1.0   55.0   49.0
  12               1.0    1.0   99.0    1.0    1.0   64.0   48.0    1.0   47.0   68.0
  13               1.0    1.0   50.0    1.0    1.0   77.0   54.0    1.0   66.0   60.0
  14               1.0    1.0  168.0    1.0    1.0  102.0   45.0    1.0  136.0  160.0
  15               1.0    1.0   54.0    1.0    1.0   66.0   64.0    1.0   50.0   63.0
  16               1.0    1.0  127.0    1.0    1.0   76.0   50.0    1.0   58.0   53.0
  17               1.0    1.0   90.0    1.0    1.0   77.0   48.0    1.0  119.0  187.0
  18               1.0    1.0   75.0    1.0    1.0   68.0   42.0    1.0   48.0   55.0
  19               1.0    1.0   50.0    1.0    1.0   76.0   54.0    1.0   69.0   63.0
  20               1.0    1.0   55.0    1.0    1.0   46.0   53.0    1.0   40.0   33.0
  21               1.0    1.0   45.0    1.0    1.0  103.0   41.0    1.0   92.0   93.0
  22               1.0    1.0   19.0    1.0    1.0   56.0   53.0    1.0   42.0   24.0
  23               1.0    1.0   31.0    1.0    1.0   54.0   46.0    1.0   25.0   43.0
  24               1.0    1.0   38.0    1.0    1.0   45.0   64.0    1.0   32.0   29.0
  25               1.0    1.0   24.0    1.0    1.0   59.0   56.0    1.0   26.0   14.0
  26               1.0    1.0   24.0    1.0    1.0   48.0   23.0    1.0   23.0   10.0
  27               1.0    1.0   21.0    1.0    1.0   43.0   10.0    1.0   28.0   24.0
  28               1.0    1.0   14.0    1.0    1.0   21.0    1.0    1.0   23.0    8.0
  29               1.0    1.0   19.0    1.0    1.0   17.0    1.0    1.0   20.0   12.0
  30               1.0    1.0    6.0    1.0    1.0   27.0    1.0    1.0   11.0   14.0
  31               1.0    1.0   15.0    1.0    1.0   19.0    1.0    1.0   15.0   10.0
  32               1.0    1.0    6.0    1.0    1.0   25.0    1.0    1.0   15.0   10.0
  33               1.0    1.0    3.0    1.0    1.0   23.0    1.0    1.0   10.0   12.0
  34               1.0    1.0    7.0    1.0    1.0   13.0    1.0    1.0    6.0    7.0
  35               1.0    1.0    7.0    1.0    1.0   26.0    1.0    1.0   10.0    8.0
  36               1.0    1.0    1.0    1.0    1.0   15.0    1.0    1.0   11.0    4.0
  37               1.0    1.0    2.0    1.0    1.0   19.0    1.0    1.0   12.0    2.0
  38               1.0    1.0    3.0    1.0    1.0   16.0    1.0    1.0    3.0    6.0
  39               1.0    1.0    1.0    1.0    1.0    8.0    1.0    1.0    7.0   10.0
  40               1.0    1.0    1.0    1.0    1.0    5.0    1.0    1.0    5.0    2.0
  41               1.0    1.0    1.0    1.0    1.0   15.0    1.0    1.0    8.0    7.0
  42               1.0    1.0    1.0    1.0    1.0    9.0    1.0    1.0    2.0    1.0
  43               1.0    1.0    1.0    1.0    1.0    6.0    1.0    1.0    1.0    6.0
  44               1.0    1.0    1.0    1.0    1.0   10.0    1.0    1.0    8.0    3.0
  45               1.0    1.0    1.0    1.0    1.0    6.0    1.0    1.0    3.0    3.0
  46               1.0    1.0    1.0    1.0    1.0    3.0    1.0    1.0    3.0    1.0
  47               1.0    1.0    1.0    1.0    1.0    9.0    1.0    1.0    1.0    1.0
  48               1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    2.0
  49               1.0    1.0    1.0    1.0    1.0    4.0    1.0    1.0    3.0    1.0
  50               1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    3.0
