

=== Predictions under cross-validation ===

 inst#     actual  predicted error prediction (Wifes_age,Wifes_education,Husbands_education,Number_of_children_ever_born,Wifes_religion,Wifes_now_working?,Husbands_occupation,Standard-of-living_index,Media_exposure)
     1        1:1        1:1       0.704 (26,2,3,1,1,0,3,4,1)
     2        1:1        1:1       0.965 (22,4,4,0,1,1,2,1,1)
     3        1:1        1:1       0.703 (28,2,4,1,1,0,3,4,0)
     4        1:1        3:3   +   0.59 (28,3,4,3,1,1,2,1,0)
     5        1:1        1:1       0.609 (32,2,2,1,1,1,2,1,0)
     6        1:1        3:3   +   0.596 (29,3,4,2,1,1,3,4,0)
     7        1:1        3:3   +   0.409 (43,2,3,3,0,1,2,3,0)
     8        1:1        1:1       1 (49,1,3,0,1,1,3,3,1)
     9        1:1        1:1       0.487 (32,2,3,1,1,1,3,3,0)
    10        1:1        1:1       1 (45,1,1,0,0,0,2,1,0)
    11        1:1        3:3   +   0.755 (26,2,3,3,1,1,3,4,0)
    12        1:1        3:3   +   0.482 (46,4,4,6,1,1,1,4,0)
    13        1:1        2:2   +   0.777 (36,2,1,6,1,1,2,3,0)
    14        1:1        1:1       0.972 (23,4,4,0,0,1,2,4,0)
    15        1:1        3:3   +   0.467 (38,2,4,5,0,1,2,2,0)
    16        1:1        3:3   +   0.613 (32,2,2,2,1,1,2,4,0)
    17        1:1        2:2   +   0.472 (37,4,4,2,0,1,1,4,0)
    18        1:1        2:2   +   0.545 (33,4,4,2,0,1,1,4,0)
    19        1:1        3:3   +   0.497 (31,3,4,3,0,0,2,4,0)
    20        1:1        2:2   +   0.61 (34,3,4,4,1,1,1,3,0)
    21        1:1        3:3   +   0.39 (43,3,3,4,1,1,2,4,0)
    22        1:1        3:3   +   0.536 (27,1,2,4,1,1,1,4,1)
    23        1:1        3:3   +   0.639 (33,4,4,5,1,1,3,4,0)
    24        1:1        3:3   +   0.529 (34,3,3,6,1,1,2,3,0)
    25        1:1        1:1       0.962 (20,4,4,0,0,0,2,4,0)
    26        1:1        1:1       0.443 (42,3,3,3,1,0,2,4,0)
    27        1:1        3:3   +   0.494 (40,4,4,3,0,1,3,4,0)
    28        1:1        2:2   +   0.545 (47,3,2,5,1,1,4,4,0)
    29        1:1        3:3   +   0.383 (31,3,4,2,1,1,1,4,0)
    30        1:1        1:1       0.532 (45,2,3,4,1,0,2,4,0)
    31        1:1        3:3   +   0.815 (22,3,3,2,1,1,2,4,0)
    32        1:1        1:1       0.946 (29,4,2,0,1,0,2,2,0)
    33        1:1        1:1       0.943 (47,1,2,2,1,1,2,3,1)
    34        1:1        3:3   +   0.742 (21,1,2,1,1,0,3,4,0)
    35        2:2        2:2       0.593 (45,4,4,3,1,1,1,4,0)
    36        2:2        3:3   +   0.43 (36,3,4,3,0,0,3,4,0)
    37        2:2        3:3   +   0.546 (26,3,4,2,1,1,3,3,0)
    38        2:2        2:2       0.593 (45,4,4,3,1,1,1,4,0)
    39        2:2        2:2       0.504 (29,4,4,2,1,0,1,3,0)
    40        2:2        2:2       0.765 (44,4,4,5,1,1,1,4,0)
    41        2:2        3:3   +   0.427 (46,4,4,3,0,0,1,4,0)
    42        2:2        2:2       0.459 (38,4,4,4,1,1,2,4,0)
    43        2:2        2:2       0.474 (37,4,4,4,0,1,2,4,0)
    44        2:2        2:2       0.565 (38,4,4,6,1,1,1,4,0)
    45        2:2        2:2       0.602 (36,4,4,4,0,1,2,4,0)
    46        2:2        2:2       0.786 (44,4,4,7,1,1,3,2,0)
    47        2:2        3:3   +   0.396 (23,4,4,1,1,1,3,3,0)
    48        2:2        1:1   +   0.926 (47,1,1,8,1,1,3,4,1)
    49        2:2        3:3   +   0.684 (33,2,2,3,1,1,2,3,0)
    50        2:2        2:2       0.53 (34,4,4,4,1,1,3,3,0)
    51        2:2        3:3   +   0.821 (22,3,3,2,1,1,3,3,0)
