

=== Predictions under cross-validation ===

 inst#     actual  predicted error prediction (Wifes_age,Wifes_education,Husbands_education,Number_of_children_ever_born,Wifes_religion,Wifes_now_working?,Husbands_occupation,Standard-of-living_index,Media_exposure)
     1        1:1        1:1       0.561 (26,2,3,1,1,0,3,4,1)
     2        1:1        1:1       0.948 (22,4,4,0,1,1,2,1,1)
     3        1:1        3:3   +   0.478 (28,2,4,1,1,0,3,4,0)
     4        1:1        3:3   +   0.679 (28,3,4,3,1,1,2,1,0)
     5        1:1        3:3   +   0.581 (32,2,2,1,1,1,2,1,0)
     6        1:1        3:3   +   0.668 (29,3,4,2,1,1,3,4,0)
     7        1:1        3:3   +   0.563 (43,2,3,3,0,1,2,3,0)
     8        1:1        1:1       0.998 (49,1,3,0,1,1,3,3,1)
     9        1:1        3:3   +   0.744 (32,2,3,1,1,1,3,3,0)
    10        1:1        1:1       0.999 (45,1,1,0,0,0,2,1,0)
    11        1:1        3:3   +   0.821 (26,2,3,3,1,1,3,4,0)
    12        1:1        2:2   +   0.704 (46,4,4,6,1,1,1,4,0)
    13        1:1        1:1       0.529 (36,2,1,6,1,1,2,3,0)
    14        1:1        1:1       0.868 (23,4,4,0,0,1,2,4,0)
    15        1:1        3:3   +   0.516 (38,2,4,5,0,1,2,2,0)
    16        1:1        3:3   +   0.737 (32,2,2,2,1,1,2,4,0)
    17        1:1        2:2   +   0.803 (37,4,4,2,0,1,1,4,0)
    18        1:1        2:2   +   0.811 (33,4,4,2,0,1,1,4,0)
    19        1:1        2:2   +   0.523 (31,3,4,3,0,0,2,4,0)
    20        1:1        2:2   +   0.606 (34,3,4,4,1,1,1,3,0)
    21        1:1        3:3   +   0.459 (43,3,3,4,1,1,2,4,0)
    22        1:1        1:1       0.609 (27,1,2,4,1,1,1,4,1)
    23        1:1        3:3   +   0.489 (33,4,4,5,1,1,3,4,0)
    24        1:1        3:3   +   0.643 (34,3,3,6,1,1,2,3,0)
    25        1:1        1:1       0.897 (20,4,4,0,0,0,2,4,0)
    26        1:1        2:2   +   0.404 (42,3,3,3,1,0,2,4,0)
    27        1:1        2:2   +   0.638 (40,4,4,3,0,1,3,4,0)
    28        1:1        1:1       0.561 (47,3,2,5,1,1,4,4,0)
    29        1:1        2:2   +   0.464 (31,3,4,2,1,1,1,4,0)
    30        1:1        1:1       0.499 (45,2,3,4,1,0,2,4,0)
    31        1:1        3:3   +   0.771 (22,3,3,2,1,1,2,4,0)
    32        1:1        1:1       0.907 (29,4,2,0,1,0,2,2,0)
    33        1:1        1:1       0.936 (47,1,2,2,1,1,2,3,1)
    34        1:1        1:1       0.598 (21,1,2,1,1,0,3,4,0)
    35        2:2        2:2       0.824 (45,4,4,3,1,1,1,4,0)
    36        2:2        2:2       0.58 (36,3,4,3,0,0,3,4,0)
    37        2:2        3:3   +   0.683 (26,3,4,2,1,1,3,3,0)
    38        2:2        2:2       0.824 (45,4,4,3,1,1,1,4,0)
    39        2:2        2:2       0.612 (29,4,4,2,1,0,1,3,0)
    40        2:2        2:2       0.899 (44,4,4,5,1,1,1,4,0)
    41        2:2        2:2       0.851 (46,4,4,3,0,0,1,4,0)
    42        2:2        2:2       0.627 (38,4,4,4,1,1,2,4,0)
    43        2:2        2:2       0.725 (37,4,4,4,0,1,2,4,0)
    44        2:2        2:2       0.775 (38,4,4,6,1,1,1,4,0)
    45        2:2        2:2       0.794 (36,4,4,4,0,1,2,4,0)
    46        2:2        2:2       0.611 (44,4,4,7,1,1,3,2,0)
    47        2:2        3:3   +   0.496 (23,4,4,1,1,1,3,3,0)
    48        2:2        1:1   +   0.99 (47,1,1,8,1,1,3,4,1)
    49        2:2        3:3   +   0.805 (33,2,2,3,1,1,2,3,0)
    50        2:2        2:2       0.477 (34,4,4,4,1,1,3,3,0)
    51        2:2        3:3   +   0.807 (22,3,3,2,1,1,3,3,0)
    52        2:2        1:1   +   0.702 (36,2,1,6,1,1,2,1,0)
    53        2:2        2:2       0.523 (34,4,4,6,1,1,3,4,0)
    54        2:2        2:2       0.711 (37,4,4,3,1,1,1,4,0)
    55        2:2        2:2       0.634 (34,4,4,4,1,1,2,4,0)
    56        2:2        1:1   +   0.736 (38,2,2,8,1,1,2,2,0)
    57        2:2        2:2       0.859 (48,4,4,7,1,0,1,4,0)
    58        2:2        3:3   +   0.58 (27,3,3,1,1,0,3,4,0)
    59        2:2        2:2       0.782 (36,4,4,3,1,1,1,4,0)
    60        2:2        2:2       0.76 (47,4,4,4,0,1,2,4,0)
    61        2:2        3:3   +   0.445 (24,4,4,2,1,1,2,4,0)
    62        2:2        2:2       0.45 (21,4,4,1,1,1,1,4,0)
    63        2:2        3:3   +   0.633 (33,2,2,6,1,0,3,4,0)
    64        2:2        3:3   +   0.77 (26,3,3,2,1,1,3,2,0)
    65        2:2        3:3   +   0.459 (23,4,4,1,1,1,3,4,0)
    66        2:2        3:3   +   0.613 (30,2,2,7,1,1,3,4,0)
    67        2:2        2:2       0.804 (40,4,4,4,1,1,1,4,0)
    68        3:3        3:3       0.74 (24,2,3,5,1,1,3,3,0)
    69        3:3        3:3       0.627 (24,3,4,4,1,1,3,1,0)
    70        3:3        3:3       0.585 (26,4,4,1,1,1,3,3,0)
    71        3:3        2:2   +   0.49 (26,4,4,4,1,1,3,4,0)
    72        3:3        3:3       0.765 (22,3,3,2,1,1,3,1,0)
    73        3:3        3:3       0.741 (33,2,4,3,1,1,3,4,0)
    74        3:3        3:3       0.572 (35,3,2,9,1,0,3,4,0)
    75        3:3        2:2   +   0.844 (35,4,4,4,1,1,1,4,0)
    76        3:3        2:2   +   0.776 (35,3,4,4,1,0,1,4,0)
    77        3:3        3:3       0.612 (24,3,4,2,1,1,3,3,0)
    78        3:3        3:3       0.575 (27,4,4,4,1,1,3,3,0)
    79        3:3        3:3       0.684 (24,3,3,2,1,1,3,3,0)
    80        3:3        2:2   +   0.854 (44,4,4,4,0,1,2,3,0)
    81        3:3        3:3       0.576 (29,2,4,4,1,0,2,4,0)
    82        3:3        2:2   +   0.686 (35,3,4,5,1,1,1,4,0)
    83        3:3        3:3       0.478 (24,2,4,2,1,1,1,4,0)
    84        3:3        3:3       0.534 (27,2,2,3,1,1,2,2,1)
    85        3:3        2:2   +   0.402 (23,4,4,2,1,0,2,4,0)
    86        3:3        3:3       0.717 (24,2,4,3,1,1,3,3,0)
    87        3:3        3:3       0.504 (28,4,4,4,1,1,3,4,0)
    88        3:3        3:3       0.563 (31,3,3,3,1,1,3,1,1)
    89        3:3        3:3       0.752 (29,1,3,5,1,1,3,3,0)
    90        3:3        2:2   +   0.801 (36,4,4,2,1,0,1,4,0)
    91        3:3        2:2   +   0.791 (36,4,4,3,0,0,2,4,0)
    92        3:3        2:2   +   0.557 (30,4,4,2,1,1,1,4,0)
    93        3:3        2:2   +   0.745 (37,4,4,5,0,0,2,4,0)
    94        3:3        3:3       0.508 (28,4,4,4,1,1,2,3,0)
    95        3:3        3:3       0.806 (29,2,3,3,1,0,3,2,0)
    96        3:3        2:2   +   0.695 (35,4,4,3,0,1,3,4,0)
    97        3:3        2:2   +   0.907 (36,4,4,4,0,1,1,4,0)
    98        3:3        2:2   +   0.782 (36,4,4,3,1,1,1,4,0)
    99        3:3        2:2   +   0.81 (43,4,4,3,1,1,1,4,0)
   100        3:3        2:2   +   0.56 (29,3,4,4,1,0,1,3,0)
   101        3:3        2:2   +   0.81 (43,4,4,3,1,1,1,4,0)
   102        3:3        3:3       0.47 (24,4,4,1,1,1,2,3,0)
   103        3:3        2:2   +   0.675 (36,4,4,3,0,1,3,4,0)
