

=== Predictions under cross-validation ===

 inst#     actual  predicted error prediction (Sequence_Name,mcg,gvh,lip,chg,aac,alm1,alm2)
     1       2:im       2:im       0.529 (PTCC_ECOLI,0.5,0.57,0.48,0.5,0.71,0.61,0.66)
     2       2:im       2:im       0.499 (PTBA_ECOLI,0.51,0.4,0.48,0.5,0.57,0.62,0.67)
     3       2:im       2:im       0.99 (PNTA_ECOLI,0.33,0.37,0.48,0.5,0.46,0.65,0.69)
     4       2:im       1:cp   +   0.494 (EXBB_ECOLI,0.47,0.55,0.48,0.5,0.58,0.71,0.75)
     5       2:im       2:im       0.661 (DHG_ECOLI,0.84,0.44,0.48,0.5,0.48,0.71,0.74)
     6       2:im       2:im       0.986 (KDGL_ECOLI,0.33,0.45,0.48,0.5,0.45,0.88,0.89)
     7       2:im      4:imU   +   0.986 (NHAA_ECOLI,0.89,0.55,0.48,0.5,0.51,0.72,0.76)
     8       2:im       1:cp   +   0.972 (LYSP_ECOLI,0.34,0.51,0.48,0.5,0.67,0.9,0.9)
     9       5:om       5:om       0.494 (OMPT_ECOLI,0.63,0.49,0.48,0.5,0.79,0.45,0.28)
    10       5:om       3:pp   +   0.972 (TOLC_ECOLI,0.71,0.71,0.48,0.5,0.68,0.43,0.36)
    11       1:cp       1:cp       0.473 (PNP_ECOLI,0.36,0.56,0.48,0.5,0.43,0.45,0.53)
    12       1:cp       1:cp       0.99 (PHOB_ECOLI,0.41,0.43,0.48,0.5,0.45,0.31,0.41)
    13       1:cp       1:cp       0.99 (SYR_ECOLI,0.4,0.46,0.48,0.5,0.42,0.35,0.44)
    14       1:cp       1:cp       0.494 (XGPT_ECOLI,0.27,0.42,0.48,0.5,0.37,0.38,0.43)
    15       1:cp       1:cp       0.972 (PTFA_ECOLI,0.34,0.46,0.48,0.5,0.52,0.35,0.44)
    16       1:cp       1:cp       0.384 (RND_ECOLI,0.44,0.49,0.48,0.5,0.39,0.38,0.4)
    17       1:cp       1:cp       0.636 (PTGA_ECOLI,0.4,0.42,0.48,0.5,0.37,0.27,0.27)
    18       1:cp       3:pp   +   0.443 (SOXS_ECOLI,0.32,0.33,0.48,0.5,0.6,0.06,0.2)
    19      4:imU      4:imU       0.972 (GLTS_ECOLI,0.58,0.6,0.48,0.5,0.59,0.73,0.76)
    20      4:imU       2:im   +   0.661 (TYRP_ECOLI,0.86,0.55,0.48,0.5,0.63,0.81,0.83)
    21      4:imU       2:im   +   0.428 (NUPG_ECOLI,0.64,0.45,0.48,0.5,0.67,0.61,0.66)
    22       3:pp       3:pp       0.972 (POTD_ECOLI,0.63,0.8,0.48,0.5,0.46,0.31,0.29)
    23       3:pp       3:pp       0.494 (YTFQ_ECOLI,0.74,0.74,0.48,0.5,0.31,0.53,0.52)
    24       3:pp       3:pp       0.972 (UGPB_ECOLI,0.71,0.57,0.48,0.5,0.48,0.35,0.32)
    25       3:pp       3:pp       0.494 (PPA_ECOLI,0.69,0.59,0.48,0.5,0.46,0.44,0.52)
    26       3:pp       3:pp       0.972 (MALE_ECOLI,0.64,0.84,0.48,0.5,0.37,0.45,0.4)
    27       3:pp       3:pp       0.444 (DGAL_ECOLI,0.63,1,0.48,0.5,0.35,0.51,0.49)
     1       2:im       2:im       0.986 (AROP_ECOLI,0.43,0.4,0.48,0.5,0.58,0.75,0.78)
     2       2:im       2:im       0.972 (PTOA_ECOLI,0.35,0.51,0.48,0.5,0.61,0.71,0.74)
     3       2:im       2:im       0.348 (PTTB_ECOLI,0.31,0.44,0.48,0.5,0.5,0.79,0.82)
     4       2:im       1:cp   +   0.416 (DCTA_ECOLI,0.73,0.36,0.48,0.5,0.53,0.91,0.92)
     5       2:im       2:im       0.972 (FRDD_ECOLI,0.64,0.58,0.48,0.5,0.48,0.78,0.73)
     6       2:im      4:imU   +   0.661 (ATP6_ECOLI,0.27,0.35,0.48,0.5,0.51,0.77,0.79)
     7       2:im       2:im       0.497 (LACY_ECOLI,0.71,0.4,0.48,0.5,0.71,0.7,0.74)
     8       2:im      4:imU   +   0.986 (KGTP_ECOLI,0.45,0.4,0.48,0.5,0.61,0.74,0.77)
     9       5:om       3:pp   +   0.443 (OMPC_ECOLI,0.73,0.84,0.48,0.5,0.86,0.58,0.29)
    10       5:om       3:pp   +   0.384 (TSX_ECOLI,0.68,0.76,0.48,0.5,0.84,0.45,0.27)
    11       1:cp       3:pp   +   0.972 (PTKB_ECOLI,0.64,0.76,0.48,0.5,0.45,0.35,0.38)
    12       1:cp       1:cp       0.972 (RHAR_ECOLI,0.51,0.46,0.48,0.5,0.58,0.31,0.41)
    13       1:cp       1:cp       0.986 (NFRC_ECOLI,0.44,0.51,0.48,0.5,0.47,0.26,0.36)
    14       1:cp       1:cp       0.494 (PTWB_ECOLI,0.57,0.54,0.48,0.5,0.37,0.28,0.33)
    15       1:cp       1:cp       0.99 (SYW_ECOLI,0.39,0.31,0.48,0.5,0.38,0.34,0.43)
    16       1:cp       1:cp       0.416 (SYV_ECOLI,0,0.38,0.48,0.5,0.42,0.48,0.55)
    17       1:cp       1:cp       0.499 (UVRC_ECOLI,0.44,0.35,0.48,0.5,0.44,0.52,0.59)
    18       1:cp       3:pp   +   0.972 (MURF_ECOLI,0.35,0.48,0.48,0.5,0.56,0.4,0.48)
    19      4:imU      4:imU       0.972 (DPPB_ECOLI,0.64,0.46,0.48,0.5,0.48,0.73,0.76)
    20      4:imU       2:im   +   0.494 (CYOE_ECOLI,0.67,0.37,0.48,0.5,0.54,0.64,0.68)
    21      4:imU       2:im   +   0.986 (PTKC_ECOLI,0.73,0.26,0.48,0.5,0.57,0.75,0.78)
    22       3:pp       3:pp       0.494 (DPPA_ECOLI,0.57,0.59,0.48,0.5,0.39,0.47,0.33)
    23       3:pp       5:om   +   0.972 (FIMC_ECOLI,0.63,0.57,0.48,0.5,0.49,0.7,0.2)
    24       3:pp       2:im   +   0.972 (XYLF_ECOLI,0.59,0.61,0.48,0.5,0.42,0.42,0.37)
    25       3:pp       1:cp   +   0.986 (FECR_ECOLI,0.32,0.39,0.48,0.5,0.53,0.28,0.38)
    26       3:pp       2:im   +   0.494 (MODA_ECOLI,0.63,0.65,0.48,0.5,0.39,0.44,0.35)
    27      6:omL       5:om   +   0.494 (SLP_ECOLI,0.68,0.49,1,0.5,0.62,0.55,0.28)
     1       2:im       2:im       0.986 (MTR_ECOLI,0.74,0.7,0.48,0.5,0.66,0.65,0.69)
     2       2:im      4:imU   +   0.972 (ATKB_ECOLI,0.46,0.61,0.48,0.5,0.48,0.86,0.87)
     3       2:im       2:im       0.363 (DSBB_ECOLI,0.5,0.66,0.48,0.5,0.31,0.92,0.92)
     4       2:im       2:im       0.523 (DPPC_ECOLI,0.48,0.41,0.48,0.5,0.51,0.9,0.88)
     5       2:im       2:im       0.333 (EMRB_ECOLI,0.71,0.52,0.48,0.5,0.64,1,0.99)
     6       2:im       2:im       0.494 (LGT_ECOLI,0.5,0.37,0.48,0.5,0.66,0.64,0.69)
     7       2:im       2:im       0.972 (EXBD_ECOLI,0.46,0.59,0.48,0.5,0.36,0.76,0.23)
     8       2:im       2:im       0.986 (NANT_ECOLI,0.2,0.46,0.48,0.5,0.57,0.78,0.81)
     9       5:om       3:pp   +   0.972 (OMPX_ECOLI,0.77,0.57,0.48,0.5,0.88,0.53,0.2)
    10       5:om       2:im   +   0.494 (FHUE_ECOLI,0.6,0.76,1,0.5,0.77,0.59,0.52)
    11       1:cp       1:cp       0.494 (NHAR_ECOLI,0.37,0.5,0.48,0.5,0.42,0.36,0.45)
    12       1:cp       1:cp       0.99 (RIMI_ECOLI,0.24,0.57,0.48,0.5,0.63,0.34,0.43)
    13       1:cp       1:cp       0.331 (SYFA_ECOLI,0.41,0.51,0.48,0.5,0.58,0.2,0.31)
    14       1:cp       1:cp       0.986 (USPA_ECOLI,0.4,0.41,0.48,0.5,0.55,0.22,0.33)
    15       1:cp       1:cp       0.986 (THGA_ECOLI,0.27,0.3,0.48,0.5,0.71,0.28,0.39)
    16       1:cp       1:cp       0.972 (PGK_ECOLI,0.34,0.28,0.48,0.5,0.41,0.35,0.44)
    17       1:cp       1:cp       0.972 (UGPQ_ECOLI,0.26,0.4,0.48,0.5,0.36,0.26,0.37)
    18       1:cp       1:cp       0.375 (PT1_ECOLI,0.52,0.44,0.48,0.5,0.37,0.36,0.42)
    19      4:imU       2:im   +   0.972 (KUP_ECOLI,0.62,0.42,0.48,0.5,0.58,0.79,0.81)
    20      4:imU       2:im   +   0.972 (PNTB_ECOLI,0.81,0.52,0.48,0.5,0.57,0.78,0.8)
    21      4:imU       2:im   +   0.745 (RHAT_ECOLI,0.49,0.61,1,0.5,0.56,0.71,0.74)
    22       3:pp       1:cp   +   0.285 (FECB_ECOLI,0.68,0.82,0.48,0.5,0.38,0.65,0.56)
    23       3:pp       1:cp   +   0.972 (TBPA_ECOLI,0.56,0.54,0.48,0.5,0.43,0.37,0.3)
    24       3:pp       3:pp       0.286 (CYSP_ECOLI,0.67,0.61,0.48,0.5,0.51,0.37,0.38)
    25       3:pp       1:cp   +   0.368 (TOLB_ECOLI,0.69,0.65,0.48,0.5,0.63,0.48,0.41)
    26       3:pp       3:pp       0.277 (MEPA_ECOLI,0.75,0.84,0.48,0.5,0.35,0.52,0.33)
    27      6:omL       3:pp   +   0.307 (MULI_ECOLI,0.77,0.57,1,0.5,0.37,0.54,0.01)
     1       2:im       2:im       0.494 (RODA_ECOLI,0.61,0.66,0.48,0.5,0.46,0.87,0.88)
