

=== Predictions under cross-validation ===

 inst#     actual  predicted error prediction (Sequence_Name,mcg,gvh,lip,chg,aac,alm1,alm2)
     1       2:im       2:im       1 (PTCC_ECOLI,0.5,0.57,0.48,0.5,0.71,0.61,0.66)
     2       2:im       2:im       0.286 (PTBA_ECOLI,0.51,0.4,0.48,0.5,0.57,0.62,0.67)
     3       2:im       2:im       0.667 (PNTA_ECOLI,0.33,0.37,0.48,0.5,0.46,0.65,0.69)
     4       2:im       2:im       0.6 (EXBB_ECOLI,0.47,0.55,0.48,0.5,0.58,0.71,0.75)
     5       2:im       2:im       0.6 (DHG_ECOLI,0.84,0.44,0.48,0.5,0.48,0.71,0.74)
     6       2:im       2:im       1 (KDGL_ECOLI,0.33,0.45,0.48,0.5,0.45,0.88,0.89)
     7       2:im       2:im       0.667 (NHAA_ECOLI,0.89,0.55,0.48,0.5,0.51,0.72,0.76)
     8       2:im       2:im       1 (LYSP_ECOLI,0.34,0.51,0.48,0.5,0.67,0.9,0.9)
     9       5:om       1:cp   +   0.333 (OMPT_ECOLI,0.63,0.49,0.48,0.5,0.79,0.45,0.28)
    10       5:om       2:im   +   0.286 (TOLC_ECOLI,0.71,0.71,0.48,0.5,0.68,0.43,0.36)
    11       1:cp       1:cp       0.333 (PNP_ECOLI,0.36,0.56,0.48,0.5,0.43,0.45,0.53)
    12       1:cp       1:cp       1 (PHOB_ECOLI,0.41,0.43,0.48,0.5,0.45,0.31,0.41)
    13       1:cp       1:cp       1 (SYR_ECOLI,0.4,0.46,0.48,0.5,0.42,0.35,0.44)
    14       1:cp       1:cp       0.333 (XGPT_ECOLI,0.27,0.42,0.48,0.5,0.37,0.38,0.43)
    15       1:cp       1:cp       1 (PTFA_ECOLI,0.34,0.46,0.48,0.5,0.52,0.35,0.44)
    16       1:cp       1:cp       0.333 (RND_ECOLI,0.44,0.49,0.48,0.5,0.39,0.38,0.4)
    17       1:cp       1:cp       1 (PTGA_ECOLI,0.4,0.42,0.48,0.5,0.37,0.27,0.27)
    18       1:cp       2:im   +   0.286 (SOXS_ECOLI,0.32,0.33,0.48,0.5,0.6,0.06,0.2)
    19      4:imU      4:imU       0.75 (GLTS_ECOLI,0.58,0.6,0.48,0.5,0.59,0.73,0.76)
    20      4:imU       2:im   +   0.667 (TYRP_ECOLI,0.86,0.55,0.48,0.5,0.63,0.81,0.83)
    21      4:imU       2:im   +   1 (NUPG_ECOLI,0.64,0.45,0.48,0.5,0.67,0.61,0.66)
    22       3:pp       1:cp   +   1 (POTD_ECOLI,0.63,0.8,0.48,0.5,0.46,0.31,0.29)
    23       3:pp       5:om   +   1 (YTFQ_ECOLI,0.74,0.74,0.48,0.5,0.31,0.53,0.52)
    24       3:pp       1:cp   +   1 (UGPB_ECOLI,0.71,0.57,0.48,0.5,0.48,0.35,0.32)
    25       3:pp       3:pp       0.667 (PPA_ECOLI,0.69,0.59,0.48,0.5,0.46,0.44,0.52)
    26       3:pp       1:cp   +   0.333 (MALE_ECOLI,0.64,0.84,0.48,0.5,0.37,0.45,0.4)
    27       3:pp       3:pp       1 (DGAL_ECOLI,0.63,1,0.48,0.5,0.35,0.51,0.49)
     1       2:im       2:im       0.667 (AROP_ECOLI,0.43,0.4,0.48,0.5,0.58,0.75,0.78)
     2       2:im       2:im       0.667 (PTOA_ECOLI,0.35,0.51,0.48,0.5,0.61,0.71,0.74)
     3       2:im       2:im       0.75 (PTTB_ECOLI,0.31,0.44,0.48,0.5,0.5,0.79,0.82)
     4       2:im       2:im       0.286 (DCTA_ECOLI,0.73,0.36,0.48,0.5,0.53,0.91,0.92)
     5       2:im       2:im       0.625 (FRDD_ECOLI,0.64,0.58,0.48,0.5,0.48,0.78,0.73)
     6       2:im      4:imU   +   0.6 (ATP6_ECOLI,0.27,0.35,0.48,0.5,0.51,0.77,0.79)
     7       2:im       2:im       0.5 (LACY_ECOLI,0.71,0.4,0.48,0.5,0.71,0.7,0.74)
     8       2:im      4:imU   +   1 (KGTP_ECOLI,0.45,0.4,0.48,0.5,0.61,0.74,0.77)
     9       5:om       2:im   +   0.5 (OMPC_ECOLI,0.73,0.84,0.48,0.5,0.86,0.58,0.29)
    10       5:om       1:cp   +   0.4 (TSX_ECOLI,0.68,0.76,0.48,0.5,0.84,0.45,0.27)
    11       1:cp       1:cp       0.8 (PTKB_ECOLI,0.64,0.76,0.48,0.5,0.45,0.35,0.38)
    12       1:cp       1:cp       0.667 (RHAR_ECOLI,0.51,0.46,0.48,0.5,0.58,0.31,0.41)
    13       1:cp       1:cp       1 (NFRC_ECOLI,0.44,0.51,0.48,0.5,0.47,0.26,0.36)
    14       1:cp       1:cp       1 (PTWB_ECOLI,0.57,0.54,0.48,0.5,0.37,0.28,0.33)
    15       1:cp       1:cp       1 (SYW_ECOLI,0.39,0.31,0.48,0.5,0.38,0.34,0.43)
    16       1:cp       3:pp   +   1 (SYV_ECOLI,0,0.38,0.48,0.5,0.42,0.48,0.55)
    17       1:cp       3:pp   +   0.667 (UVRC_ECOLI,0.44,0.35,0.48,0.5,0.44,0.52,0.59)
    18       1:cp       3:pp   +   0.6 (MURF_ECOLI,0.35,0.48,0.48,0.5,0.56,0.4,0.48)
    19      4:imU      4:imU       0.75 (DPPB_ECOLI,0.64,0.46,0.48,0.5,0.48,0.73,0.76)
    20      4:imU       2:im   +   1 (CYOE_ECOLI,0.67,0.37,0.48,0.5,0.54,0.64,0.68)
    21      4:imU       2:im   +   0.667 (PTKC_ECOLI,0.73,0.26,0.48,0.5,0.57,0.75,0.78)
    22       3:pp       3:pp       0.5 (DPPA_ECOLI,0.57,0.59,0.48,0.5,0.39,0.47,0.33)
    23       3:pp       2:im   +   0.5 (FIMC_ECOLI,0.63,0.57,0.48,0.5,0.49,0.7,0.2)
    24       3:pp       1:cp   +   0.5 (XYLF_ECOLI,0.59,0.61,0.48,0.5,0.42,0.42,0.37)
    25       3:pp       1:cp   +   1 (FECR_ECOLI,0.32,0.39,0.48,0.5,0.53,0.28,0.38)
    26       3:pp       3:pp       0.667 (MODA_ECOLI,0.63,0.65,0.48,0.5,0.39,0.44,0.35)
    27      6:omL       3:pp   +   1 (SLP_ECOLI,0.68,0.49,1,0.5,0.62,0.55,0.28)
     1       2:im       2:im       1 (MTR_ECOLI,0.74,0.7,0.48,0.5,0.66,0.65,0.69)
     2       2:im       2:im       0.5 (ATKB_ECOLI,0.46,0.61,0.48,0.5,0.48,0.86,0.87)
     3       2:im       2:im       0.5 (DSBB_ECOLI,0.5,0.66,0.48,0.5,0.31,0.92,0.92)
     4       2:im       2:im       1 (DPPC_ECOLI,0.48,0.41,0.48,0.5,0.51,0.9,0.88)
     5       2:im       2:im       0.286 (EMRB_ECOLI,0.71,0.52,0.48,0.5,0.64,1,0.99)
     6       2:im      4:imU   +   1 (LGT_ECOLI,0.5,0.37,0.48,0.5,0.66,0.64,0.69)
     7       2:im       2:im       0.625 (EXBD_ECOLI,0.46,0.59,0.48,0.5,0.36,0.76,0.23)
     8       2:im       2:im       0.714 (NANT_ECOLI,0.2,0.46,0.48,0.5,0.57,0.78,0.81)
     9       5:om       3:pp   +   0.5 (OMPX_ECOLI,0.77,0.57,0.48,0.5,0.88,0.53,0.2)
    10       5:om      4:imU   +   0.5 (FHUE_ECOLI,0.6,0.76,1,0.5,0.77,0.59,0.52)
    11       1:cp       3:pp   +   0.667 (NHAR_ECOLI,0.37,0.5,0.48,0.5,0.42,0.36,0.45)
    12       1:cp       1:cp       1 (RIMI_ECOLI,0.24,0.57,0.48,0.5,0.63,0.34,0.43)
    13       1:cp       1:cp       1 (SYFA_ECOLI,0.41,0.51,0.48,0.5,0.58,0.2,0.31)
    14       1:cp       1:cp       1 (USPA_ECOLI,0.4,0.41,0.48,0.5,0.55,0.22,0.33)
    15       1:cp       1:cp       0.75 (THGA_ECOLI,0.27,0.3,0.48,0.5,0.71,0.28,0.39)
    16       1:cp       1:cp       0.8 (PGK_ECOLI,0.34,0.28,0.48,0.5,0.41,0.35,0.44)
    17       1:cp       1:cp       1 (UGPQ_ECOLI,0.26,0.4,0.48,0.5,0.36,0.26,0.37)
    18       1:cp       3:pp   +   0.667 (PT1_ECOLI,0.52,0.44,0.48,0.5,0.37,0.36,0.42)
    19      4:imU       2:im   +   1 (KUP_ECOLI,0.62,0.42,0.48,0.5,0.58,0.79,0.81)
    20      4:imU       2:im   +   0.714 (PNTB_ECOLI,0.81,0.52,0.48,0.5,0.57,0.78,0.8)
    21      4:imU       2:im   +   0.833 (RHAT_ECOLI,0.49,0.61,1,0.5,0.56,0.71,0.74)
    22       3:pp       2:im   +   1 (FECB_ECOLI,0.68,0.82,0.48,0.5,0.38,0.65,0.56)
    23       3:pp       1:cp   +   1 (TBPA_ECOLI,0.56,0.54,0.48,0.5,0.43,0.37,0.3)
    24       3:pp       1:cp   +   1 (CYSP_ECOLI,0.67,0.61,0.48,0.5,0.51,0.37,0.38)
    25       3:pp       1:cp   +   1 (TOLB_ECOLI,0.69,0.65,0.48,0.5,0.63,0.48,0.41)
    26       3:pp       1:cp   +   0.333 (MEPA_ECOLI,0.75,0.84,0.48,0.5,0.35,0.52,0.33)
    27      6:omL       3:pp   +   0.5 (MULI_ECOLI,0.77,0.57,1,0.5,0.37,0.54,0.01)
     1       2:im       2:im       0.667 (RODA_ECOLI,0.61,0.66,0.48,0.5,0.46,0.87,0.88)
     2       2:im       2:im       0.5 (EMRA_ECOLI,0.06,0.61,0.48,0.5,0.49,0.92,0.37)
     3       2:im       2:im       0.5 (MOTB_ECOLI,0.3,0.51,0.48,0.5,0.42,0.61,0.34)
     4       2:im       2:im       0.286 (PTHB_ECOLI,0.36,0.47,0.48,0.5,0.51,0.69,0.72)
     5       2:im       3:pp   +   0.714 (MSBB_ECOLI,0.16,0.51,0.48,0.5,0.33,0.39,0.48)
     6       2:im       2:im       0.667 (BETT_ECOLI,0.52,0.39,0.48,0.5,0.65,0.71,0.73)
     7       2:im       2:im       1 (GLTP_ECOLI,0.74,0.44,0.48,0.5,0.55,0.88,0.89)
     8       2:im       2:im       0.625 (FRDC_ECOLI,0.33,0.56,0.48,0.5,0.33,0.78,0.8)
     9       5:om       1:cp   +   0.333 (FADL_ECOLI,0.78,0.68,0.48,0.5,0.83,0.4,0.29)
    10       5:om       3:pp   +   0.5 (OMPA_ECOLI,0.74,0.9,0.48,0.5,0.57,0.53,0.29)
    11       1:cp       1:cp       0.667 (OMPR_ECOLI,0.24,0.43,0.48,0.5,0.37,0.28,0.38)
    12       1:cp       1:cp       0.667 (PTKA_ECOLI,0.31,0.47,0.48,0.5,0.29,0.28,0.39)
    13       1:cp       1:cp       1 (SYFB_ECOLI,0.34,0.42,0.48,0.5,0.41,0.34,0.43)
    14       1:cp       1:cp       0.5 (THIK_ECOLI,0.17,0.52,0.48,0.5,0.49,0.37,0.46)
    15       1:cp       1:cp       1 (SYL_ECOLI,0.04,0.31,0.48,0.5,0.41,0.29,0.39)
    16       1:cp       3:pp   +   1 (PEPE_ECOLI,0.41,0.48,0.48,0.5,0.51,0.44,0.51)
    17       1:cp       1:cp       1 (SYD_ECOLI,0.38,0.3,0.48,0.5,0.43,0.29,0.39)
    18       1:cp       3:pp   +   0.6 (PROB_ECOLI,0.4,0.46,0.48,0.5,0.52,0.49,0.56)
    19      4:imU       2:im   +   0.75 (CADB_ECOLI,0.83,0.48,0.48,0.5,0.65,0.76,0.79)
    20      4:imU       2:im   +   1 (TEHA_ECOLI,0.63,0.51,0.48,0.5,0.64,0.72,0.76)
    21      4:imU       2:im   +   0.6 (CYDB_ECOLI,0.75,0.37,0.48,0.5,0.64,0.7,0.74)
    22       3:pp       1:cp   +   0.333 (SPEA_ECOLI,0.29,0.39,0.48,0.5,0.52,0.4,0.48)
    23       3:pp       3:pp       0.6 (GGT_ECOLI,0.74,0.82,0.48,0.5,0.49,0.49,0.41)
    24       3:pp       3:pp       0.714 (GLPQ_ECOLI,0.63,0.83,0.48,0.5,0.4,0.39,0.19)
    25       3:pp       1:cp   +   0.333 (PPB_ECOLI,0.68,0.67,0.48,0.5,0.49,0.4,0.34)
    26       3:pp       5:om   +   0.5 (DSBA_ECOLI,0.71,0.71,0.48,0.5,0.4,0.54,0.39)
    27      6:omL       2:im   +   0.286 (NLPB_ECOLI,0.66,0.49,1,0.5,0.54,0.56,0.36)
     1       2:im       2:im       0.571 (PTFB_ECOLI,0.37,0.47,0.48,0.5,0.39,0.76,0.79)
     2       2:im       2:im       0.8 (LNT_ECOLI,0.6,0.61,0.48,0.5,0.54,0.67,0.71)
     3       2:im       2:im       0.571 (GABP_ECOLI,0.47,0.59,0.48,0.5,0.52,0.76,0.79)
     4       2:im       2:im       0.5 (MCP3_ECOLI,0.6,0.5,1,0.5,0.54,0.77,0.8)
     5       2:im       2:im       0.667 (DHSD_ECOLI,0.54,0.49,0.48,0.5,0.4,0.87,0.88)
     6       2:im       2:im       0.5 (SECE_ECOLI,0.48,0.49,0.48,0.5,0.52,0.77,0.71)
     7       2:im      4:imU   +   0.667 (PTDA_ECOLI,0.6,0.46,0.48,0.5,0.45,0.81,0.83)
     8       2:im       2:im       0.5 (ENVZ_ECOLI,0.72,0.46,0.48,0.5,0.51,0.66,0.7)
     9       5:om       1:cp   +   0.75 (FECA_ECOLI,0.52,0.81,0.48,0.5,0.72,0.38,0.38)
