

=== Predictions under cross-validation ===

 inst#     actual  predicted error prediction (top-left-square,top-middle-square,top-right-square,middle-left-square,middle-middle-square,middle-right-square,bottom-left-square,bottom-middle-square,bottom-right-square)
     1 2:negative 2:negative       1 (b,o,x,x,o,x,b,o,b)
     2 2:negative 2:negative       1 (o,o,o,b,x,x,x,o,x)
     3 2:negative 2:negative       1 (o,x,x,o,o,b,x,x,o)
     4 2:negative 2:negative       0.714 (b,x,o,x,o,x,o,o,x)
     5 2:negative 2:negative       1 (b,x,x,o,o,o,b,x,b)
     6 2:negative 2:negative       1 (b,x,x,x,o,x,o,o,o)
     7 2:negative 2:negative       1 (o,x,o,x,x,o,x,b,o)
     8 2:negative 2:negative       1 (x,x,o,x,b,o,b,b,o)
     9 2:negative 2:negative       1 (o,o,o,x,x,b,b,b,x)
    10 2:negative 2:negative       0.8 (x,b,x,x,x,o,o,o,o)
    11 2:negative 2:negative       1 (o,x,x,x,o,b,x,o,o)
    12 2:negative 2:negative       1 (o,x,x,x,o,x,o,b,o)
    13 2:negative 2:negative       0.833 (o,x,b,o,o,x,o,x,x)
    14 2:negative 2:negative       1 (x,b,x,o,x,x,o,o,o)
    15 2:negative 2:negative       1 (o,o,x,x,o,x,x,o,b)
    16 2:negative 2:negative       1 (b,b,x,o,o,o,x,b,x)
    17 2:negative 2:negative       1 (o,x,o,x,o,x,o,x,b)
    18 2:negative 2:negative       1 (o,x,x,b,o,b,b,x,o)
    19 2:negative 1:positive   +   1 (b,x,o,o,o,x,o,x,x)
    20 2:negative 2:negative       1 (o,x,o,x,o,b,x,x,o)
    21 2:negative 1:positive   +   1 (o,b,o,o,x,x,o,x,x)
    22 2:negative 2:negative       1 (o,x,x,o,x,x,o,b,o)
    23 2:negative 2:negative       1 (o,b,x,b,o,x,x,b,o)
    24 2:negative 2:negative       1 (o,x,b,o,b,b,o,x,x)
    25 2:negative 2:negative       0.857 (b,b,o,x,b,o,x,x,o)
    26 2:negative 2:negative       1 (x,b,o,o,x,o,x,x,o)
    27 2:negative 2:negative       0.857 (x,x,o,b,b,o,x,b,o)
    28 2:negative 1:positive   +   0.75 (o,x,x,x,o,o,x,o,x)
