

=== Predictions under cross-validation ===

 inst#     actual  predicted error prediction (top-left-square,top-middle-square,top-right-square,middle-left-square,middle-middle-square,middle-right-square,bottom-left-square,bottom-middle-square,bottom-right-square)
     1 2:negative 1:positive   +   0.541 (b,o,x,x,o,x,b,o,b)
     2 2:negative 1:positive   +   0.832 (o,o,o,b,x,x,x,o,x)
     3 2:negative 2:negative       0.752 (o,x,x,o,o,b,x,x,o)
     4 2:negative 2:negative       0.816 (b,x,o,x,o,x,o,o,x)
     5 2:negative 2:negative       0.581 (b,x,x,o,o,o,b,x,b)
     6 2:negative 2:negative       0.832 (b,x,x,x,o,x,o,o,o)
     7 2:negative 2:negative       0.519 (o,x,o,x,x,o,x,b,o)
     8 2:negative 2:negative       0.828 (x,x,o,x,b,o,b,b,o)
     9 2:negative 1:positive   +   0.764 (o,o,o,x,x,b,b,b,x)
    10 2:negative 1:positive   +   0.591 (x,b,x,x,x,o,o,o,o)
    11 2:negative 2:negative       0.771 (o,x,x,x,o,b,x,o,o)
    12 2:negative 2:negative       0.897 (o,x,x,x,o,x,o,b,o)
    13 2:negative 2:negative       0.757 (o,x,b,o,o,x,o,x,x)
    14 2:negative 1:positive   +   0.647 (x,b,x,o,x,x,o,o,o)
    15 2:negative 2:negative       0.54 (o,o,x,x,o,x,x,o,b)
    16 2:negative 1:positive   +   0.808 (b,b,x,o,o,o,x,b,x)
    17 2:negative 2:negative       0.926 (o,x,o,x,o,x,o,x,b)
    18 2:negative 2:negative       0.793 (o,x,x,b,o,b,b,x,o)
    19 2:negative 2:negative       0.8 (b,x,o,o,o,x,o,x,x)
    20 2:negative 2:negative       0.889 (o,x,o,x,o,b,x,x,o)
    21 2:negative 1:positive   +   0.729 (o,b,o,o,x,x,o,x,x)
    22 2:negative 1:positive   +   0.5 (o,x,x,o,x,x,o,b,o)
    23 2:negative 1:positive   +   0.508 (o,b,x,b,o,x,x,b,o)
    24 2:negative 1:positive   +   0.506 (o,x,b,o,b,b,o,x,x)
    25 2:negative 1:positive   +   0.635 (b,b,o,x,b,o,x,x,o)
    26 2:negative 1:positive   +   0.653 (x,b,o,o,x,o,x,x,o)
    27 2:negative 2:negative       0.742 (x,x,o,b,b,o,x,b,o)
    28 2:negative 2:negative       0.618 (o,x,x,x,o,o,x,o,x)
    29 2:negative 2:negative       0.619 (o,b,x,x,o,x,b,b,o)
    30 2:negative 2:negative       0.661 (o,o,x,x,o,x,x,b,o)
    31 2:negative 2:negative       0.559 (x,o,x,b,o,b,x,o,b)
    32 2:negative 2:negative       0.626 (x,x,b,o,o,o,x,o,x)
    33 2:negative 2:negative       0.726 (o,o,o,x,o,x,b,x,x)
    34 2:negative 2:negative       0.575 (x,o,o,x,x,o,b,x,o)
    35 1:positive 2:negative   +   0.75 (o,x,x,b,o,x,o,b,x)
    36 1:positive 1:positive       0.866 (o,b,o,b,x,o,x,x,x)
    37 1:positive 1:positive       0.547 (o,x,b,x,x,o,o,x,b)
    38 1:positive 1:positive       0.867 (o,o,b,x,x,x,b,o,x)
    39 1:positive 1:positive       0.869 (b,o,x,o,b,o,x,x,x)
    40 1:positive 1:positive       0.758 (b,x,b,b,x,o,b,x,o)
    41 1:positive 2:negative   +   0.526 (b,o,o,x,o,b,x,x,x)
    42 1:positive 1:positive       0.807 (o,x,x,o,x,b,x,o,b)
    43 1:positive 2:negative   +   0.564 (x,b,o,x,b,b,x,b,o)
    44 1:positive 1:positive       0.814 (b,b,o,x,x,x,x,o,o)
    45 1:positive 1:positive       0.626 (o,b,b,x,o,o,x,x,x)
    46 1:positive 1:positive       0.887 (b,o,o,o,x,b,x,x,x)
    47 1:positive 1:positive       0.871 (o,b,b,o,b,b,x,x,x)
    48 1:positive 1:positive       0.812 (x,o,b,x,x,o,b,o,x)
    49 1:positive 1:positive       0.606 (o,x,b,x,x,x,b,o,o)
    50 1:positive 1:positive       0.875 (b,x,x,o,x,o,x,o,b)
    51 1:positive 1:positive       0.91 (o,o,x,b,x,o,x,b,x)
    52 1:positive 2:negative   +   0.515 (b,x,o,x,x,o,o,x,b)
    53 1:positive 1:positive       0.799 (o,x,x,b,x,o,x,o,b)
    54 1:positive 1:positive       0.838 (o,b,x,b,b,x,b,o,x)
    55 1:positive 1:positive       0.765 (x,b,o,o,x,o,b,x,x)
    56 1:positive 1:positive       0.679 (o,b,b,o,o,x,x,x,x)
    57 1:positive 1:positive       0.572 (b,x,o,o,x,x,b,x,o)
    58 1:positive 1:positive       0.714 (o,b,o,x,x,x,x,b,o)
    59 1:positive 1:positive       0.643 (o,x,x,o,b,x,b,o,x)
    60 1:positive 1:positive       0.614 (o,x,x,b,x,o,b,x,o)
    61 1:positive 1:positive       0.645 (b,b,o,b,o,b,x,x,x)
    62 1:positive 1:positive       0.92 (o,b,x,b,x,o,x,b,b)
    63 1:positive 1:positive       0.635 (x,b,o,x,x,b,x,o,o)
    64 1:positive 1:positive       0.539 (o,o,x,x,x,x,o,x,o)
    65 1:positive 1:positive       0.832 (x,b,b,o,x,b,o,b,x)
    66 1:positive 2:negative   +   0.514 (x,b,b,x,o,o,x,b,b)
    67 1:positive 1:positive       0.93 (b,o,x,b,x,o,x,b,b)
    68 1:positive 1:positive       0.917 (x,b,b,o,x,o,x,o,x)
    69 1:positive 1:positive       0.73 (x,o,b,o,b,o,x,x,x)
    70 1:positive 1:positive       0.942 (o,b,x,o,x,b,x,o,x)
    71 1:positive 1:positive       0.906 (o,b,x,o,x,o,x,x,b)
    72 1:positive 1:positive       0.944 (b,o,b,o,x,o,x,x,x)
    73 1:positive 1:positive       0.884 (b,o,x,b,x,x,x,o,o)
    74 1:positive 2:negative   +   0.657 (x,o,b,x,o,o,x,x,b)
    75 1:positive 1:positive       0.831 (x,b,o,b,x,o,x,o,x)
    76 1:positive 2:negative   +   0.618 (o,x,x,o,o,x,b,b,x)
    77 1:positive 1:positive       0.742 (b,o,o,x,x,x,x,b,o)
     1 2:negative 2:negative       0.894 (x,x,o,b,o,o,x,x,o)
     2 2:negative 2:negative       0.625 (o,b,x,b,o,x,b,x,o)
     3 2:negative 2:negative       0.718 (o,o,x,x,o,b,x,x,o)
     4 2:negative 1:positive   +   0.709 (o,b,o,x,x,o,x,x,o)
     5 2:negative 1:positive   +   0.727 (o,x,b,o,x,b,o,b,x)
     6 2:negative 2:negative       0.795 (b,x,o,x,o,b,o,b,x)
     7 2:negative 1:positive   +   0.637 (o,o,o,b,x,x,x,x,o)
     8 2:negative 2:negative       0.82 (o,x,x,b,o,x,b,b,o)
     9 2:negative 1:positive   +   0.622 (o,x,x,x,x,o,o,o,x)
    10 2:negative 2:negative       0.759 (o,x,x,o,o,b,o,x,x)
    11 2:negative 1:positive   +   0.581 (o,o,o,x,x,b,x,x,o)
    12 2:negative 2:negative       0.91 (x,x,o,o,o,x,x,x,o)
    13 2:negative 2:negative       0.569 (o,b,b,x,o,x,x,b,o)
    14 2:negative 2:negative       0.753 (o,b,o,x,o,x,o,x,x)
    15 2:negative 2:negative       0.615 (b,x,x,o,o,o,x,x,o)
    16 2:negative 2:negative       0.587 (b,b,o,x,o,b,o,x,x)
    17 2:negative 2:negative       0.755 (o,x,x,o,b,x,o,x,o)
    18 2:negative 1:positive   +   0.869 (b,b,o,b,x,o,x,x,o)
    19 2:negative 2:negative       0.589 (b,b,o,x,o,x,o,b,x)
    20 2:negative 2:negative       0.841 (x,o,o,b,o,x,o,x,x)
    21 2:negative 2:negative       0.839 (o,x,x,o,o,x,o,x,b)
    22 2:negative 1:positive   +   0.584 (x,o,o,b,x,o,x,x,o)
    23 2:negative 2:negative       0.867 (o,x,x,x,o,x,b,o,o)
    24 2:negative 1:positive   +   0.825 (b,b,x,b,x,x,o,o,o)
    25 2:negative 2:negative       0.781 (o,x,o,x,o,x,x,o,x)
    26 2:negative 2:negative       0.573 (b,x,o,x,b,o,x,b,o)
    27 2:negative 2:negative       0.502 (o,x,x,o,b,b,o,b,x)
    28 2:negative 2:negative       0.787 (x,x,o,o,o,x,x,o,x)
    29 2:negative 2:negative       0.792 (x,b,o,x,o,o,o,x,x)
    30 2:negative 2:negative       0.807 (b,x,o,x,o,o,x,x,o)
    31 2:negative 2:negative       0.553 (x,b,x,o,o,o,b,x,b)
    32 2:negative 2:negative       0.5 (b,o,o,x,o,x,x,o,x)
    33 2:negative 2:negative       0.61 (o,x,x,x,x,b,o,o,o)
    34 2:negative 2:negative       0.945 (x,x,o,x,o,o,o,x,b)
    35 1:positive 1:positive       0.795 (b,o,b,x,x,x,o,b,b)
    36 1:positive 1:positive       0.609 (x,b,b,x,b,b,x,o,o)
    37 1:positive 1:positive       0.822 (x,b,x,b,x,o,x,o,o)
    38 1:positive 1:positive       0.561 (b,x,o,o,x,x,o,x,b)
    39 1:positive 1:positive       0.891 (x,o,b,o,x,o,x,b,x)
    40 1:positive 1:positive       0.654 (o,o,b,x,x,x,b,x,o)
    41 1:positive 2:negative   +   0.521 (o,x,b,b,o,o,x,x,x)
    42 1:positive 1:positive       0.826 (o,b,b,x,x,x,x,o,o)
    43 1:positive 1:positive       0.712 (o,x,b,b,x,o,o,x,x)
    44 1:positive 1:positive       0.857 (o,o,x,o,x,b,x,x,b)
    45 1:positive 2:negative   +   0.823 (o,x,x,x,o,x,o,o,x)
    46 1:positive 1:positive       0.775 (o,b,o,b,b,b,x,x,x)
    47 1:positive 1:positive       0.906 (b,o,o,b,x,o,x,x,x)
    48 1:positive 1:positive       0.926 (b,b,x,o,x,b,x,b,o)
    49 1:positive 1:positive       0.575 (o,o,x,b,o,b,x,x,x)
    50 1:positive 1:positive       0.676 (b,o,b,x,x,x,o,x,o)
    51 1:positive 2:negative   +   0.669 (x,b,b,x,o,x,x,o,o)
    52 1:positive 2:negative   +   0.576 (o,x,o,x,x,x,x,o,o)
    53 1:positive 2:negative   +   0.721 (x,b,o,x,o,x,x,o,b)
    54 1:positive 1:positive       0.846 (x,o,b,b,x,b,b,o,x)
    55 1:positive 1:positive       0.907 (o,o,x,o,x,b,x,b,x)
    56 1:positive 1:positive       0.514 (o,x,o,b,x,b,x,x,o)
    57 1:positive 1:positive       0.855 (o,b,x,o,x,b,x,x,o)
    58 1:positive 2:negative   +   0.657 (o,x,o,x,x,b,o,x,b)
    59 1:positive 1:positive       0.617 (o,b,x,b,o,x,b,b,x)
    60 1:positive 2:negative   +   0.525 (x,o,b,x,b,o,x,x,o)
