

=== Predictions on training data ===

 inst#     actual  predicted error prediction (Hair,Feathers,Eggs,Milk,Airborne,Aquatic,Predator,Toothed,Backbone,Breathes,Venomous,Fins,Legs,Tail,Domestic,Catsize,Type)
     1 1:aardvark     3:bear   +   0.382 (1,0,0,1,0,0,1,1,1,1,0,0,4,0,0,1,1)
     2 2:antelope     9:deer   +   0.124 (1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1)
     3    67:bass 73:herring   +   0.155 (0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4)
     4     3:bear     3:bear       0.382 (1,0,0,1,0,0,1,1,1,1,0,0,4,0,0,1,1)
     5     4:boar 33:raccoon   +   0.077 (1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1)
     6  5:buffalo     9:deer   +   0.124 (1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1)
     7     6:calf 34:reindee   +   0.22 (1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,1)
     8    68:carp    68:carp       0.736 (0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,0,4)
     9 69:catfish 73:herring   +   0.155 (0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4)
    10     7:cavy     7:cavy       0.677 (1,0,0,1,0,0,0,1,1,1,0,0,4,0,1,0,1)
    11  8:cheetah 33:raccoon   +   0.077 (1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1)
    12 42:chicken 52:parakee   +   0.284 (0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,2)
    13    70:chub 73:herring   +   0.155 (0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4)
    14    91:clam    91:clam       0.634 (0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,7)
    15    92:crab    92:crab       0.693 (0,0,1,0,0,1,1,0,0,0,0,0,4,0,0,0,7)
    16 93:crayfis 94:lobster   +   0.374 (0,0,1,0,0,1,1,0,0,0,0,0,6,0,0,0,7)
    17    43:crow    48:hawk   +   0.34 (0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,0,2)
    18     9:deer     9:deer       0.124 (1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1)
    19 71:dogfish 71:dogfish       0.286 (0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,4)
    20 10:dolphin 30:porpois   +   0.33 (0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1,1)
    21    44:dove 52:parakee   +   0.284 (0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,2)
    22    45:duck    45:duck       0.557 (0,1,1,0,1,1,0,0,1,1,0,0,2,1,0,0,2)
    23 11:elephan     9:deer   +   0.124 (1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1)
    24 46:flaming 46:flaming       0.614 (0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,1,2)
    25    83:flea    83:flea       0.337 (0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0,6)
    26    80:frog    80:frog       0.774 (0,0,1,0,0,1,1,1,1,1,0,0,4,0,0,0,5)
    27    80:frog    80:frog       0.886 (0,0,1,0,0,1,1,1,1,1,1,0,4,0,0,0,5)
    28 12:fruitba 12:fruitba       0.375 (1,0,0,1,1,0,0,1,1,1,0,0,2,1,0,0,1)
