NN1 Output,NN1 Answer,NN2 Output,NN2 Answer,NN3 Output,NN3 Answer
0.749454309,0.2,0.748763069,0.251213246,0.750070219,0.8
0.806128537,0.2,0.806821187,0.251213246,0.821391751,0.8
0.815263176,0.2,0.815811162,0.251213246,0.827966679,0.8
0.809361574,0.2,0.809913869,0.251213246,0.822105758,0.8
0.798511954,0.2,0.79914161,0.251213246,0.812113732,0.8
0.785553154,0.2,0.786290597,0.251213246,0.80032145,0.8
0.771358569,0.2,0.772219629,0.251213246,0.787437713,0.8
0.75623747,0.2,0.757232307,0.251213246,0.773709984,0.8
0.740349245,0.2,0.741484766,0.251213246,0.759264017,0.8
0.723829639,0.2,0.725109894,0.251213246,0.744207605,0.8
0.706827786,0.2,0.708253839,0.251213246,0.728661663,0.8
0.689513537,0.2,0.691083331,0.251213246,0.712767145,0.8
0.672073508,0.2,0.673781916,0.251213246,0.696682598,0.8
0.654702183,0.2,0.656541299,0.251213246,0.680577334,0.8
0.637591046,0.2,0.639550702,0.251213246,0.664622501,0.8
0.620917816,0.2,0.622986238,0.251213246,0.648981647,0.8
0.604837369,0.2,0.607001897,0.251213246,0.633802198,0.8
0.589475463,0.2,0.591723236,0.251213246,0.619208915,0.8
0.574925706,0.2,0.577244236,0.251213246,0.605299936,0.8
0.561249582,0.2,0.563627197,0.251213246,0.592145507,0.8
0.548478953,0.2,0.550905073,0.251213246,0.579789043,0.8
0.536620163,0.2,0.539085453,0.251213246,0.568249909,0.8
0.525658946,0.2,0.528155345,0.251213246,0.557527221,0.8
0.515565416,0.2,0.518086094,0.251213246,0.54760403,0.8
0.506298691,0.2,0.508837954,0.251213246,0.538451406,0.8
0.497810853,0.2,0.500364016,0.251213246,0.530032106,0.8
0.490050159,0.2,0.492613419,0.251213246,0.522303671,0.8
0.482963512,0.2,0.48553381,0.251213246,0.515220901,0.8
0.476498258,0.2,0.479073167,0.251213246,0.508737747,0.8
0.470603445,0.2,0.473181054,0.251213246,0.502808697,0.8
0.465230628,0.2,0.467809451,0.251213246,0.497389734,0.8
0.460334348,0.2,0.462913247,0.251213246,0.492438957,0.8
0.455872366,0.2,0.458450479,0.251213246,0.487916957,0.8
0.45180572,0.2,0.454382409,0.251213246,0.483786999,0.8
0.448098668,0.2,0.450673473,0.251213246,0.480015072,0.8
0.444718556,0.2,0.447291155,0.251213246,0.476569852,0.8
0.441635636,0.2,0.444205819,0.251213246,0.473422596,0.8
0.438822868,0.2,0.44139051,0.251213246,0.47054701,0.8
0.436255708,0.2,0.438820751,0.251213246,0.467919088,0.8
0.433911898,0.2,0.436474334,0.251213246,0.465516947,0.8
0.431771264,0.2,0.434331123,0.251213246,0.46332066,0.8
0.429815526,0.2,0.432372866,0.251213246,0.461312093,0.8
0.428028117,0.2,0.430583019,0.251213246,0.45947475,0.8
0.426394025,0.2,0.428946581,0.251213246,0.457793628,0.8
0.424899638,0.2,0.427449951,0.251213246,0.456255081,0.8
0.42353261,0.2,0.426080789,0.251213246,0.454846696,0.8
0.422281739,0.2,0.424827895,0.251213246,0.453557181,0.8
0.421136853,0.2,0.423681098,0.251213246,0.452376256,0.8
0.420088714,0.2,0.422631157,0.251213246,0.451294564,0.8
0.419128922,0.2,0.421669672,0.251213246,0.45030358,0.8
0.41824984,0.2,0.420789001,0.251213246,0.449395539,0.8
0.417444517,0.2,0.419982189,0.251213246,0.448563363,0.8
0.416706624,0.2,0.419242904,0.251213246,0.447800594,0.8
0.416030398,0.2,0.418565376,0.251213246,0.447101344,0.8
0.415410582,0.2,0.417944345,0.251213246,0.446460237,0.8
0.414842385,0.2,0.417375015,0.251213246,0.445872366,0.8
0.414321435,0.2,0.416853007,0.251213246,0.445333248,0.8
0.41384374,0.2,0.416374327,0.251213246,0.444838787,0.8
0.413405658,0.2,0.415935326,0.251213246,0.44438524,0.8
0.413003858,0.2,0.415532671,0.251213246,0.443969183,0.8
0.412635298,0.2,0.415163313,0.251213246,0.443587486,0.8
0.412297195,0.2,0.414824467,0.251213246,0.443237284,0.8
0.411987007,0.2,0.414513587,0.251213246,0.442915955,0.8
0.411702406,0.2,0.41422834,0.251213246,0.442621101,0.8
0.411441261,0.2,0.413966593,0.251213246,0.442350525,0.8
0.411201625,0.2,0.413726394,0.251213246,0.442102213,0.8
0.410981711,0.2,0.413505956,0.251213246,0.441874324,0.8
0.410779885,0.2,0.41330364,0.251213246,0.441665169,0.8
0.41059465,0.2,0.413117947,0.251213246,0.441473199,0.8
0.410424634,0.2,0.412947502,0.251213246,0.441296998,0.8
0.410268581,0.2,0.412791047,0.251213246,0.441135264,0.8
0.410125337,0.2,0.412647426,0.251213246,0.440986806,0.8
0.409993847,0.2,0.412515583,0.251213246,0.440850532,0.8
0.409873143,0.2,0.412394547,0.251213246,0.440725439,0.8
0.409762337,0.2,0.412283428,0.251213246,0.440610607,0.8
0.409660615,0.2,0.412181411,0.251213246,0.440505194,0.8
0.409567229,0.2,0.412087748,0.251213246,0.440408427,0.8
0.409481496,0.2,0.412001752,0.251213246,0.440319595,0.8
0.409402786,0.2,0.411922794,0.251213246,0.440238048,0.8
0.409330524,0.2,0.411850297,0.251213246,0.440163189,0.8
0.40926418,0.2,0.41178373,0.251213246,0.440094468,0.8
0.40920327,0.2,0.411722607,0.251213246,0.440031384,0.8
0.409147347,0.2,0.411666482,0.251213246,0.439973475,0.8
0.409096004,0.2,0.411614946,0.251213246,0.439920317,0.8
0.409048865,0.2,0.411567623,0.251213246,0.43987152,0.8
0.409005586,0.2,0.411524167,0.251213246,0.439826729,0.8
0.40896585,0.2,0.411484263,0.251213246,0.439785615,0.8
0.408929369,0.2,0.411447619,0.251213246,0.439747877,0.8
0.408895876,0.2,0.411413969,0.251213246,0.43971324,0.8
0.408865125,0.2,0.411383068,0.251213246,0.439681449,0.8
0.408836894,0.2,0.411354691,0.251213246,0.439652273,0.8
0.408810976,0.2,0.411328632,0.251213246,0.439625497,0.8
0.408787181,0.2,0.411304701,0.251213246,0.439600925,0.8
0.408765337,0.2,0.411282724,0.251213246,0.439578377,0.8
0.408745284,0.2,0.411262542,0.251213246,0.439557688,0.8
0.408726875,0.2,0.411244008,0.251213246,0.439538706,0.8
0.408709977,0.2,0.411226987,0.251213246,0.439521291,0.8
0.408694465,0.2,0.411211355,0.251213246,0.439505315,0.8
0.408680227,0.2,0.411197,0.251213246,0.439490662,0.8
0.408667158,0.2,0.411183817,0.251213246,0.439477222,0.8
0.408655164,0.2,0.41117171,0.251213246,0.439464897,0.8
0.408644155,0.2,0.411160591,0.251213246,0.439453595,0.8
0.408634052,0.2,0.41115038,0.251213246,0.439443234,0.8
0.408624781,0.2,0.411141002,0.251213246,0.439433735,0.8
0.408616274,0.2,0.411132389,0.251213246,0.43942503,0.8
0.408608468,0.2,0.41112448,0.251213246,0.439417053,0.8
0.408601307,0.2,0.411117216,0.251213246,0.439409744,0.8
0.408594737,0.2,0.411110545,0.251213246,0.43940305,0.8
0.40858871,0.2,0.411104418,0.251213246,0.439396919,0.8
0.408583183,0.2,0.411098791,0.251213246,0.439391307,0.8
0.408578113,0.2,0.411093623,0.251213246,0.43938617,0.8
0.408573465,0.2,0.411088877,0.251213246,0.439381469,0.8
0.408569203,0.2,0.411084518,0.251213246,0.43937717,0.8
0.408565296,0.2,0.411080515,0.251213246,0.43937324,0.8
0.408561714,0.2,0.411076839,0.251213246,0.439369647,0.8
0.408558432,0.2,0.411073462,0.251213246,0.439366366,0.8
0.408555426,0.2,0.411070361,0.251213246,0.439363369,0.8
0.408552671,0.2,0.411067513,0.251213246,0.439360635,0.8
0.408550148,0.2,0.411064897,0.251213246,0.439358141,0.8
0.408547839,0.2,0.411062495,0.251213246,0.439355869,0.8
0.408545725,0.2,0.411060288,0.251213246,0.439353799,0.8
0.40854379,0.2,0.411058262,0.251213246,0.439351916,0.8
0.408542021,0.2,0.411056401,0.251213246,0.439350204,0.8
0.408540403,0.2,0.411054691,0.251213246,0.439348649,0.8
0.408538924,0.2,0.411053121,0.251213246,0.439347239,0.8
0.408537573,0.2,0.411051679,0.251213246,0.439345961,0.8
0.408536339,0.2,0.411050355,0.251213246,0.439344805,0.8
0.408535213,0.2,0.411049139,0.251213246,0.439343761,0.8
0.408534186,0.2,0.411048021,0.251213246,0.43934282,0.8
0.40853325,0.2,0.411046995,0.251213246,0.439341972,0.8
0.408532398,0.2,0.411046053,0.251213246,0.439341212,0.8
0.408531622,0.2,0.411045187,0.251213246,0.439340531,0.8
0.408530917,0.2,0.411044392,0.251213246,0.439339923,0.8
0.408530276,0.2,0.411043662,0.251213246,0.439339382,0.8
0.408529694,0.2,0.411042991,0.251213246,0.439338903,0.8
0.408529168,0.2,0.411042374,0.251213246,0.43933848,0.8
0.408528691,0.2,0.411041808,0.251213246,0.43933811,0.8
0.40852826,0.2,0.411041288,0.251213246,0.439337787,0.8
0.408527872,0.2,0.411040811,0.251213246,0.439337508,0.8
0.408527522,0.2,0.411040372,0.251213246,0.439337269,0.8
0.408527208,0.2,0.411039969,0.251213246,0.439337067,0.8
0.408526927,0.2,0.411039599,0.251213246,0.439336899,0.8
0.408526676,0.2,0.411039259,0.251213246,0.439336762,0.8
0.408526452,0.2,0.411038946,0.251213246,0.439336654,0.8
0.408526254,0.2,0.411038659,0.251213246,0.439336572,0.8
0.408526079,0.2,0.411038395,0.251213246,0.439336514,0.8
0.408525926,0.2,0.411038153,0.251213246,0.439336479,0.8
0.408525792,0.2,0.41103793,0.251213246,0.439336464,0.8
0.408525676,0.2,0.411037726,0.251213246,0.439336467,0.8
0.408525577,0.2,0.411037538,0.251213246,0.439336488,0.8
0.408525493,0.2,0.411037365,0.251213246,0.439336524,0.8
0.408525423,0.2,0.411037206,0.251213246,0.439336575,0.8
0.408525366,0.2,0.41103706,0.251213246,0.439336639,0.8
0.40852532,0.2,0.411036926,0.251213246,0.439336715,0.8
0.408525286,0.2,0.411036803,0.251213246,0.439336803,0.8
0.408525261,0.2,0.411036689,0.251213246,0.4393369,0.8
0.408525246,0.2,0.411036585,0.251213246,0.439337008,0.8
0.408525239,0.2,0.411036489,0.251213246,0.439337124,0.8
0.40852524,0.2,0.411036401,0.251213246,0.439337247,0.8
0.408525247,0.2,0.41103632,0.251213246,0.439337379,0.8
0.408525262,0.2,0.411036245,0.251213246,0.439337516,0.8
0.408525282,0.2,0.411036177,0.251213246,0.43933766,0.8
0.408525308,0.2,0.411036114,0.251213246,0.43933781,0.8
0.408525338,0.2,0.411036056,0.251213246,0.439337965,0.8
0.408525374,0.2,0.411036002,0.251213246,0.439338125,0.8
0.408525414,0.2,0.411035953,0.251213246,0.439338289,0.8
0.408525457,0.2,0.411035908,0.251213246,0.439338457,0.8
0.408525504,0.2,0.411035866,0.251213246,0.439338628,0.8
0.408525555,0.2,0.411035828,0.251213246,0.439338803,0.8
0.408525608,0.2,0.411035792,0.251213246,0.439338982,0.8
0.408525665,0.2,0.41103576,0.251213246,0.439339163,0.8
0.408525723,0.2,0.41103573,0.251213246,0.439339346,0.8
0.408525785,0.2,0.411035702,0.251213246,0.439339532,0.8
0.408525848,0.2,0.411035676,0.251213246,0.43933972,0.8
0.408525913,0.2,0.411035653,0.251213246,0.439339911,0.8
0.408525981,0.2,0.411035631,0.251213246,0.439340103,0.8
0.40852605,0.2,0.411035611,0.251213246,0.439340297,0.8
0.40852612,0.2,0.411035592,0.251213246,0.439340492,0.8
0.408526192,0.2,0.411035575,0.251213246,0.439340689,0.8
0.408526265,0.2,0.411035559,0.251213246,0.439340887,0.8
0.408526339,0.2,0.411035544,0.251213246,0.439341086,0.8
0.408526415,0.2,0.41103553,0.251213246,0.439341286,0.8
0.408526491,0.2,0.411035518,0.251213246,0.439341488,0.8
0.408526569,0.2,0.411035506,0.251213246,0.43934169,0.8
0.408526647,0.2,0.411035495,0.251213246,0.439341893,0.8
0.408526726,0.2,0.411035485,0.251213246,0.439342097,0.8
0.408526806,0.2,0.411035475,0.251213246,0.439342301,0.8
0.408526886,0.2,0.411035466,0.251213246,0.439342507,0.8
0.408526967,0.2,0.411035458,0.251213246,0.439342712,0.8
0.408527049,0.2,0.41103545,0.251213246,0.439342919,0.8
0.408527131,0.2,0.411035443,0.251213246,0.439343126,0.8
0.408527213,0.2,0.411035436,0.251213246,0.439343333,0.8
0.408527296,0.2,0.41103543,0.251213246,0.439343541,0.8
0.40852738,0.2,0.411035424,0.251213246,0.439343749,0.8
0.408527464,0.2,0.411035419,0.251213246,0.439343957,0.8
0.408527548,0.2,0.411035413,0.251213246,0.439344166,0.8
0.408527632,0.2,0.411035408,0.251213246,0.439344375,0.8
0.408527717,0.2,0.411035404,0.251213246,0.439344584,0.8
0.408527802,0.2,0.411035399,0.251213246,0.439344794,0.8
0.408527887,0.2,0.411035395,0.251213246,0.439345003,0.8
0.408527973,0.2,0.411035391,0.251213246,0.439345213,0.8
0.408528059,0.2,0.411035387,0.251213246,0.439345423,0.8
0.408528145,0.2,0.411035384,0.251213246,0.439345633,0.8
0.408528231,0.2,0.41103538,0.251213246,0.439345844,0.8
0.408528317,0.2,0.411035377,0.251213246,0.439346054,0.8
0.408528404,0.2,0.411035374,0.251213246,0.439346265,0.8
0.40852849,0.2,0.41103537,0.251213246,0.439346476,0.8
0.408528577,0.2,0.411035368,0.251213246,0.439346687,0.8
0.408528664,0.2,0.411035365,0.251213246,0.439346897,0.8
0.408528751,0.2,0.411035362,0.251213246,0.439347108,0.8
0.408528838,0.2,0.411035359,0.251213246,0.439347319,0.8
0.408528925,0.2,0.411035357,0.251213246,0.439347531,0.8
0.408529012,0.2,0.411035354,0.251213246,0.439347742,0.8
0.4085291,0.2,0.411035352,0.251213246,0.439347953,0.8
0.408529187,0.2,0.411035349,0.251213246,0.439348164,0.8
0.408529275,0.2,0.411035347,0.251213246,0.439348375,0.8
0.408529362,0.2,0.411035345,0.251213246,0.439348587,0.8
0.40852945,0.2,0.411035342,0.251213246,0.439348798,0.8
0.408529538,0.2,0.41103534,0.251213246,0.439349009,0.8
0.408529625,0.2,0.411035338,0.251213246,0.439349221,0.8
0.408529713,0.2,0.411035336,0.251213246,0.439349432,0.8
0.408529801,0.2,0.411035334,0.251213246,0.439349643,0.8
0.408529889,0.2,0.411035332,0.251213246,0.439349855,0.8
0.408529977,0.2,0.411035329,0.251213246,0.439350066,0.8
0.408530065,0.2,0.411035327,0.251213246,0.439350277,0.8
0.408530153,0.2,0.411035325,0.251213246,0.439350489,0.8
0.408530241,0.2,0.411035323,0.251213246,0.4393507,0.8
0.408530329,0.2,0.411035321,0.251213246,0.439350911,0.8
0.408530418,0.2,0.411035319,0.251213246,0.439351123,0.8
