
Naive Bayes Classifier

                 Class
Attribute          CYT    NUC    MIT    ME3    ME2    ME1    EXC    VAC    POX    ERL
                (0.31)  (0.3) (0.14) (0.11) (0.04) (0.03) (0.02) (0.02) (0.01)    (0)
======================================================================================
Sequence_Name
  ADT1_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  ADT2_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  ADT3_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  AAR2_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  AATM_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  AATC_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  ABC1_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  BAF1_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  ABF2_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  ABP1_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  ACE1_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  ACE2_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  ACH1_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  ACON_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  ACR1_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  ACT_YEAST         1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  ACT2_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  ACT3_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  ACT5_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  ADA2_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  C1TC_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  PUR4_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  PUR3_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  ADH1_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  ADH2_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  ADH3_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  ADH4_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  KAD1_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  KAD2_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  ADP1_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  ADR1_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  AFG3_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  AFR1_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  RCS1_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  AGA1_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
